repo,path,lines,bytes,families,score,fam_detail,in_base,near_base,sha,reviewed
character-a-analysis,character-a-analysis/CHANGELOG.md,2728,262653,6,699,META=7;POSTMOR=1;REGISTRY=93;RETRO=2;RULE=42;STRUCT=5,,,5fac22dc3884,yes
personal-finance-dss,personal-finance-dss/CHANGELOG.md,9201,989391,6,699,META=12;POSTMOR=5;REGISTRY=145;RETRO=7;RULE=195;STRUCT=14,,,97b823a609a3,yes
personal-finance-dss,personal-finance-dss/docs/documentation_methodology.md,482,31339,6,651,META=5;POSTMOR=28;REGISTRY=1;RETRO=7;RULE=7;STRUCT=3,,02-methodology-library/incident_process_documentation_methodology.md,07f38195f41c,yes
personal-finance-dss,personal-finance-dss/knowledge/guides/incident_process_documentation_methodology.md,482,31456,6,651,META=5;POSTMOR=28;REGISTRY=1;RETRO=7;RULE=7;STRUCT=3,yes,,2b89c90939e4,
portrait-of-taste,portrait-of-taste/02-methodology-library/incident_process_documentation_methodology.md,482,31456,6,651,META=5;POSTMOR=28;REGISTRY=1;RETRO=7;RULE=7;STRUCT=3,yes,,2b89c90939e4,
self-map,self-map/CHANGELOG.md,661,57820,6,634,META=1;POSTMOR=1;REGISTRY=9;RETRO=2;RULE=19;STRUCT=2,,,a94310026592,
character-a-analysis,character-a-analysis/CHANGELOG_INHERITED.md,652,58251,6,630,META=1;POSTMOR=1;REGISTRY=12;RETRO=2;RULE=13;STRUCT=1,,,d2e586bf3ed3,
personal-finance-dss,personal-finance-dss/docs/reports/incidents/inc_null_deadline_latent_defects.md,199,17950,6,619,META=1;POSTMOR=6;REGISTRY=5;RETRO=1;RULE=5;STRUCT=1,,,92d7015d2c10,yes
personal-finance-dss,personal-finance-dss/docs/reports/incidents/e2e_incident_postmortem.md,172,14238,6,616,META=3;POSTMOR=1;REGISTRY=8;RETRO=2;RULE=1;STRUCT=1,,,5edd248782f6,yes
portrait-of-taste,portrait-of-taste/CHANGELOG.md,3079,247576,5,599,META=3;POSTMOR=5;REGISTRY=28;RULE=102;STRUCT=2,,,ccf0303983db,
character-a-analysis,character-a-analysis/LESSONS.md,983,106846,5,599,META=3;REGISTRY=171;RETRO=1;RULE=16;STRUCT=46,,,e10e7d14dab8,yes
character-a-analysis,character-a-analysis/10-life-history/watchlog.md,3496,388988,5,599,META=5;REGISTRY=77;RETRO=5;RULE=25;STRUCT=23,,,09790befb2c9,
character-a-analysis,character-a-analysis/10-life-history/02-notes/vk.md,12323,1251013,5,599,META=6;REGISTRY=124;RETRO=3;RULE=26;STRUCT=46,,,66e06d10591d,
character-a-analysis,character-a-analysis/10-life-history/02-notes/instagram-v2.md,5747,541487,5,599,META=2;REGISTRY=101;RETRO=4;RULE=8;STRUCT=4,,,9c94e2313068,
character-a-analysis,character-a-analysis/10-life-history/01-registry/facts-and-hypotheses.md,5709,971098,5,599,META=4;REGISTRY=66;RETRO=10;RULE=30;STRUCT=11,,,fdeafcbe9721,
personal-finance-dss,personal-finance-dss/docs/WATCHLOG_ARCHIVE.md,1400,184087,5,569,META=4;POSTMOR=1;REGISTRY=31;RULE=32;STRUCT=1,,,56ded543ce79,
exam-kit,exam-kit/CHANGELOG.md,559,59627,5,568,META=1;REGISTRY=33;RETRO=1;RULE=30;STRUCT=3,,,7780255b0fd0,
personal-finance-dss,personal-finance-dss/docs/ROADMAP.md,1637,191158,5,563,META=2;POSTMOR=1;REGISTRY=36;RETRO=3;RULE=21,,,be2e5064575b,
personal-finance-dss,personal-finance-dss/docs/WATCHLOG.md,1186,152323,5,553,META=7;POSTMOR=1;REGISTRY=16;RULE=27;STRUCT=2,,,809a64f54c1b,
dota-dossier,dota-dossier/CHANGELOG.md,2396,200283,5,550,META=2;REGISTRY=2;RETRO=2;RULE=43;STRUCT=1,,,4e4a975e2269,
portrait-of-taste,portrait-of-taste/docs/LESSONS.md,277,21179,5,541,META=4;REGISTRY=4;RETRO=2;RULE=5;STRUCT=26,,,e2f1dc833af4,yes
portrait-of-taste,portrait-of-taste/reports/documentation_methodology.md,408,26128,5,539,META=4;POSTMOR=20;RETRO=6;RULE=6;STRUCT=3,yes,,707215bdda30,
personal-finance-dss,personal-finance-dss/knowledge/guides/knowledge_capture_protocol.md,187,18631,5,531,META=14;POSTMOR=1;REGISTRY=4;RULE=11;STRUCT=1,,,56b0aa2a4681,
self-map,self-map/WATCHLOG.md,181,19260,5,525,META=5;POSTMOR=1;REGISTRY=7;RULE=10;STRUCT=2,,,803d8b81043b,
self-map,self-map/10-life-history/watchlog.md,608,80707,5,517,META=2;REGISTRY=4;RETRO=2;RULE=6;STRUCT=3,,,b98a472c371a,
personal-finance-dss,personal-finance-dss/docs/reports/incidents/ci_blocking_gate_red_41_days.md,181,20330,5,513,META=1;POSTMOR=8;RETRO=2;RULE=1;STRUCT=1,,,e7f65ed81d68,
personal-finance-dss,personal-finance-dss/docs/reports/incidents/postgres_incident_postmortem.md,126,9188,5,509,META=1;POSTMOR=1;REGISTRY=2;RULE=4;STRUCT=1,,,c328e2135e75,yes
