время	pid	мб	живёт	всего_TCP	установлено	к_серверу
08:22:52	45415	38	16:57	45	44	32
08:23:02	45415	38	17:07	47	47	33
08:23:12	45415	37	17:17	46	46	32
08:23:22	45415	37	17:27	48	48	32
08:23:33	45415	38	17:38	45	45	31
08:23:43	45415	38	17:48	54	53	35
08:23:53	45415	36	17:58	43	43	31
08:24:04	45415	37	18:08	56	55	35
08:24:14	45415	37	18:19	45	45	31
08:24:24	45415	36	18:29	39	39	29
08:24:34	45415	36	18:39	41	41	31
08:24:45	45415	37	18:50	47	47	33
08:24:55	45415	37	19:00	43	43	31
08:25:05	45415	37	19:10	39	39	29
08:25:15	45415	37	19:20	40	40	30
08:25:26	45415	37	19:31	41	41	31
08:25:36	45415	37	19:41	41	41	31
08:25:46	45415	37	19:51	40	40	30
08:25:56	45415	37	20:01	40	40	30
08:26:07	45415	37	20:12	44	44	32
08:26:17	45415	37	20:22	40	40	30
08:26:27	45415	37	20:32	40	40	30
08:26:37	45415	37	20:42	39	39	29
08:26:48	45415	37	20:53	39	39	29
08:26:58	45415	37	21:03	41	41	31
08:27:08	45415	37	21:13	42	42	32
08:27:18	45415	37	21:23	41	41	31
08:27:29	45415	37	21:34	38	38	30
08:27:39	45415	37	21:44	39	39	31
08:27:49	45415	37	21:54	42	42	32
08:28:00	45415	37	22:05	38	38	30
08:28:10	45415	37	22:15	41	41	31
08:28:20	45415	36	22:25	37	37	29
08:28:30	45415	36	22:35	38	38	30
08:28:41	45415	36	22:46	38	38	30
08:28:51	45415	36	22:56	39	39	29
08:29:01	45415	36	23:06	39	39	29
08:29:11	45415	35	23:16	42	42	30
08:29:22	45415	35	23:27	39	39	29
08:29:32	45415	35	23:37	39	39	29
08:29:42	45415	36	23:47	47	40	35
08:29:52	-	0	0	0	0	0
08:30:02	52195	39	00:05	17	13	2
08:30:13	52248	37	00:06	27	27	21
08:30:23	52248	33	00:16	27	27	21
08:30:33	52248	34	00:26	29	29	23
08:30:43	52248	34	00:36	37	37	27
08:30:54	52248	34	00:47	37	37	27
08:31:04	52248	34	00:57	40	40	30
08:31:14	52248	34	01:07	35	35	29
08:31:24	52248	34	01:17	36	36	30
08:31:35	52248	35	01:28	36	36	30
08:31:45	52248	35	01:38	37	37	31
08:31:55	52248	35	01:48	38	38	32
08:32:06	52248	35	01:59	39	39	33
08:32:16	52248	36	02:09	34	34	28
08:32:26	52248	36	02:19	34	34	28
08:32:36	52248	36	02:29	34	34	28
08:32:47	52248	36	02:40	34	34	28
08:32:57	52248	36	02:50	33	33	27
08:33:07	52248	36	03:00	33	33	27
08:33:17	52248	36	03:10	34	34	28
08:33:28	52248	36	03:21	34	34	28
08:33:38	52248	36	03:31	34	34	28
08:33:48	52248	36	03:41	33	33	27
08:33:58	52248	34	03:51	32	32	26
08:34:09	52248	34	04:02	36	36	28
08:34:19	52248	35	04:12	48	48	32
08:34:29	52248	34	04:22	44	44	30
08:34:39	52248	34	04:32	43	42	30
08:34:50	52248	35	04:43	37	35	29
08:35:00	52248	35	04:53	33	33	27
08:35:10	52248	35	05:03	33	33	27
08:35:20	52248	35	05:13	32	32	26
08:35:31	52248	35	05:24	32	32	26
08:35:41	52248	35	05:34	33	33	27
08:35:51	52248	35	05:44	33	33	27
08:36:01	52248	35	05:54	32	32	26
08:36:12	52248	35	06:05	30	29	24
08:36:22	52248	35	06:15	33	33	27
08:36:32	52248	35	06:25	33	33	27
08:36:42	52248	35	06:35	33	33	27
08:36:53	52248	35	06:46	32	32	26
08:37:03	52248	35	06:56	32	32	26
08:37:13	52248	35	07:06	32	32	26
08:37:23	52248	35	07:16	33	33	27
08:37:34	52248	35	07:27	33	33	27
08:37:44	52248	35	07:37	32	32	26
08:37:54	52248	35	07:47	32	32	26
08:38:04	52248	34	07:57	33	33	27
08:38:15	52248	35	08:07	33	33	27
08:38:25	52248	35	08:18	32	32	26
08:38:35	52248	35	08:28	32	32	26
08:38:45	52248	35	08:38	33	33	27
08:38:55	52248	35	08:48	33	33	27
08:39:06	52248	35	08:59	33	33	27
08:39:16	52248	35	09:09	32	32	26
08:39:26	52248	34	09:19	32	32	26
08:39:36	52248	34	09:29	36	36	28
08:39:47	52248	32	09:40	36	36	28
08:39:57	52248	32	09:50	41	41	29
08:40:07	52248	32	10:00	40	39	29
08:40:17	52248	33	10:10	26	26	16
08:40:27	52248	33	10:20	27	25	17
08:40:37	52248	33	10:30	22	22	14
08:40:48	52248	33	10:41	19	19	11
08:40:58	52248	33	10:51	24	23	13
08:41:08	52248	32	11:01	20	20	10
08:41:18	52248	30	11:11	20	20	8
08:41:28	52248	30	11:21	20	20	8
08:41:39	52248	28	11:32	16	13	7
08:41:49	52248	29	11:42	30	30	10
08:41:59	52248	24	11:52	36	36	12
08:42:09	52248	24	12:02	39	38	13
08:42:19	52248	24	12:12	39	39	13
08:42:30	52248	23	12:23	46	44	16
08:42:40	52248	24	12:33	54	54	18
08:42:50	52248	24	12:43	54	54	18
08:43:00	52248	24	12:53	63	63	21
08:43:10	52248	24	13:03	72	72	24
08:43:21	52248	23	13:14	102	102	34
08:43:31	52248	23	13:24	102	102	34
08:43:41	52248	22	13:34	98	97	33
08:43:51	52248	23	13:44	101	100	34
08:44:02	52248	24	13:55	121	121	41
08:44:13	52248	24	14:06	126	126	42
08:44:24	52248	23	14:17	120	120	40
08:44:34	52248	23	14:27	120	120	40
08:44:44	52248	21	14:37	117	117	39
08:44:56	52248	24	14:49	153	152	66
08:45:07	52248	24	15:00	156	155	67
08:45:17	52248	26	15:10	163	163	69
08:45:27	52248	25	15:20	160	160	68
08:45:37	52248	25	15:30	161	161	69
08:45:48	52248	25	15:41	161	161	69
08:45:58	52248	25	15:51	155	155	67
08:46:08	52248	25	16:01	157	156	68
08:46:19	52248	25	16:12	156	156	68
08:46:29	52248	25	16:22	156	156	68
08:46:39	52248	25	16:32	156	156	68
08:46:49	52248	26	16:42	146	146	64
08:47:00	52248	26	16:53	146	146	64
08:47:10	52248	26	17:03	147	147	65
08:47:20	52248	26	17:13	129	111	65
08:47:30	52248	26	17:23	92	92	46
08:47:41	52248	26	17:34	92	92	46
08:47:51	52248	26	17:44	99	99	49
08:48:01	52248	26	17:54	93	93	47
08:48:12	52248	25	18:05	93	93	47
08:48:22	52248	24	18:15	95	95	47
08:48:32	52248	23	18:25	93	91	47
08:48:42	52248	24	18:35	84	84	44
08:48:53	52248	25	18:46	84	84	44
08:49:03	52248	25	18:56	84	84	44
08:49:13	52248	25	19:06	80	80	42
08:49:24	52248	25	19:17	88	87	45
08:49:34	52248	26	19:27	87	87	45
08:49:44	52248	26	19:37	82	74	46
08:49:55	52248	25	19:48	70	69	39
08:50:05	52248	25	19:58	68	68	38
08:50:15	52248	24	20:08	69	69	41
08:50:26	52248	24	20:19	66	66	40
08:50:36	52248	24	20:29	63	63	39
08:50:46	52248	24	20:39	58	58	34
08:50:56	52248	25	20:49	62	62	38
08:51:07	52248	25	21:00	63	63	39
08:51:17	52248	25	21:10	63	63	39
08:51:27	52248	25	21:20	64	63	39
08:51:38	52248	25	21:31	62	62	38
08:51:48	52248	25	21:41	59	58	38
08:51:58	52248	24	21:51	51	51	35
08:52:08	52248	24	22:01	51	51	35
08:52:19	52248	24	22:12	47	47	31
08:52:29	52248	24	22:22	44	44	30
08:52:39	52248	24	22:32	45	45	31
08:52:50	52248	25	22:42	42	42	30
08:53:00	52248	25	22:53	41	41	29
08:53:10	52248	25	23:03	41	41	29
08:53:20	52248	25	23:13	42	42	30
08:53:31	52248	25	23:24	45	45	31
08:53:41	52248	25	23:34	45	45	31
08:53:51	52248	25	23:44	41	41	29
08:54:01	52248	25	23:54	41	41	29
08:54:12	52248	26	24:05	42	42	30
08:54:22	52248	26	24:15	42	42	30
08:54:32	52248	26	24:25	41	41	29
08:54:42	52248	26	24:35	41	41	29
08:54:53	52248	26	24:46	42	42	30
08:55:03	52248	26	24:56	42	42	30
08:55:13	52248	25	25:06	42	42	30
08:55:24	52248	25	25:17	41	41	29
08:55:34	52248	25	25:27	41	41	29
08:55:44	52248	25	25:37	41	40	30
08:55:55	52248	25	25:48	39	39	29
08:56:05	52248	25	25:58	38	38	28
08:56:15	52248	25	26:08	38	38	28
08:56:25	52248	24	26:18	39	39	29
08:56:36	52248	25	26:29	39	39	29
08:56:46	52248	25	26:39	39	39	29
08:56:56	52248	25	26:49	38	38	28
08:57:07	52248	25	27:00	45	43	31
08:57:17	52248	25	27:10	45	45	31
08:57:27	52248	25	27:20	45	45	31
08:57:37	52248	25	27:30	45	45	31
08:57:48	52248	25	27:41	46	45	31
08:57:58	52248	24	27:51	45	45	31
08:58:08	52248	24	28:01	45	45	31
08:58:19	52248	24	28:12	45	45	31
08:58:29	52248	24	28:22	44	44	30
08:58:39	52248	24	28:32	44	44	30
