время	pid	мб	живёт	всего_TCP	установлено	к_серверу	мой_ip	шлюз	rtt_мс
09:01:20	52248	26	31:11	44	43	31	172.20.10.3	172.20.10.1	79.3
09:01:30	52248	25	31:21	42	42	30	172.20.10.3	172.20.10.1	79.1
09:01:41	52248	24	31:32	44	44	30	172.20.10.3	172.20.10.1	78.5
09:01:58	52248	25	31:49	42	42	30	172.20.10.3	172.20.10.1	88.7
09:02:15	52248	25	32:06	42	42	30	172.20.10.3	172.20.10.1	80.1
09:02:32	52248	25	32:24	44	44	30	172.20.10.3	172.20.10.1	83.4
09:02:50	52248	25	32:41	41	41	29	172.20.10.3	172.20.10.1	75.4
09:03:07	52248	26	32:58	43	42	30	172.20.10.3	172.20.10.1	82.4
09:03:25	52248	25	33:15	43	42	30	172.20.10.3	172.20.10.1	85.0
09:03:42	52248	24	33:33	45	45	31	172.20.10.3	172.20.10.1	85.5
09:03:59	52248	24	33:50	41	41	29	172.20.10.3	172.20.10.1	81.8
09:04:17	52248	25	34:08	44	43	31	172.20.10.3	172.20.10.1	76.8
09:04:34	52248	23	34:25	42	42	30	172.20.10.3	172.20.10.1	78.0
09:04:51	52248	25	34:42	39	38	27	172.20.10.3	172.20.10.1	95.6
09:05:09	52248	25	35:00	42	42	30	172.20.10.3	172.20.10.1	80.5
09:05:26	52248	25	35:17	45	45	33	172.20.10.3	172.20.10.1	77.5
09:05:44	52248	25	35:35	44	44	32	172.20.10.3	172.20.10.1	77.7
09:06:01	52248	25	35:52	45	45	33	172.20.10.3	172.20.10.1	78.0
09:06:19	52248	26	36:09	43	42	32	172.20.10.3	172.20.10.1	77.5
09:06:36	52248	26	36:27	42	42	32	172.20.10.3	172.20.10.1	81.0
09:06:53	52248	26	36:44	42	41	30	172.20.10.3	172.20.10.1	77.6
09:07:11	52248	26	37:02	44	44	32	172.20.10.3	172.20.10.1	78.7
09:07:28	52248	26	37:19	42	42	30	172.20.10.3	172.20.10.1	76.3
09:07:45	52248	26	37:36	42	42	30	172.20.10.3	172.20.10.1	87.0
09:08:02	52248	25	37:53	41	41	29	172.20.10.3	172.20.10.1	73.5
09:08:20	52248	25	38:11	44	43	31	172.20.10.3	172.20.10.1	72.7
09:08:37	52248	25	38:28	41	41	29	172.20.10.3	172.20.10.1	72.6
09:08:55	52248	25	38:45	41	41	29	172.20.10.3	172.20.10.1	76.4
09:09:13	52248	25	39:03	42	42	30	172.20.10.3	172.20.10.1	76.4
09:09:30	52248	25	39:21	38	38	28	172.20.10.3	172.20.10.1	76.1
09:09:47	52248	25	39:38	39	39	29	172.20.10.3	172.20.10.1	76.3
09:10:04	52248	25	39:56	39	39	29	172.20.10.3	172.20.10.1	89.3
09:10:22	52248	25	40:13	41	41	29	172.20.10.3	172.20.10.1	89.3
09:10:39	52248	25	40:30	44	42	32	172.20.10.3	172.20.10.1	78.1
09:10:54	-	0	0	0	0	0	172.20.10.3	172.20.10.1	-
09:11:11	62614	39	00:06	16	13	3	172.20.10.3	172.20.10.1	0.0
09:11:28	62647	37	00:12	23	23	23	172.20.10.3	172.20.10.1	90.6
09:11:44	62647	33	00:29	23	23	23	172.20.10.3	172.20.10.1	90.4
09:12:03	62647	36	00:46	41	41	29	172.20.10.3	172.20.10.1	91.2
09:12:20	62647	35	01:04	43	41	31	172.20.10.3	172.20.10.1	94.7
09:12:37	62647	36	01:22	36	35	28	172.20.10.3	172.20.10.1	92.5
09:12:55	62647	36	01:39	40	40	30	172.20.10.3	172.20.10.1	95.4
09:13:12	62647	35	01:56	41	41	31	172.20.10.3	172.20.10.1	95.3
09:13:29	62647	36	02:13	45	45	31	172.20.10.3	172.20.10.1	96.7
09:13:47	62647	36	02:31	43	41	31	172.20.10.3	172.20.10.1	97.1
09:14:04	62647	35	02:48	36	36	28	172.20.10.3	172.20.10.1	93.0
09:14:21	62647	36	03:05	43	43	31	172.20.10.3	172.20.10.1	93.2
09:14:39	62647	36	03:23	39	39	29	172.20.10.3	172.20.10.1	97.7
09:14:56	62647	37	03:40	36	36	28	172.20.10.3	172.20.10.1	95.3
09:15:13	62647	37	03:57	36	36	28	172.20.10.3	172.20.10.1	94.8
09:15:31	62647	36	04:15	48	38	38	172.20.10.3	172.20.10.1	68.7
09:15:49	62647	37	04:33	49	49	39	172.20.10.3	172.20.10.1	71.5
09:16:07	62647	38	04:50	69	69	59	172.20.10.3	172.20.10.1	87.8
09:16:25	62647	37	05:08	68	68	58	172.20.10.3	172.20.10.1	86.7
09:16:43	62647	37	05:26	66	65	58	172.20.10.3	172.20.10.1	83.0
09:17:00	62647	37	05:44	69	69	59	172.20.10.3	172.20.10.1	86.5
09:17:19	62647	37	06:02	70	70	60	172.20.10.3	172.20.10.1	85.2
09:17:36	62647	38	06:20	57	57	41	172.20.10.3	172.20.10.1	81.8
09:17:52	62647	38	06:37	36	36	20	172.20.10.3	172.20.10.1	79.8
09:18:10	62647	38	06:54	41	41	29	172.20.10.3	172.20.10.1	78.4
09:18:27	62647	38	07:11	42	42	30	172.20.10.3	172.20.10.1	77.8
09:18:44	62647	38	07:28	40	40	28	172.20.10.3	172.20.10.1	83.3
09:19:01	62647	38	07:45	43	43	31	172.20.10.3	172.20.10.1	82.2
09:19:19	62647	38	08:02	43	43	31	172.20.10.3	172.20.10.1	83.2
09:19:36	62647	37	08:20	38	38	28	172.20.10.3	172.20.10.1	85.1
09:19:53	62647	37	08:37	40	40	30	172.20.10.3	172.20.10.1	87.8
09:20:10	62647	38	08:54	42	42	30	172.20.10.3	172.20.10.1	103.4
09:20:27	62647	37	09:12	41	41	29	172.20.10.3	172.20.10.1	107.0
09:20:44	62647	36	09:29	39	39	29	172.20.10.3	172.20.10.1	104.9
09:21:01	62647	37	09:45	38	38	28	172.20.10.3	172.20.10.1	105.1
09:21:18	62647	36	10:03	39	38	29	172.20.10.3	172.20.10.1	107.5
09:21:36	62647	35	10:20	39	39	29	172.20.10.3	172.20.10.1	99.5
09:21:53	62647	35	10:37	44	44	32	172.20.10.3	172.20.10.1	101.5
09:22:10	62647	36	10:54	47	46	34	172.20.10.3	172.20.10.1	97.3
09:22:28	62647	36	11:11	47	46	34	172.20.10.3	172.20.10.1	96.6
09:22:45	62647	36	11:29	41	41	31	172.20.10.3	172.20.10.1	99.5
09:23:03	62647	36	11:46	42	42	32	172.20.10.3	172.20.10.1	99.3
09:23:20	62647	36	12:04	45	44	33	172.20.10.3	172.20.10.1	95.9
09:23:37	62647	36	12:21	53	49	39	172.20.10.3	172.20.10.1	99.7
09:23:55	62647	38	12:39	71	69	57	172.20.10.3	172.20.10.1	101.1
09:24:12	62647	38	12:56	67	67	55	172.20.10.3	172.20.10.1	102.5
09:24:30	62647	39	13:14	67	67	55	172.20.10.3	172.20.10.1	104.1
09:24:48	62647	39	13:31	99	98	84	172.20.10.3	172.20.10.1	97.7
09:25:06	62647	38	13:49	89	89	79	172.20.10.3	172.20.10.1	97.5
09:25:24	62647	39	14:07	91	91	81	172.20.10.3	172.20.10.1	98.6
09:25:42	62647	39	14:26	75	75	65	172.20.10.3	172.20.10.1	99.9
