время	pid	мб	живёт	всего_TCP	установлено	к_серверу	мой_ip	шлюз	rtt_мс	шлюз_мс
09:25:58	62647	39	14:42	47	46	38	172.20.10.3	172.20.10.1	92.3	3.466
09:26:08	62647	38	14:53	45	45	37	172.20.10.3	172.20.10.1	89.9	2.838
09:26:35	62647	38	15:19	51	50	40	172.20.10.3	172.20.10.1	94.6	2.235
09:26:52	62647	38	15:36	35	35	27	172.20.10.3	172.20.10.1	89.8	2.868
09:27:09	62647	37	15:53	36	36	28	172.20.10.3	172.20.10.1	89.9	2.930
09:27:27	62647	36	16:11	35	35	27	172.20.10.3	172.20.10.1	88.5	3.801
09:27:43	62647	37	16:28	39	39	29	172.20.10.3	172.20.10.1	94.8	2.287
09:28:01	62647	37	16:45	39	39	29	172.20.10.3	172.20.10.1	95.6	3.599
09:28:17	62647	37	17:02	38	38	28	172.20.10.3	172.20.10.1	95.5	2.431
09:28:35	62647	36	17:19	36	36	28	172.20.10.3	172.20.10.1	88.6	2.734
09:28:52	62647	35	17:36	38	37	29	172.20.10.3	172.20.10.1	98.9	2.871
09:29:09	62647	35	17:54	35	35	27	172.20.10.3	172.20.10.1	99.5	2.516
09:29:27	62647	35	18:11	36	36	28	172.20.10.3	172.20.10.1	100.0	3.096
09:29:44	62647	35	18:28	35	35	27	172.20.10.3	172.20.10.1	100.4	3.004
09:30:01	62647	35	18:45	32	32	26	172.20.10.3	172.20.10.1	102.4	2.990
09:30:19	62647	35	19:03	33	33	27	172.20.10.3	172.20.10.1	101.7	3.454
09:30:36	62647	36	19:20	35	35	27	172.20.10.3	172.20.10.1	103.5	2.723
09:30:53	62647	36	19:37	36	36	28	172.20.10.3	172.20.10.1	98.9	4.886
09:31:10	62647	36	19:54	36	36	28	172.20.10.3	172.20.10.1	98.9	2.470
09:31:27	62647	36	20:11	35	35	27	172.20.10.3	172.20.10.1	98.6	3.532
09:31:44	62647	36	20:28	36	36	28	172.20.10.3	172.20.10.1	97.0	2.728
09:32:01	62647	35	20:45	36	36	28	172.20.10.3	172.20.10.1	94.1	3.130
09:32:18	62647	36	21:02	38	38	28	172.20.10.3	172.20.10.1	99.8	2.763
09:32:35	62647	36	21:19	39	39	29	172.20.10.3	172.20.10.1	97.7	2.732
09:32:52	62647	36	21:36	39	39	29	172.20.10.3	172.20.10.1	106.9	2.743
09:33:09	62647	36	21:53	39	39	29	172.20.10.3	172.20.10.1	107.9	2.752
09:33:26	62647	36	22:10	42	41	31	172.20.10.3	172.20.10.1	107.4	2.665
09:33:43	62647	36	22:27	36	36	28	172.20.10.3	172.20.10.1	109.4	3.537
09:34:01	62647	37	22:44	40	40	30	172.20.10.3	172.20.10.1	109.0	2.882
09:34:18	62647	35	23:02	37	37	29	172.20.10.3	172.20.10.1	107.3	2.897
09:34:35	62647	36	23:19	39	39	29	172.20.10.3	172.20.10.1	108.9	3.387
09:34:52	62647	36	23:36	40	40	30	172.20.10.3	172.20.10.1	87.2	3.593
09:35:09	62647	36	23:53	39	39	29	172.20.10.3	172.20.10.1	86.6	3.296
09:35:26	62647	36	24:10	39	39	29	172.20.10.3	172.20.10.1	85.8	2.827
09:35:43	62647	36	24:27	42	41	31	172.20.10.3	172.20.10.1	83.7	2.926
09:36:00	62647	35	24:44	40	38	30	172.20.10.3	172.20.10.1	83.6	2.700
09:36:18	62647	35	25:02	37	37	29	172.20.10.3	172.20.10.1	83.6	3.290
09:36:35	62647	34	25:19	37	37	29	172.20.10.3	172.20.10.1	83.6	2.253
09:36:52	62647	36	25:36	36	36	28	172.20.10.3	172.20.10.1	90.9	2.880
09:37:10	62647	36	25:54	37	37	29	172.20.10.3	172.20.10.1	91.6	2.806
09:37:27	62647	35	26:11	34	34	28	172.20.10.3	172.20.10.1	91.5	2.852
09:37:44	62647	35	26:28	33	33	27	172.20.10.3	172.20.10.1	91.6	2.813
09:38:01	62647	35	26:45	34	34	28	172.20.10.3	172.20.10.1	91.8	3.076
09:38:19	62647	35	27:02	33	33	27	172.20.10.3	172.20.10.1	92.1	2.617
09:38:36	62647	35	27:20	38	37	29	172.20.10.3	172.20.10.1	92.2	2.653
09:38:53	62647	36	27:37	37	37	29	172.20.10.3	172.20.10.1	79.7	2.950
09:39:10	62647	35	27:54	39	39	29	172.20.10.3	172.20.10.1	81.4	2.819
09:39:26	62647	36	28:11	40	40	30	172.20.10.3	172.20.10.1	81.1	2.858
09:39:43	62647	36	28:28	37	37	29	172.20.10.3	172.20.10.1	77.8	2.849
09:40:01	62647	36	28:45	36	36	28	172.20.10.3	172.20.10.1	77.7	2.536
09:40:18	62647	35	29:02	37	37	29	172.20.10.3	172.20.10.1	77.7	2.647
09:40:35	62647	35	29:19	37	37	29	172.20.10.3	172.20.10.1	78.0	2.979
