время	мс	исход
11:02:08	291.8	ok
11:02:14	535.7	ok
11:02:19	329.2	ok
11:02:25	285.8	ok
11:02:31	456.4	ok
11:02:36	293.0	ok
11:02:42	256.9	ok
11:02:47	282.1	ok
11:02:53	269.0	ok
11:02:58	278.7	ok
11:03:04	257.0	ok
11:03:09	251.2	ok
11:03:15	291.0	ok
11:03:20	258.0	ok
11:03:26	288.4	ok
11:03:31	316.2	ok
11:03:37	294.8	ok
11:03:42	268.7	ok
11:03:48	298.1	ok
11:03:54	301.7	ok
11:03:59	286.2	ok
11:04:05	296.6	ok
11:04:10	273.5	ok
11:04:16	285.4	ok
11:04:21	295.7	ok
11:04:27	286.9	ok
11:04:32	294.4	ok
11:04:38	316.5	ok
11:04:43	299.1	ok
11:04:49	293.9	ok
11:04:55	275.1	ok
11:05:00	303.5	ok
11:05:05	116.4	ok
11:05:11	277.6	ok
11:05:17	292.3	ok
11:05:22	309.5	ok
11:05:28	279.5	ok
11:05:33	298.4	ok
11:05:39	307.7	ok
11:05:44	280.9	ok
11:05:50	281.7	ok
11:05:55	263.4	ok
11:06:01	276.1	ok
11:06:06	270.0	ok
11:06:12	274.2	ok
11:06:17	281.8	ok
11:06:23	284.9	ok
11:06:28	266.4	ok
11:06:34	280.3	ok
11:06:40	281.4	ok
11:06:45	111.2	ok
11:06:50	301.3	ok
11:06:56	277.7	ok
11:07:02	315.3	ok
11:07:07	271.2	ok
11:07:13	262.9	ok
11:07:18	278.0	ok
11:07:24	390.8	ok
11:07:29	260.1	ok
11:07:35	279.2	ok
11:07:40	281.7	ok
11:07:46	308.0	ok
11:07:51	394.9	ok
11:07:57	269.6	ok
11:08:02	279.6	ok
11:08:08	470.0	ok
11:08:14	262.8	ok
11:08:19	280.6	ok
11:08:25	509.0	ok
11:08:31	283.4	ok
11:08:36	278.3	ok
11:08:42	283.4	ok
11:08:47	260.6	ok
11:08:53	270.9	ok
11:08:58	272.7	ok
11:09:04	283.2	ok
11:09:09	280.9	ok
11:09:15	288.3	ok
11:09:20	289.5	ok
11:09:26	323.5	ok
11:09:32	308.8	ok
11:09:37	299.3	ok
11:09:43	327.2	ok
11:09:48	270.9	ok
11:09:54	110.4	ok
11:09:59	290.4	ok
11:10:05	340.1	ok
11:10:10	281.1	ok
11:10:16	323.7	ok
11:10:21	149.5	ok
11:10:27	285.8	ok
11:10:32	275.4	ok
11:10:38	94.3	ok
11:10:43	238.0	ok
11:10:49	268.7	ok
11:10:54	250.5	ok
11:10:59	258.4	ok
11:11:05	266.1	ok
11:11:10	266.9	ok
11:11:16	264.8	ok
11:11:21	261.0	ok
11:11:27	287.2	ok
11:11:33	274.8	ok
11:11:38	287.5	ok
11:11:44	275.7	ok
11:11:49	105.4	ok
11:11:55	284.1	ok
11:12:00	260.0	ok
11:12:06	273.9	ok
11:12:11	266.4	ok
11:12:17	299.0	ok
11:12:22	289.8	ok
11:12:28	291.3	ok
11:12:33	281.6	ok
11:12:39	487.2	ok
11:12:45	283.4	ok
11:12:50	312.6	ok
11:12:56	461.9	ok
11:13:01	146.2	ok
11:13:07	296.2	ok
11:13:13	427.3	ok
11:13:18	291.9	ok
11:13:24	274.5	ok
11:13:29	279.5	ok
11:13:35	272.6	ok
11:13:40	315.7	ok
11:13:46	285.3	ok
11:13:51	308.4	ok
11:13:57	317.6	ok
11:14:03	286.3	ok
11:14:08	272.2	ok
11:14:14	267.7	ok
11:14:19	299.7	ok
11:14:25	284.4	ok
11:14:30	126.6	ok
11:14:36	288.7	ok
11:14:42	296.8	ok
11:14:47	109.0	ok
11:14:53	310.3	ok
11:14:58	142.4	ok
11:15:04	300.7	ok
11:15:09	285.1	ok
11:15:15	277.4	ok
11:15:20	102.8	ok
11:15:26	359.2	ok
