время	вниз_Б	вверх_Б	шлюз_мс	тун_pid
09:43:52	76805	14185	2.957	62647
09:43:54	84715	33028	2.842	62647
09:43:55	67555	18707	2.875	62647
09:43:56	74336	14928	2.301	62647
09:44:41	105409	36339	2.851	62647
09:44:42	111828	38532	3.678	62647
09:44:43	140202	55735	2.833	62647
09:44:44	173037	72011	3.428	62647
09:44:46	170147	77019	3.040	62647
09:44:47	147780	38235	2.850	62647
09:44:48	125523	39691	2.799	62647
09:44:49	142458	57944	2.733	62647
09:44:50	135906	28932	2.334	62647
09:44:52	125332	54409	2.998	62647
09:44:53	101047	21634	2.751	62647
09:44:54	146801	40279	3.561	62647
09:44:56	83845	27322	2.798	62647
09:44:57	77690	16465	2.999	62647
09:44:58	180630	105354	3.174	62647
09:44:59	84530	25755	2.417	62647
09:45:01	79548	1086709	5.427	62647
09:45:02	82248	1337571	2.737	62647
09:45:03	81030	16756	3.936	62647
09:45:04	79573	19751	3.350	62647
09:45:05	80143	15932	3.316	62647
09:45:07	80325	15825	3.104	62647
09:45:08	85680	26052	2.782	62647
09:45:09	93855	19567	2.705	62647
09:45:10	94158	16645	2.951	62647
09:45:12	117990	17672	2.921	62647
09:45:13	126213	33142	3.230	62647
09:45:14	93299	47803	3.235	62647
09:45:15	103555	16285	4.173	62647
09:45:16	94910	23133	2.950	62647
09:45:18	62479	22835	2.852	62647
09:45:19	75548	20919	2.794	62647
09:45:20	62105	17973	2.540	62647
09:45:21	77824	19390	2.317	62647
09:45:22	83902	19540	2.346	62647
09:45:24	87825	20311	2.800	62647
09:45:25	81382	18631	2.948	62647
09:45:26	79072	35552	3.182	62647
09:45:27	86570	20219	3.101	62647
09:45:29	76825	21197	2.641	62647
09:45:30	91692	24110	3.609	62647
09:45:31	97794	22080	2.737	62647
09:45:32	100978	21853	2.815	62647
09:45:34	113637	22207	2.781	62647
09:45:35	116716	21506	3.134	62647
09:45:36	118267	21899	141.003	62647
09:45:38	138371	78687	2.885	62647
09:45:39	142059	2377581	2.480	62647
09:45:40	117470	21539	2.982	62647
09:45:41	121251	21010	2.333	62647
09:45:42	123966	225599	2.440	62647
09:45:44	114054	23479	2.622	62647
09:45:45	101326	19476	2.711	62647
09:45:46	106779	19899	3.076	62647
09:45:47	120023	122630	2.812	62647
09:45:49	114391	2370282	3.214	62647
09:45:50	73183	14752	3.414	62647
09:45:51	79686	69097	3.329	62647
09:45:52	78946	18618	2.428	62647
09:45:53	75055	18786	3.629	62647
09:45:55	67522	16470	2.821	62647
09:45:56	62570	18366	3.358	62647
09:45:57	80716	18148	2.617	62647
