кадр	время	load1	своб_МБ	своп_МБ	dota_cpu	dota_МБ	тун_cpu	вахта_cpu	winsrv_cpu	en0_вниз	en0_вверх	повторы	не_в_срок
001	07:29:53	7.32	60	1827.50	321	1534	6	9	25	18977	5941	0	0
002	07:30:09	7.06	44	1827.50	320	1536	10	9	29	734387	230529	0	0
003	07:30:24	6.84	71	1827.50	316	1508	11	24	33	861241	2085397	0	0
004	07:30:40	7.10	77	1827.50	224	1468	4	15	23	821629	467717	0	0
005	07:30:55	7.70	76	1827.50	255	1481	8	40	26	774000	223231	0	0
006	07:31:11	7.76	87	1827.50	304	1441	4	11	29	701095	202278	0	0
007	07:31:26	7.94	87	1827.50	261	1452	8	40	27	631500	205787	0	0
008	07:31:42	8.12	80	1827.50	285	1450	5	12	25	635470	197769	0	0
009	07:31:58	8.72	80	1827.50	269	1451	10	38	22	641909	213183	0	0
010	07:32:13	8.50	84	1827.50	311	1416	7	5	41	882726	2687873	639506	0
011	07:32:29	7.93	58	1827.50	316	1424	14	3	27	742594	338704	0	0
012	07:32:44	7.45	30	1827.50	322	1435	9	6	27	797200	318499	0	0
013	07:32:59	7.14	22	1827.50	304	1440	6	12	24	652650	421753	0	0
014	07:33:15	6.67	27	1827.50	310	1443	5	21	26	640876	246618	0	0
015	07:33:30	7.16	131	1827.50	316	1415	9	4	26	785285	2021321	0	0
016	07:33:46	6.67	109	1827.50	317	1428	6	9	26	747002	310482	9086	0
017	07:34:01	7.30	86	1795.50	303	1424	8	5	26	810805	2225879	0	5886
