кадр	время	load1	своб_МБ	своп_МБ	dota_cpu	dota_МБ	тун_cpu	вахта_cpu	winsrv_cpu	en0_вниз	en0_вверх	повторы	не_в_срок	страниц_с_диска	из_свопа
001	07:34:56	6.54	56	1795.50	303	1439	6	12	26	16741	8412	0	0	19	0
002	07:35:11	7.15	42	1795.50	264	1439	4	6	20	590123	249469	24	0	1012	639
003	07:35:26	7.67	21	1795.50	276	1423	6	5	26	735973	2157574	0	0	435	184
004	07:35:42	9.57	58	1795.50	306	1427	12	68	25	703138	290821	0	0	508	255
005	07:35:58	8.42	44	1795.50	320	1440	7	4	20	927852	2210603	0	0	188	192
006	07:36:13	8.67	42	1795.50	303	1457	9	6	32	938863	255878	0	0	1511	317
007	07:36:29	8.46	75	1795.50	306	1460	10	6	25	939275	2063906	0	0	299	637
008	07:36:44	8.07	21	1795.50	286	1447	8	18	22	821818	460780	0	0	1557	192
009	07:37:00	8.04	67	1795.50	294	1445	6	13	27	656716	220971	0	0	288	1596
010	07:37:15	8.32	71	1795.50	294	1460	8	11	25	703131	241349	0	0	7198	256
011	07:37:31	7.94	80	1763.50	261	1483	6	28	19	856998	208428	0	0	485	1150
012	07:37:46	7.56	71	1763.50	276	1490	7	10	23	671077	219472	1111	0	211	63
013	07:38:02	7.92	68	1763.50	296	1492	6	31	19	679829	216608	0	0	307	64
014	07:38:17	8.55	87	1763.50	296	1493	6	13	27	623844	213653	0	0	76	191
015	07:38:33	7.90	70	1763.50	242	1478	9	23	17	1016240	287755	0	0	467	1083
016	07:38:49	7.92	82	1763.50	318	1502	10	52	25	957322	2059594	0	0	9339	1216
017	07:39:04	7.69	17	1763.50	330	1528	10	5	22	928439	2198782	0	0	342	320
018	07:39:20	7.56	29	1763.50	302	1499	8	3	33	855174	334240	0	0	1426	1728
019	07:39:35	6.78	62	1763.50	297	1513	10	1	24	771136	253687	0	0	259	318
020	07:39:51	6.55	35	1763.50	320	1521	8	1	29	712297	224597	0	0	26	192
021	07:40:06	6.57	27	1763.50	316	1515	5	4	26	778387	2049719	0	0	305	0
022	07:40:22	6.75	36	1763.50	298	1488	8	3	30	835001	2386346	0	0	1179	576
023	07:40:37	7.55	33	1763.50	307	1485	7	8	19	1064627	2186387	0	0	496	192
024	07:40:53	7.33	27	1763.50	303	1475	6	4	14	1122821	2245239	24	0	538	636
025	07:41:08	7.16	82	1763.50	300	1455	10	4	29	909121	2341640	0	0	712	64
026	07:41:23	6.66	88	1763.50	224	1466	10	7	22	997547	514932	0	0	514	64
027	07:41:39	6.65	79	1763.50	314	1482	11	9	22	1104899	2197063	0	0	367	127
028	07:41:54	6.80	51	1763.50	280	1505	8	80	26	781061	410096	0	0	235	64
029	07:42:10	7.63	87	1763.50	322	1485	6	4	27	795826	2058741	0	6605	465	128
030	07:42:25	7.05	66	1763.50	289	1497	12	16	19	806851	428764	1348	0	140	64
031	07:42:41	7.40	52	1763.50	284	1505	8	39	19	1075073	2373192	0	16216	352	0
032	07:42:56	7.26	19	1763.50	320	1518	9	12	20	826503	240091	0	0	105	256
033	07:43:12	6.91	60	1731.50	344	1521	10	4	18	1142937	2145989	0	0	3034	832
034	07:43:27	6.87	35	1731.50	286	1524	10	16	19	900821	398650	0	0	410	64
035	07:43:43	6.43	29	1731.50	309	1528	8	10	25	808359	411953	515	0	211	63
036	07:43:58	6.59	14	1731.50	285	1540	8	26	28	897412	240535	0	0	315	64
037	07:44:14	7.01	30	1731.50	306	1533	8	8	15	813541	223279	0	0	241	64
038	07:44:29	6.87	27	1731.50	295	1530	8	30	24	933129	234480	0	0	340	114
039	07:44:45	7.57	484	1782.00	306	1468	6	7	25	1050733	2210852	0	0	4659	128
040	07:45:00	7.68	432	1782.00	315	1491	10	4	21	942511	345120	0	0	413	253
041	07:45:16	6.86	375	1782.00	325	1508	9	4	23	983596	2248694	0	0	165	64
042	07:45:31	6.82	327	1782.00	323	1518	9	5	19	908210	304951	0	0	147	384
043	07:45:47	7.20	287	1782.00	251	1522	9	9	18	753550	417509	0	0	1454	678
044	07:46:02	7.18	155	1782.00	314	1550	8	8	23	867122	2149446	0	0	293	448
