время	вниз_Бс	вверх_Бс	load1
05:54:53	58515	246986	7.72
05:54:58	60332	242645	7.74
05:55:03	63730	240798	7.60
05:55:08	47883	29324	7.39
05:55:14	54685	77603	7.28
05:55:19	53595	241667	7.02
05:55:24	49346	16956	6.61
05:55:29	46332	23152	6.40
05:55:34	45971	76156	6.53
05:55:39	48125	18560	6.65
05:55:44	56684	247742	6.44
05:55:49	57712	22516	6.40
05:55:54	61150	304350	6.34
05:56:00	44529	15432	6.31
05:56:05	57671	262020	6.61
05:56:10	80764	32833	6.40
05:56:15	72954	22307	6.45
05:56:20	61464	15497	6.33
05:56:25	66087	18240	6.54
05:56:30	55600	256271	6.50
05:56:35	46299	74476	6.46
05:56:41	51747	261910	6.26
05:56:46	52683	15092	6.32
05:56:51	57059	74912	6.29
05:56:56	71231	264908	6.43
05:57:01	60281	19522	6.72
05:57:06	60413	22675	6.66
05:57:11	63269	74615	6.53
05:57:16	44999	15511	6.56
05:57:22	80608	19258	6.52
05:57:27	63076	255435	6.40
05:57:32	31175	11370	6.04
05:57:37	135841	26906	6.36
05:57:42	63294	16878	6.25
05:57:47	52039	17635	6.23
05:57:52	57594	14644	6.29
05:57:58	56745	14630	6.35
05:58:03	57148	15252	6.56
05:58:08	67214	245851	6.52
05:58:13	60614	85002	6.63
05:58:18	59171	17745	7.30
05:58:23	59958	18081	7.68
05:58:28	52421	13751	7.79
05:58:33	61247	239641	7.48
05:58:38	62901	243288	7.20
05:58:44	66729	252913	6.95
05:58:49	56514	20022	7.19
05:58:54	59506	14878	7.17
05:58:59	57652	77158	7.48
05:59:04	46883	15350	7.52
05:59:09	50857	15411	7.40
05:59:14	46165	14795	7.13
05:59:20	57795	247166	7.12
05:59:25	69262	249478	7.10
05:59:30	73439	252855	6.78
05:59:35	71764	29569	6.71
05:59:40	75055	310375	6.82
05:59:45	50661	16293	6.91
05:59:50	53698	19069	7.16
05:59:55	61032	14762	7.15
06:00:01	58363	262634	7.05
06:00:06	57614	96961	6.97
06:00:11	92170	92632	7.61
06:00:16	54952	246585	7.80
06:00:21	55189	73979	7.98
06:00:26	68051	244715	8.06
06:00:31	60878	276550	8.30
06:00:36	61466	15223	8.43
06:00:42	74180	14225	8.08
06:00:47	62453	16744	7.75
06:00:52	70094	76037	7.85
06:00:57	57706	16022	7.78
06:01:02	51684	16343	7.72
06:01:07	53120	49529	7.82
06:01:12	56036	222456	7.68
06:01:18	55406	14228	7.78
06:01:23	58189	17309	7.64
06:01:28	56950	15075	7.35
06:01:33	54633	79381	7.88
06:01:38	69079	24357	7.41
06:01:43	52113	14203	7.62
