время	процесс	вниз_Б	вверх_Б	дубли	не_в_срок	повторы
06:21:14	steam_osx	19025389	196020547	5830	0	4954
06:21:14	dota2	254535067	30776317	0	0	0
06:21:14	Tunnel	251487100	264410228	28872	116256	1039184
06:21:24	steam_osx	19068622	196364597	5830	0	4954
06:21:24	dota2	255112171	30847043	0	0	0
06:21:24	Tunnel	252860378	265245051	28872	116256	1039184
06:21:34	steam_osx	19112126	196420845	5830	0	4954
06:21:34	dota2	255688634	30914357	0	0	0
06:21:34	Tunnel	254217029	266027097	28872	116256	1039184
06:21:44	steam_osx	19155068	196467482	5830	0	4954
06:21:44	dota2	256281531	31011167	0	0	0
06:21:44	Tunnel	255667188	267012139	28872	116256	1039208
06:21:54	steam_osx	19197673	196515863	5830	0	4954
06:21:54	dota2	256913210	31108463	0	0	0
06:21:54	Tunnel	257058459	267879459	28872	116256	1039184
06:22:05	steam_osx	19239665	196570871	5830	0	4954
06:22:05	dota2	257665118	31208216	0	0	0
06:22:05	Tunnel	258680763	268797909	28872	116256	1039184
06:22:15	steam_osx	19284295	196625295	5830	0	4954
06:22:15	dota2	258353843	31324991	0	0	0
06:22:15	Tunnel	260400581	269973299	30440	116256	1039763
06:22:25	steam_osx	19335559	196774978	5830	0	4954
06:22:25	dota2	259026185	31422949	0	0	0
06:22:25	Tunnel	261776098	270952370	30440	116256	1039763
06:22:35	steam_osx	19395836	196832940	5830	0	4954
06:22:35	dota2	259715055	31543255	0	0	0
06:22:35	Tunnel	263342507	271999551	30440	116256	1039763
06:22:45	steam_osx	19439335	196902976	5830	0	4954
06:22:45	dota2	260298885	31647043	0	0	0
06:22:45	Tunnel	264801670	273141967	30440	116256	1039763
06:22:56	steam_osx	19482156	196949503	5830	0	4954
06:22:56	dota2	260757475	31741810	0	0	0
06:22:56	Tunnel	265842005	273765616	30440	116256	1039763
06:23:06	steam_osx	19524823	196997146	5830	0	4954
06:23:06	dota2	261317599	31844093	0	0	0
06:23:06	Tunnel	267121503	274618351	30440	116256	1039763
06:23:16	steam_osx	19567305	197045277	5830	0	4954
06:23:16	dota2	261795083	31957583	0	0	0
06:23:16	Tunnel	268088517	275189749	32134	116256	1041376
06:23:26	steam_osx	19610917	197168763	5830	0	4954
06:23:26	dota2	262237638	32055232	0	0	0
06:23:26	Tunnel	268942921	275665673	32134	116256	1041376
06:23:36	steam_osx	19653420	197217542	5830	0	4954
06:23:36	dota2	262712859	32158008	0	0	0
06:23:36	Tunnel	270190898	276658296	32134	116256	1041376
06:23:47	steam_osx	19700095	197340900	5830	0	4954
06:23:47	dota2	263420220	32265605	0	0	0
06:23:47	Tunnel	271606496	277495063	32134	116256	1041376
06:23:57	steam_osx	19744496	197408411	5830	0	4954
06:23:57	dota2	264179544	32368705	0	0	0
06:23:57	Tunnel	273608085	279111655	32134	116256	1041376
06:24:07	steam_osx	19787138	197458957	5830	0	4954
06:24:07	dota2	264800415	32470871	0	0	0
06:24:07	Tunnel	274963498	279927331	32134	116256	1041376
06:24:17	steam_osx	19830599	197517801	5830	0	4954
06:24:17	dota2	265397422	32579959	0	0	0
06:24:17	Tunnel	276505014	281190455	32134	116256	1041376
06:24:27	steam_osx	19873084	197564355	5830	0	4954
06:24:27	dota2	265961806	32677052	0	0	0
06:24:27	Tunnel	277918445	282266954	32134	116256	1041376
06:24:37	steam_osx	19915752	197611340	5830	0	4954
06:24:37	dota2	266591397	32779884	0	0	0
06:24:37	Tunnel	279629036	283680514	32134	116256	1041376
06:24:48	steam_osx	19959077	197670640	5830	0	4954
06:24:48	dota2	267286465	32886100	0	0	0
06:24:48	Tunnel	281140651	284580153	32134	116256	1041376
