время	процесс	вниз_Б	вверх_Б	дубли	не_в_срок	повторы
06:36:44	steam_osx	390393	84397	6132	0	4993
06:36:44	dota2	143200806	19884770	0	0	0
06:36:44	Tunnel	18414521	60543783	21752	62174	1069804
06:36:54	steam_osx	391167	84397	6132	0	4993
06:36:54	dota2	143573318	19942943	0	0	0
06:36:54	Tunnel	18812730	60624780	21752	62174	1069804
06:37:04	steam_osx	391167	84451	6132	0	4993
06:37:04	dota2	144062294	20025524	0	0	0
06:37:04	Tunnel	19330229	60726026	21752	69966	1069804
06:37:14	steam_osx	391167	84451	6132	0	4993
06:37:14	dota2	144445873	20092955	0	0	0
06:37:14	Tunnel	19758758	61023211	21752	69966	1069804
06:37:25	steam_osx	391738	84451	6132	0	4993
06:37:25	dota2	144796120	20159105	0	0	0
06:37:25	Tunnel	20153231	61239148	21752	69966	1069804
06:37:35	steam_osx	391738	84505	6132	0	4993
06:37:35	dota2	145141196	20217944	0	0	0
06:37:35	Tunnel	20520645	61310459	21752	69966	1069804
06:37:45	steam_osx	392306	84505	6132	0	4993
06:37:45	dota2	145513298	20275950	0	0	0
06:37:45	Tunnel	20925524	61607529	21752	69966	1069804
06:37:55	steam_osx	392884	84559	6132	0	4993
06:37:55	dota2	145866442	20334180	0	0	0
06:37:55	Tunnel	21321342	61723926	21752	69966	1069804
06:38:05	steam_osx	393072	84559	6132	0	4993
06:38:05	dota2	146267789	20406635	0	0	0
06:38:05	Tunnel	21769103	62029020	21752	69966	1069804
06:38:15	steam_osx	393072	84559	6132	0	4993
06:38:15	dota2	146636724	20457004	0	0	0
06:38:15	Tunnel	22190675	62418439	21752	69966	1069804
06:38:25	steam_osx	393375	84613	6132	0	4993
06:38:25	dota2	147016858	20511070	0	0	0
06:38:25	Tunnel	22601398	62621145	21752	69966	1071665
06:38:35	steam_osx	393375	84613	6132	0	4993
06:38:35	dota2	147328158	20581151	0	0	0
06:38:35	Tunnel	22944786	62978452	21752	69966	1071665
06:38:46	steam_osx	393957	84613	6132	0	4993
06:38:46	dota2	147657681	20632977	0	0	0
06:38:46	Tunnel	23338060	63181052	21752	69966	1071665
06:38:56	steam_osx	394146	84667	6132	0	4993
06:38:56	dota2	148048184	20690274	0	0	0
06:38:56	Tunnel	23766070	63475325	21752	69966	1071665
06:39:06	steam_osx	394841	85088	6132	0	4993
06:39:06	dota2	148462112	20770386	0	0	0
06:39:06	Tunnel	23630795	63560145	20924	67565	1071665
06:39:16	steam_osx	394938	85088	6132	0	4993
06:39:16	dota2	148934569	20841058	0	0	0
06:39:16	Tunnel	24142228	63657125	20924	67565	1071665
06:39:26	steam_osx	395417	85142	6132	0	4993
06:39:26	dota2	149335405	20892367	0	0	0
06:39:26	Tunnel	24600158	63742055	20924	67565	1079753
06:39:36	steam_osx	395417	85142	6132	0	4993
06:39:36	dota2	149660620	20970887	0	0	0
06:39:36	Tunnel	24976554	64173274	20924	67565	1081101
06:39:46	steam_osx	395983	85142	6132	0	4993
06:39:46	dota2	150001885	21019977	0	0	0
06:39:46	Tunnel	25348172	64269068	20924	67565	1081101
06:39:56	steam_osx	395983	85196	6132	0	4993
06:39:56	dota2	150334151	21077590	0	0	0
06:39:56	Tunnel	25717890	64362535	20924	67565	1081101
06:40:07	steam_osx	396193	85196	6132	0	4993
06:40:07	dota2	150671060	21139719	0	0	0
06:40:07	Tunnel	26091411	64442291	20924	67565	1081101
06:40:17	steam_osx	396775	85250	6132	0	4993
06:40:17	dota2	151025872	21215467	0	0	0
06:40:17	Tunnel	26487088	64535971	20924	67565	1081101
06:40:27	steam_osx	396775	85250	6132	0	4993
06:40:27	dota2	151358685	21274210	0	0	0
06:40:27	Tunnel	26857022	64619676	20924	67565	1081101
06:40:37	steam_osx	396963	85250	6132	0	4993
06:40:37	dota2	151745210	21331579	0	0	0
06:40:37	Tunnel	27306178	65036936	20924	67565	1081101
06:40:47	steam_osx	396963	85304	6132	0	4993
06:40:47	dota2	152224688	21386375	0	0	0
06:40:47	Tunnel	27798964	64858424	20924	67565	1081101
06:40:57	steam_osx	397152	85304	6132	0	4993
06:40:57	dota2	152799307	21450905	0	0	0
06:40:57	Tunnel	28425007	64957615	20924	67565	1081101
06:41:07	steam_osx	398292	85304	6132	0	4993
06:41:07	dota2	153364253	21519225	0	0	0
06:41:07	Tunnel	29027317	65025373	20924	67565	1081101
06:41:18	steam_osx	398873	85358	6132	0	4993
06:41:18	dota2	153777206	21575662	0	0	0
06:41:18	Tunnel	29471748	65087321	20924	67565	1081149
06:41:28	steam_osx	398873	85358	6132	0	4993
06:41:28	dota2	154135610	21625589	0	0	0
06:41:28	Tunnel	29858648	65142303	20924	67565	1074274
06:41:38	steam_osx	398873	85412	6132	0	4993
06:41:38	dota2	154540851	21678574	0	0	0
06:41:38	Tunnel	30298566	65210338	20924	67565	1074274
06:41:48	steam_osx	398873	85412	6132	0	4993
06:41:48	dota2	154934889	21738535	0	0	0
06:41:48	Tunnel	30731758	65288934	20924	67565	1074274
06:41:58	steam_osx	398873	85412	6132	0	4993
06:41:58	dota2	155296573	21796428	0	0	0
06:41:58	Tunnel	31125210	65368957	20924	67565	1074274
06:42:08	steam_osx	398965	85466	6132	0	4993
06:42:08	dota2	155736789	21853347	0	0	0
06:42:08	Tunnel	31620141	65457906	20924	67565	1074274
06:42:18	steam_osx	399657	85887	6132	0	4993
06:42:18	dota2	156197438	21913001	0	0	0
06:42:18	Tunnel	32096608	65512714	20924	67565	1074274
06:42:28	steam_osx	399657	85887	6132	0	4993
06:42:28	dota2	156643605	21967354	0	0	0
06:42:28	Tunnel	32614467	65620874	20924	67565	1074274
06:42:39	steam_osx	399849	85941	6132	0	4993
06:42:39	dota2	157127607	22030496	0	0	0
06:42:39	Tunnel	33141154	65935526	20924	67565	1074274
06:42:49	steam_osx	399849	85941	6132	0	4993
06:42:49	dota2	157577592	22089237	0	0	0
06:42:49	Tunnel	33645375	66251535	20924	67565	1074298
06:42:59	steam_osx	400620	85995	6132	0	4993
06:42:59	dota2	158005862	22160623	0	0	0
06:42:59	Tunnel	34108536	66348163	20924	67565	1074274
06:43:09	steam_osx	400809	85995	6132	0	4993
06:43:09	dota2	56519546	8735831	0	0	0
06:43:09	Tunnel	30799540	65149400	18132	45443	1069863
06:43:19	steam_osx	401587	85995	6132	0	4993
06:43:19	dota2	56782964	8685808	0	0	0
