# дата	версия	файлов	байт	sha256
2026-08-22	2.29.0	420	2793093	5c5c76abc50ede5fbdc9cb9c206476290939230807e30497967b8e401d6ce5dd
2026-08-22	2.30.0	421	2803411	ab9063568011c8278e1ecae795ccb5c19ca932d5f54b0c39cd4ac0aca7676baf
2026-08-22	2.31.0	421	2808022	1267f46ee67181bbba62a6640fa3a795d956a691207817714ce4c2f84bf320d1
2026-08-22	2.32.0	421	2818267	29a2ea2fca44bf50d574cedd9bf3b08848c973ec77cf3323a1a550eb1f9b80f2
2026-08-22	2.33.0	421	2821752	13c596ed47f07adff689794c7e7fd91ba54293fb6ef4c35b61e45eeaf56530ae
2026-08-22	2.34.0	421	2825884	992e440575ac8c6d0b250ef76245965c16396cb4f4542a9e1bd15dbfaeb63113
2026-08-22	2.35.0	421	2830233	4ec9c8121a43fb5973326fd8b931827a3553cfae37c8b127fcdfb5602849ed40
2026-08-22	2.36.0	421	2835122	ac1ac415900fd57ddb00abfddd0863cf7cf8b39682fe6192a1a4d198d53444a3
2026-08-22	2.37.0	421	2847443	28c1a19a9a2619bf42e9525cb9d23258e7f56feefa6b48c8f5b9d31200cfc34c
2026-08-22	2.38.0	422	2855378	ac6119880fc1c7effe87bb6eb9928afbaf1799bc1ad02a65a2aa38186c5793b9
2026-08-22	2.39.0	422	2863623	6924d37dedc0acff9e8d4bc45e994faeb4e7e1fad55bd0f3257035c2d34d573b
2026-08-22	2.40.0	422	2866828	66bfc302a3bd5827a4b223074057983866311b39d4a58c670abc43c201e02f24
2026-08-22	2.41.0	422	2870820	de38a8ce69bba8a36a7ec0149505a5c987f19e6a6fdd9f19451c909d2ef11df6
2026-08-22	2.42.0	424	2880080	be03096339eecd6f60a633168641f530bfb5777dccf0dd6d458f1369f1aabd40
2026-08-22	2.43.0	425	2894434	c5a1feb637b3ba771d2bf59cad23069a99a20cebeb04a509e688fc0c94baaed3
2026-08-22	2.44.0	426	3020999	7011cf31fa8c2a3ff17e9297de18dff285679388d0f247b4cdfc0b098470cc9e
2026-08-22	2.45.0	426	3024437	ba06dbe199c321482dcd9c7c6201bfdecbac493a9e62983dfd15c4930c64c34e
2026-08-22	2.46.0	426	2991472	14df58e69d903da7cce818352b8db405e7d792fbd3348b10b95273d0690c669e
2026-08-22	2.47.0	426	2995253	48cca7f3fc6434d5059b7d073aa66cae1619fdc8882b277e6f340f432c433e42
2026-08-22	2.48.0	427	3008623	fa27339c1e4b64481738f0e88a6aa1c83316fb386e46534d1d993c2701d734b0
2026-08-22	2.49.0	427	3009978	b2125e1f8b11416d1d92d2d01fd77690b1b83034049bbf10ba7e4da0af987753
2026-08-22	2.50.0	427	3013415	d44d986cb26f912172048f31e1647bf6b4c2c6338017dbe4b7dcdcd6928a0049
2026-08-22	2.51.0	433	3047335	30e6e6c947f605738ae8541d56f231974734b75599fe4b06d17ca5f41defea0a
2026-08-22	2.52.0	435	3062048	4b84d7c2498b11282c47a52b5c9f85ce09969c370bdb513a606fcc714aab53f7
2026-08-22	2.53.0	435	3064183	69a1edcd0511ed08bc222001a3ebbb78ffd3a6d24c2cdf67e0c264959b9113d7
