date,value,unit,region,breakdown
2014-01-01,1.98,percent_annual,RU,''до востребова-ния''**
2014-01-01,2.18,percent_annual,RU,"до 30 дней, включая ''до востребова-ния''"
2014-01-01,4.85,percent_annual,RU,"до 30 дней, кроме ''до востребова-ния''"
2014-01-01,5.01,percent_annual,RU,от 31 до 90 дней
2014-01-01,5.8,percent_annual,RU,от 91 до 180 дней
2014-01-01,7.17,percent_annual,RU,от 181 дня до 1 года
2014-01-01,5.3,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-01-01,6.03,percent_annual,RU,"до 1 года, кроме ''до востребова-ния''"
2014-01-01,7.32,percent_annual,RU,от 1 года до 3 лет
2014-01-01,7.43,percent_annual,RU,свыше 3 лет
2014-01-01,7.33,percent_annual,RU,свыше 1 года
2014-02-01,1.77,percent_annual,RU,''до востребова-ния''**
2014-02-01,2.3,percent_annual,RU,"до 30 дней, включая ''до востребова-ния''"
2014-02-01,4.85,percent_annual,RU,"до 30 дней, кроме ''до востребова-ния''"
2014-02-01,4.98,percent_annual,RU,от 31 до 90 дней
2014-02-01,5.75,percent_annual,RU,от 91 до 180 дней
2014-02-01,7.04,percent_annual,RU,от 181 дня до 1 года
2014-02-01,5.09,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-02-01,5.94,percent_annual,RU,"до 1 года, кроме ''до востребова-ния''"
2014-02-01,7.3,percent_annual,RU,от 1 года до 3 лет
2014-02-01,7.28,percent_annual,RU,свыше 3 лет
2014-02-01,7.3,percent_annual,RU,свыше 1 года
2014-03-01,1.57,percent_annual,RU,''до востребова-ния''**
2014-03-01,1.79,percent_annual,RU,"до 30 дней, включая ''до востребова-ния''"
2014-03-01,4.74,percent_annual,RU,"до 30 дней, кроме ''до востребова-ния''"
2014-03-01,5.01,percent_annual,RU,от 31 до 90 дней
2014-03-01,5.64,percent_annual,RU,от 91 до 180 дней
2014-03-01,7.02,percent_annual,RU,от 181 дня до 1 года
2014-03-01,5.07,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-03-01,5.91,percent_annual,RU,"до 1 года, кроме ''до востребова-ния''"
2014-03-01,7.17,percent_annual,RU,от 1 года до 3 лет
2014-03-01,7.08,percent_annual,RU,свыше 3 лет
2014-03-01,7.17,percent_annual,RU,свыше 1 года
2014-04-01,1.28,percent_annual,RU,''до востребова-ния''**
2014-04-01,1.84,percent_annual,RU,"до 30 дней, включая ''до востребова-ния''"
2014-04-01,4.54,percent_annual,RU,"до 30 дней, кроме ''до востребова-ния''"
2014-04-01,5.07,percent_annual,RU,от 31 до 90 дней
2014-04-01,5.68,percent_annual,RU,от 91 до 180 дней
2014-04-01,7.2,percent_annual,RU,от 181 дня до 1 года
2014-04-01,5.18,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-04-01,6.04,percent_annual,RU,"до 1 года, кроме ''до востребова-ния''"
2014-04-01,7.61,percent_annual,RU,от 1 года до 3 лет
2014-04-01,6.97,percent_annual,RU,свыше 3 лет
2014-04-01,7.56,percent_annual,RU,свыше 1 года
2014-05-01,1.1,percent_annual,RU,''до востребова-ния''**
2014-05-01,1.41,percent_annual,RU,"до 30 дней, включая ''до востребова-ния''"
2014-05-01,5.48,percent_annual,RU,"до 30 дней, кроме ''до востребова-ния''"
2014-05-01,5.1,percent_annual,RU,от 31 до 90 дней
2014-05-01,5.79,percent_annual,RU,от 91 до 180 дней
2014-05-01,7.19,percent_annual,RU,от 181 дня до 1 года
2014-05-01,5.19,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-05-01,6.06,percent_annual,RU,"до 1 года, кроме ''до востребова-ния''"
2014-05-01,7.85,percent_annual,RU,от 1 года до 3 лет
2014-05-01,6.95,percent_annual,RU,свыше 3 лет
2014-05-01,7.78,percent_annual,RU,свыше 1 года
2014-06-01,1.2,percent_annual,RU,''до востребова-ния''**
2014-06-01,1.79,percent_annual,RU,"до 30 дней, включая ''до востребова-ния''"
2014-06-01,4.72,percent_annual,RU,"до 30 дней, кроме ''до востребова-ния''"
2014-06-01,5.16,percent_annual,RU,от 31 до 90 дней
2014-06-01,5.91,percent_annual,RU,от 91 до 180 дней
2014-06-01,7.4,percent_annual,RU,от 181 дня до 1 года
2014-06-01,5.33,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-06-01,6.21,percent_annual,RU,"до 1 года, кроме ''до востребова-ния''"
