date,value,unit,region,breakdown
2010-01-01,12.97,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-01-11,12.41,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-01-21,11.91,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-02-01,11.37,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-02-11,10.91,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-02-21,10.87,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-03-01,10.77,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-03-11,10.59,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-03-21,10.39,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-04-01,10.34,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-04-11,10.13,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-04-21,9.68,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-05-01,9.63,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-05-11,9.63,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-05-21,9.52,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-06-01,9.22,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-06-11,9.35,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-06-21,9.28,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-07-01,9.22,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-07-11,9.1,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-07-21,9.07,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-08-01,8.78,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-08-11,8.76,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-08-21,8.74,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-09-01,8.73,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-09-11,8.73,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-09-21,8.73,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-10-01,8.5,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-10-11,8.5,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-10-21,8.5,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-11-01,8.5,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-11-11,8.46,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-11-21,8.46,percent_annual,RU,top10_max_deposit_rate|decade_III
2010-12-01,8.57,percent_annual,RU,top10_max_deposit_rate|decade_I
2010-12-11,8.57,percent_annual,RU,top10_max_deposit_rate|decade_II
2010-12-21,8.35,percent_annual,RU,top10_max_deposit_rate|decade_III
2011-01-01,8.25,percent_annual,RU,top10_max_deposit_rate|decade_I
2011-01-11,8.14,percent_annual,RU,top10_max_deposit_rate|decade_II
2011-01-21,8.14,percent_annual,RU,top10_max_deposit_rate|decade_III
2011-02-01,8.18,percent_annual,RU,top10_max_deposit_rate|decade_I
2011-02-11,8.18,percent_annual,RU,top10_max_deposit_rate|decade_II
2011-02-21,8.1,percent_annual,RU,top10_max_deposit_rate|decade_III
2011-03-01,8.1,percent_annual,RU,top10_max_deposit_rate|decade_I
2011-03-11,8.13,percent_annual,RU,top10_max_deposit_rate|decade_II
2011-03-21,8.13,percent_annual,RU,top10_max_deposit_rate|decade_III
2011-04-01,8.3,percent_annual,RU,top10_max_deposit_rate|decade_I
2011-04-11,8.3,percent_annual,RU,top10_max_deposit_rate|decade_II
2011-04-21,8.3,percent_annual,RU,top10_max_deposit_rate|decade_III
2011-05-01,8.3,percent_annual,RU,top10_max_deposit_rate|decade_I
2011-05-11,8.3,percent_annual,RU,top10_max_deposit_rate|decade_II
2011-05-21,8.3,percent_annual,RU,top10_max_deposit_rate|decade_III
2011-06-01,7.86,percent_annual,RU,top10_max_deposit_rate|decade_I
2011-06-11,7.85,percent_annual,RU,top10_max_deposit_rate|decade_II
2011-06-21,7.85,percent_annual,RU,top10_max_deposit_rate|decade_III
2011-07-01,7.88,percent_annual,RU,top10_max_deposit_rate|decade_I
2011-07-11,7.88,percent_annual,RU,top10_max_deposit_rate|decade_II
2011-07-21,7.88,percent_annual,RU,top10_max_deposit_rate|decade_III
