date,value,unit,region,breakdown
2026-07-31,113,funds,RU,cbr_pif_showcase|etf_bpif|all|count
2026-07-31,0.47,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|all|management_fee|p25|n=113
2026-07-31,0.7,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|all|management_fee|median|n=113
2026-07-31,1,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|all|management_fee|p75|n=113
2026-07-31,0.051,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|all|infrastructure_fee|p25|n=113
2026-07-31,0.1,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|all|infrastructure_fee|median|n=113
2026-07-31,0.18,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|all|infrastructure_fee|p75|n=113
2026-07-31,0.09835,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|all|max_other_expenses|p25|n=113
2026-07-31,0.15,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|all|max_other_expenses|median|n=113
2026-07-31,0.28,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|all|max_other_expenses|p75|n=113
2026-07-31,-8.98309,percent_12m,RU,cbr_pif_showcase|etf_bpif|all|return_12m|p25|n=94
2026-07-31,10.2141,percent_12m,RU,cbr_pif_showcase|etf_bpif|all|return_12m|median|n=94
2026-07-31,16.4946,percent_12m,RU,cbr_pif_showcase|etf_bpif|all|return_12m|p75|n=94
2026-07-31,33,funds,RU,cbr_pif_showcase|etf_bpif|bonds|count
2026-07-31,0.5,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|bonds|management_fee|p25|n=33
2026-07-31,0.6,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|bonds|management_fee|median|n=33
2026-07-31,0.8,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|bonds|management_fee|p75|n=33
2026-07-31,0.059,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|bonds|infrastructure_fee|p25|n=33
2026-07-31,0.1,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|bonds|infrastructure_fee|median|n=33
2026-07-31,0.15,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|bonds|infrastructure_fee|p75|n=33
2026-07-31,0.09,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|bonds|max_other_expenses|p25|n=33
2026-07-31,0.14,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|bonds|max_other_expenses|median|n=33
2026-07-31,0.2,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|bonds|max_other_expenses|p75|n=33
2026-07-31,7.92433,percent_12m,RU,cbr_pif_showcase|etf_bpif|bonds|return_12m|p25|n=24
2026-07-31,14.0532,percent_12m,RU,cbr_pif_showcase|etf_bpif|bonds|return_12m|median|n=24
2026-07-31,16.4054,percent_12m,RU,cbr_pif_showcase|etf_bpif|bonds|return_12m|p75|n=24
2026-07-31,33,funds,RU,cbr_pif_showcase|etf_bpif|equity|count
2026-07-31,0.7,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|equity|management_fee|p25|n=33
2026-07-31,1,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|equity|management_fee|median|n=33
2026-07-31,1.8,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|equity|management_fee|p75|n=33
2026-07-31,0.09,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|equity|infrastructure_fee|p25|n=33
2026-07-31,0.13,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|equity|infrastructure_fee|median|n=33
2026-07-31,0.2,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|equity|infrastructure_fee|p75|n=33
2026-07-31,0.07,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|equity|max_other_expenses|p25|n=33
2026-07-31,0.14,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|equity|max_other_expenses|median|n=33
2026-07-31,0.2,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|equity|max_other_expenses|p75|n=33
2026-07-31,-14.0396,percent_12m,RU,cbr_pif_showcase|etf_bpif|equity|return_12m|p25|n=29
2026-07-31,-11.8202,percent_12m,RU,cbr_pif_showcase|etf_bpif|equity|return_12m|median|n=29
2026-07-31,-9.3551,percent_12m,RU,cbr_pif_showcase|etf_bpif|equity|return_12m|p75|n=29
2026-07-31,7,funds,RU,cbr_pif_showcase|etf_bpif|gold|count
2026-07-31,0.35,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|gold|management_fee|p25|n=7
2026-07-31,0.75,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|gold|management_fee|median|n=7
2026-07-31,1.25,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|gold|management_fee|p75|n=7
2026-07-31,0.0745,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|gold|infrastructure_fee|p25|n=7
2026-07-31,0.1,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|gold|infrastructure_fee|median|n=7
2026-07-31,0.19,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|gold|infrastructure_fee|p75|n=7
2026-07-31,0.33,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|gold|max_other_expenses|p25|n=7
2026-07-31,0.4,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|gold|max_other_expenses|median|n=7
2026-07-31,0.7,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|gold|max_other_expenses|p75|n=7
2026-07-31,19.5526,percent_12m,RU,cbr_pif_showcase|etf_bpif|gold|return_12m|p25|n=7
2026-07-31,21.5595,percent_12m,RU,cbr_pif_showcase|etf_bpif|gold|return_12m|median|n=7
2026-07-31,22.4761,percent_12m,RU,cbr_pif_showcase|etf_bpif|gold|return_12m|p75|n=7
2026-07-31,33,funds,RU,cbr_pif_showcase|etf_bpif|money_market|count
2026-07-31,0.2,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|money_market|management_fee|p25|n=33
2026-07-31,0.35,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|money_market|management_fee|median|n=33
2026-07-31,0.95,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|money_market|management_fee|p75|n=33
2026-07-31,0.049,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|money_market|infrastructure_fee|p25|n=33
2026-07-31,0.051,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|money_market|infrastructure_fee|median|n=33
2026-07-31,0.1,percent_of_nav_year,RU,cbr_pif_showcase|etf_bpif|money_market|infrastructure_fee|p75|n=33
