date,value,unit,region,breakdown
2010-01-01,4.42149,rub_per_unit,RU,CNY
2010-01-12,4.31095,rub_per_unit,RU,CNY
2010-01-13,4.30331,rub_per_unit,RU,CNY
2010-01-14,4.34184,rub_per_unit,RU,CNY
2010-01-15,4.31075,rub_per_unit,RU,CNY
2010-01-16,4.33004,rub_per_unit,RU,CNY
2010-01-19,4.33537,rub_per_unit,RU,CNY
2010-01-20,4.32377,rub_per_unit,RU,CNY
2010-01-21,4.34925,rub_per_unit,RU,CNY
2010-01-22,4.35762,rub_per_unit,RU,CNY
2010-01-23,4.35715,rub_per_unit,RU,CNY
2010-01-26,4.4083,rub_per_unit,RU,CNY
2010-01-27,4.44032,rub_per_unit,RU,CNY
2010-01-28,4.43717,rub_per_unit,RU,CNY
2010-01-29,4.4475,rub_per_unit,RU,CNY
2010-01-30,4.45767,rub_per_unit,RU,CNY
2010-02-02,4.45285,rub_per_unit,RU,CNY
2010-02-03,4.42099,rub_per_unit,RU,CNY
2010-02-04,4.37662,rub_per_unit,RU,CNY
2010-02-05,4.3964,rub_per_unit,RU,CNY
2010-02-06,4.4624,rub_per_unit,RU,CNY
2010-02-09,4.47007,rub_per_unit,RU,CNY
2010-02-10,4.44903,rub_per_unit,RU,CNY
2010-02-11,4.42954,rub_per_unit,RU,CNY
2010-02-12,4.40874,rub_per_unit,RU,CNY
2010-02-13,4.41464,rub_per_unit,RU,CNY
2010-02-16,4.4225,rub_per_unit,RU,CNY
2010-02-17,4.40741,rub_per_unit,RU,CNY
2010-02-18,4.3867,rub_per_unit,RU,CNY
2010-02-19,4.40685,rub_per_unit,RU,CNY
2010-02-20,4.41508,rub_per_unit,RU,CNY
2010-02-25,4.39871,rub_per_unit,RU,CNY
2010-02-26,4.40208,rub_per_unit,RU,CNY
2010-02-27,4.40064,rub_per_unit,RU,CNY
2010-02-28,4.38734,rub_per_unit,RU,CNY
2010-03-02,4.38451,rub_per_unit,RU,CNY
2010-03-03,4.39114,rub_per_unit,RU,CNY
2010-03-04,4.36778,rub_per_unit,RU,CNY
2010-03-05,4.36865,rub_per_unit,RU,CNY
2010-03-06,4.37064,rub_per_unit,RU,CNY
2010-03-10,4.35819,rub_per_unit,RU,CNY
2010-03-11,4.35396,rub_per_unit,RU,CNY
2010-03-12,4.32406,rub_per_unit,RU,CNY
2010-03-13,4.30587,rub_per_unit,RU,CNY
2010-03-16,4.29752,rub_per_unit,RU,CNY
2010-03-17,4.31054,rub_per_unit,RU,CNY
2010-03-18,4.27675,rub_per_unit,RU,CNY
2010-03-19,4.28084,rub_per_unit,RU,CNY
2010-03-20,4.28604,rub_per_unit,RU,CNY
2010-03-23,4.29704,rub_per_unit,RU,CNY
2010-03-24,4.3171,rub_per_unit,RU,CNY
2010-03-25,4.33252,rub_per_unit,RU,CNY
2010-03-26,4.34321,rub_per_unit,RU,CNY
2010-03-27,4.3229,rub_per_unit,RU,CNY
2010-03-30,4.3407,rub_per_unit,RU,CNY
2010-03-31,4.30182,rub_per_unit,RU,CNY
2010-04-01,4.32107,rub_per_unit,RU,CNY
2010-04-02,4.31245,rub_per_unit,RU,CNY
2010-04-03,4.28079,rub_per_unit,RU,CNY
2010-04-06,4.27956,rub_per_unit,RU,CNY
2010-04-07,4.28392,rub_per_unit,RU,CNY
2010-04-08,4.29197,rub_per_unit,RU,CNY
2010-04-09,4.30742,rub_per_unit,RU,CNY
2010-04-10,4.29694,rub_per_unit,RU,CNY
2010-04-13,4.24089,rub_per_unit,RU,CNY
2010-04-14,4.25264,rub_per_unit,RU,CNY
2010-04-15,4.25503,rub_per_unit,RU,CNY
2010-04-16,4.23854,rub_per_unit,RU,CNY
2010-04-17,4.25353,rub_per_unit,RU,CNY
2010-04-20,4.27731,rub_per_unit,RU,CNY
2010-04-21,4.26907,rub_per_unit,RU,CNY
2010-04-22,4.26092,rub_per_unit,RU,CNY
2010-04-23,4.26733,rub_per_unit,RU,CNY
2010-04-24,4.28726,rub_per_unit,RU,CNY
2010-04-27,4.2607,rub_per_unit,RU,CNY
2010-04-28,4.25753,rub_per_unit,RU,CNY
2010-04-29,4.30408,rub_per_unit,RU,CNY
2010-04-30,4.29074,rub_per_unit,RU,CNY
2010-05-01,4.27098,rub_per_unit,RU,CNY
2010-05-05,4.29208,rub_per_unit,RU,CNY
2010-05-06,4.34787,rub_per_unit,RU,CNY
2010-05-07,4.43816,rub_per_unit,RU,CNY
2010-05-08,4.49994,rub_per_unit,RU,CNY
2010-05-12,4.44646,rub_per_unit,RU,CNY
2010-05-13,4.42393,rub_per_unit,RU,CNY
2010-05-14,4.37274,rub_per_unit,RU,CNY
2010-05-15,4.40306,rub_per_unit,RU,CNY
2010-05-18,4.49592,rub_per_unit,RU,CNY
2010-05-19,4.45205,rub_per_unit,RU,CNY
2010-05-20,4.49577,rub_per_unit,RU,CNY
2010-05-21,4.50412,rub_per_unit,RU,CNY
2010-05-22,4.54896,rub_per_unit,RU,CNY
2010-05-25,4.52215,rub_per_unit,RU,CNY
2010-05-26,4.60186,rub_per_unit,RU,CNY
2010-05-27,4.58966,rub_per_unit,RU,CNY
