date,value,unit,region,breakdown
1999-01-01,24.09,rub_per_unit,RU,EUR
1999-01-06,24.4,rub_per_unit,RU,EUR
1999-01-07,25.73,rub_per_unit,RU,EUR
1999-01-11,25.89,rub_per_unit,RU,EUR
1999-01-12,26.71,rub_per_unit,RU,EUR
1999-01-13,25.95,rub_per_unit,RU,EUR
1999-01-14,25.24,rub_per_unit,RU,EUR
1999-01-15,25,rub_per_unit,RU,EUR
1999-01-16,25.63,rub_per_unit,RU,EUR
1999-01-19,25.89,rub_per_unit,RU,EUR
1999-01-20,26.59,rub_per_unit,RU,EUR
1999-01-21,25.93,rub_per_unit,RU,EUR
1999-01-22,26.31,rub_per_unit,RU,EUR
1999-01-23,26.38,rub_per_unit,RU,EUR
1999-01-26,26.62,rub_per_unit,RU,EUR
1999-01-27,26.41,rub_per_unit,RU,EUR
1999-01-28,26.14,rub_per_unit,RU,EUR
1999-01-29,26.06,rub_per_unit,RU,EUR
1999-01-30,25.79,rub_per_unit,RU,EUR
1999-02-02,25.86,rub_per_unit,RU,EUR
1999-02-03,25.97,rub_per_unit,RU,EUR
1999-02-04,26.2,rub_per_unit,RU,EUR
1999-02-05,26.16,rub_per_unit,RU,EUR
1999-02-06,26.2,rub_per_unit,RU,EUR
1999-02-09,25.93,rub_per_unit,RU,EUR
1999-02-10,25.89,rub_per_unit,RU,EUR
1999-02-11,25.69,rub_per_unit,RU,EUR
1999-02-12,25.81,rub_per_unit,RU,EUR
1999-02-13,25.73,rub_per_unit,RU,EUR
1999-02-16,25.76,rub_per_unit,RU,EUR
1999-02-17,25.9,rub_per_unit,RU,EUR
1999-02-18,25.68,rub_per_unit,RU,EUR
1999-02-19,25.81,rub_per_unit,RU,EUR
1999-02-20,25.58,rub_per_unit,RU,EUR
1999-02-23,25.2,rub_per_unit,RU,EUR
1999-02-24,25.19,rub_per_unit,RU,EUR
1999-02-25,25.05,rub_per_unit,RU,EUR
1999-02-26,25.17,rub_per_unit,RU,EUR
1999-02-27,25.11,rub_per_unit,RU,EUR
1999-03-02,25.17,rub_per_unit,RU,EUR
1999-03-03,24.92,rub_per_unit,RU,EUR
1999-03-04,25.05,rub_per_unit,RU,EUR
1999-03-05,25,rub_per_unit,RU,EUR
1999-03-06,25,rub_per_unit,RU,EUR
1999-03-10,25.1,rub_per_unit,RU,EUR
1999-03-11,25,rub_per_unit,RU,EUR
1999-03-12,25.24,rub_per_unit,RU,EUR
1999-03-13,25.46,rub_per_unit,RU,EUR
1999-03-16,25.38,rub_per_unit,RU,EUR
