date,value,unit,region,breakdown
1992-07-01,125.26,rub_per_unit,RU,USD
1992-07-03,134.8,rub_per_unit,RU,USD
1992-07-08,130.5,rub_per_unit,RU,USD
1992-07-10,130.3,rub_per_unit,RU,USD
1992-07-15,130.2,rub_per_unit,RU,USD
1992-07-17,135.4,rub_per_unit,RU,USD
1992-07-22,151.1,rub_per_unit,RU,USD
1992-07-24,155.7,rub_per_unit,RU,USD
1992-07-29,161.1,rub_per_unit,RU,USD
1992-07-31,161.2,rub_per_unit,RU,USD
1992-08-05,161.4,rub_per_unit,RU,USD
1992-08-07,161.5,rub_per_unit,RU,USD
1992-08-12,161.7,rub_per_unit,RU,USD
1992-08-14,162.5,rub_per_unit,RU,USD
1992-08-19,162.5,rub_per_unit,RU,USD
1992-08-21,162.6,rub_per_unit,RU,USD
1992-08-26,168.1,rub_per_unit,RU,USD
1992-08-28,205,rub_per_unit,RU,USD
1992-09-02,210.5,rub_per_unit,RU,USD
1992-09-04,210.5,rub_per_unit,RU,USD
1992-09-09,207.9,rub_per_unit,RU,USD
1992-09-11,203,rub_per_unit,RU,USD
1992-09-16,204,rub_per_unit,RU,USD
1992-09-18,205.5,rub_per_unit,RU,USD
1992-09-23,241,rub_per_unit,RU,USD
1992-09-25,248,rub_per_unit,RU,USD
1992-09-30,254,rub_per_unit,RU,USD
1992-10-02,309,rub_per_unit,RU,USD
1992-10-07,342,rub_per_unit,RU,USD
1992-10-09,334,rub_per_unit,RU,USD
1992-10-14,334,rub_per_unit,RU,USD
1992-10-16,338,rub_per_unit,RU,USD
1992-10-21,368,rub_per_unit,RU,USD
1992-10-23,368,rub_per_unit,RU,USD
1992-10-28,393,rub_per_unit,RU,USD
1992-10-30,398,rub_per_unit,RU,USD
1992-11-04,396,rub_per_unit,RU,USD
1992-11-06,399,rub_per_unit,RU,USD
1992-11-11,403,rub_per_unit,RU,USD
1992-11-13,419,rub_per_unit,RU,USD
1992-11-18,448,rub_per_unit,RU,USD
1992-11-20,448,rub_per_unit,RU,USD
1992-11-25,450,rub_per_unit,RU,USD
1992-11-27,447,rub_per_unit,RU,USD
1992-12-02,417,rub_per_unit,RU,USD
1992-12-04,398,rub_per_unit,RU,USD
1992-12-09,419,rub_per_unit,RU,USD
1992-12-11,419,rub_per_unit,RU,USD
1992-12-16,418,rub_per_unit,RU,USD
1992-12-18,416,rub_per_unit,RU,USD
1992-12-23,415,rub_per_unit,RU,USD
1992-12-25,414.5,rub_per_unit,RU,USD
1992-12-30,414.5,rub_per_unit,RU,USD
1993-01-06,417,rub_per_unit,RU,USD
1993-01-13,423,rub_per_unit,RU,USD
1993-01-15,442,rub_per_unit,RU,USD
1993-01-20,474.5,rub_per_unit,RU,USD
1993-01-22,493,rub_per_unit,RU,USD
1993-01-27,568,rub_per_unit,RU,USD
1993-01-29,572,rub_per_unit,RU,USD
1993-02-03,572,rub_per_unit,RU,USD
1993-02-05,572,rub_per_unit,RU,USD
1993-02-10,561,rub_per_unit,RU,USD
1993-02-12,560,rub_per_unit,RU,USD
1993-02-17,559,rub_per_unit,RU,USD
1993-02-19,559,rub_per_unit,RU,USD
1993-02-24,576,rub_per_unit,RU,USD
1993-02-26,593,rub_per_unit,RU,USD
1993-03-03,649,rub_per_unit,RU,USD
1993-03-05,648,rub_per_unit,RU,USD
1993-03-10,650,rub_per_unit,RU,USD
1993-03-12,653,rub_per_unit,RU,USD
1993-03-17,662,rub_per_unit,RU,USD
1993-03-19,667,rub_per_unit,RU,USD
1993-03-24,684,rub_per_unit,RU,USD
1993-03-26,684,rub_per_unit,RU,USD
1993-03-31,684,rub_per_unit,RU,USD
1993-04-02,692,rub_per_unit,RU,USD
1993-04-07,712,rub_per_unit,RU,USD
1993-04-09,740,rub_per_unit,RU,USD
1993-04-14,766,rub_per_unit,RU,USD
1993-04-16,779,rub_per_unit,RU,USD
1993-04-21,786,rub_per_unit,RU,USD
1993-04-23,795,rub_per_unit,RU,USD
1993-04-28,812,rub_per_unit,RU,USD
1993-04-30,823,rub_per_unit,RU,USD
1993-05-07,829,rub_per_unit,RU,USD
1993-05-12,859,rub_per_unit,RU,USD
1993-05-14,886,rub_per_unit,RU,USD
1993-05-19,934,rub_per_unit,RU,USD
1993-05-21,940,rub_per_unit,RU,USD
1993-05-26,960,rub_per_unit,RU,USD
1993-05-28,994,rub_per_unit,RU,USD
1993-06-02,1050,rub_per_unit,RU,USD
1993-06-04,1072,rub_per_unit,RU,USD
1993-06-09,1104,rub_per_unit,RU,USD
1993-06-16,1116,rub_per_unit,RU,USD
1993-06-18,1090,rub_per_unit,RU,USD
1993-06-23,1079,rub_per_unit,RU,USD
1993-06-25,1066,rub_per_unit,RU,USD
1993-06-30,1060,rub_per_unit,RU,USD
1993-07-02,1059,rub_per_unit,RU,USD
1993-07-07,1058,rub_per_unit,RU,USD
1993-07-09,1050,rub_per_unit,RU,USD
1993-07-14,1036,rub_per_unit,RU,USD
1993-07-16,1025,rub_per_unit,RU,USD
1993-07-21,1010,rub_per_unit,RU,USD
1993-07-23,1008,rub_per_unit,RU,USD
1993-07-28,994,rub_per_unit,RU,USD
1993-07-30,989.5,rub_per_unit,RU,USD
1993-08-04,987,rub_per_unit,RU,USD
1993-08-06,986,rub_per_unit,RU,USD
1993-08-11,984.5,rub_per_unit,RU,USD
1993-08-13,984.5,rub_per_unit,RU,USD
1993-08-18,984.5,rub_per_unit,RU,USD
1993-08-20,987,rub_per_unit,RU,USD
1993-08-25,986,rub_per_unit,RU,USD
1993-08-27,985,rub_per_unit,RU,USD
1993-09-01,992.5,rub_per_unit,RU,USD
1993-09-03,990,rub_per_unit,RU,USD
1993-09-08,995,rub_per_unit,RU,USD
1993-09-10,998,rub_per_unit,RU,USD
1993-09-15,1006,rub_per_unit,RU,USD
1993-09-17,1010,rub_per_unit,RU,USD
1993-09-22,1036,rub_per_unit,RU,USD
1993-09-24,1299,rub_per_unit,RU,USD
1993-09-29,1201,rub_per_unit,RU,USD
1993-10-01,1169,rub_per_unit,RU,USD
1993-10-06,1173,rub_per_unit,RU,USD
1993-10-08,1189,rub_per_unit,RU,USD
1993-10-13,1194,rub_per_unit,RU,USD
1993-10-20,1193,rub_per_unit,RU,USD
1993-10-22,1193,rub_per_unit,RU,USD
1993-10-27,1189,rub_per_unit,RU,USD
1993-10-29,1186,rub_per_unit,RU,USD
1993-11-03,1179,rub_per_unit,RU,USD
1993-11-05,1177,rub_per_unit,RU,USD
1993-11-10,1175,rub_per_unit,RU,USD
1993-11-12,1176,rub_per_unit,RU,USD
1993-11-17,1194,rub_per_unit,RU,USD
1993-11-19,1203,rub_per_unit,RU,USD
1993-11-24,1208,rub_per_unit,RU,USD
1993-11-26,1214,rub_per_unit,RU,USD
1993-12-01,1231,rub_per_unit,RU,USD
1993-12-03,1230,rub_per_unit,RU,USD
1993-12-08,1229,rub_per_unit,RU,USD
1993-12-10,1229,rub_per_unit,RU,USD
1993-12-15,1237,rub_per_unit,RU,USD
1993-12-17,1247,rub_per_unit,RU,USD
1993-12-22,1250,rub_per_unit,RU,USD
1993-12-24,1250,rub_per_unit,RU,USD
1993-12-29,1247,rub_per_unit,RU,USD
1994-01-07,1259,rub_per_unit,RU,USD
1994-01-12,1293,rub_per_unit,RU,USD
1994-01-14,1356,rub_per_unit,RU,USD
1994-01-19,1504,rub_per_unit,RU,USD
1994-01-21,1553,rub_per_unit,RU,USD
1994-01-26,1544,rub_per_unit,RU,USD
1994-01-28,1542,rub_per_unit,RU,USD
1994-02-02,1560,rub_per_unit,RU,USD
1994-02-04,1560,rub_per_unit,RU,USD
1994-02-09,1569,rub_per_unit,RU,USD
1994-02-11,1568,rub_per_unit,RU,USD
1994-02-16,1567,rub_per_unit,RU,USD
1994-02-18,1567,rub_per_unit,RU,USD
1994-02-23,1585,rub_per_unit,RU,USD
1994-02-25,1657,rub_per_unit,RU,USD
1994-03-02,1668,rub_per_unit,RU,USD
1994-03-04,1693,rub_per_unit,RU,USD
1994-03-11,1706,rub_per_unit,RU,USD
1994-03-16,1716,rub_per_unit,RU,USD
1994-03-18,1724,rub_per_unit,RU,USD
1994-03-23,1736,rub_per_unit,RU,USD
1994-03-25,1742,rub_per_unit,RU,USD
1994-03-30,1753,rub_per_unit,RU,USD
1994-04-01,1753,rub_per_unit,RU,USD
1994-04-06,1772,rub_per_unit,RU,USD
1994-04-08,1772,rub_per_unit,RU,USD
1994-04-13,1785,rub_per_unit,RU,USD
1994-04-15,1787,rub_per_unit,RU,USD
1994-04-20,1792,rub_per_unit,RU,USD
1994-04-22,1810,rub_per_unit,RU,USD
1994-04-27,1820,rub_per_unit,RU,USD
1994-04-29,1820,rub_per_unit,RU,USD
1994-05-06,1854,rub_per_unit,RU,USD
1994-05-11,1859,rub_per_unit,RU,USD
1994-05-13,1869,rub_per_unit,RU,USD
1994-05-18,1877,rub_per_unit,RU,USD
1994-05-20,1881,rub_per_unit,RU,USD
1994-05-25,1895,rub_per_unit,RU,USD
1994-05-27,1901,rub_per_unit,RU,USD
1994-06-01,1916,rub_per_unit,RU,USD
1994-06-03,1918,rub_per_unit,RU,USD
1994-06-08,1940,rub_per_unit,RU,USD
1994-06-10,1952,rub_per_unit,RU,USD
1994-06-15,1952,rub_per_unit,RU,USD
1994-06-17,1959,rub_per_unit,RU,USD
1994-06-22,1971,rub_per_unit,RU,USD
1994-06-24,1977,rub_per_unit,RU,USD
1994-06-29,1985,rub_per_unit,RU,USD
1994-07-01,1989,rub_per_unit,RU,USD
1994-07-06,1998,rub_per_unit,RU,USD
1994-07-08,2011,rub_per_unit,RU,USD
1994-07-13,2020,rub_per_unit,RU,USD
1994-07-15,2022,rub_per_unit,RU,USD
1994-07-20,2028,rub_per_unit,RU,USD
1994-07-22,2034,rub_per_unit,RU,USD
1994-07-27,2052,rub_per_unit,RU,USD
1994-07-29,2052,rub_per_unit,RU,USD
1994-08-03,2060,rub_per_unit,RU,USD
1994-08-05,2081,rub_per_unit,RU,USD
1994-08-10,2087,rub_per_unit,RU,USD
1994-08-12,2108,rub_per_unit,RU,USD
1994-08-17,2117,rub_per_unit,RU,USD
1994-08-19,2141,rub_per_unit,RU,USD
1994-08-24,2161,rub_per_unit,RU,USD
1994-08-26,2156,rub_per_unit,RU,USD
1994-08-31,2153,rub_per_unit,RU,USD
1994-09-02,2204,rub_per_unit,RU,USD
1994-09-07,2222,rub_per_unit,RU,USD
1994-09-09,2253,rub_per_unit,RU,USD
1994-09-14,2271,rub_per_unit,RU,USD
1994-09-16,2301,rub_per_unit,RU,USD
1994-09-21,2335,rub_per_unit,RU,USD
1994-09-23,2460,rub_per_unit,RU,USD
1994-09-28,2476,rub_per_unit,RU,USD
1994-09-30,2596,rub_per_unit,RU,USD
1994-10-05,2668,rub_per_unit,RU,USD
1994-10-07,2833,rub_per_unit,RU,USD
1994-10-12,3926,rub_per_unit,RU,USD
1994-10-14,2994,rub_per_unit,RU,USD
1994-10-19,2996,rub_per_unit,RU,USD
1994-10-21,3015,rub_per_unit,RU,USD
1994-10-26,3036,rub_per_unit,RU,USD
1994-10-28,3055,rub_per_unit,RU,USD
1994-11-02,3085,rub_per_unit,RU,USD
1994-11-04,3099,rub_per_unit,RU,USD
1994-11-09,3102,rub_per_unit,RU,USD
1994-11-11,3102,rub_per_unit,RU,USD
1994-11-16,3131,rub_per_unit,RU,USD
1994-11-18,3157,rub_per_unit,RU,USD
1994-11-23,3187,rub_per_unit,RU,USD
1994-11-25,3201,rub_per_unit,RU,USD
1994-11-30,3232,rub_per_unit,RU,USD
1994-12-02,3249,rub_per_unit,RU,USD
1994-12-07,3275,rub_per_unit,RU,USD
1994-12-09,3306,rub_per_unit,RU,USD
1994-12-14,3338,rub_per_unit,RU,USD
1994-12-16,3383,rub_per_unit,RU,USD
1994-12-21,3427,rub_per_unit,RU,USD
1994-12-23,3454,rub_per_unit,RU,USD
1994-12-28,3512,rub_per_unit,RU,USD
1994-12-30,3550,rub_per_unit,RU,USD
1995-01-06,3623,rub_per_unit,RU,USD
1995-01-11,3705,rub_per_unit,RU,USD
1995-01-13,3757,rub_per_unit,RU,USD
1995-01-18,3861,rub_per_unit,RU,USD
1995-01-20,3916,rub_per_unit,RU,USD
1995-01-25,3988,rub_per_unit,RU,USD
1995-01-27,4004,rub_per_unit,RU,USD
1995-02-01,4048,rub_per_unit,RU,USD
1995-02-03,4079,rub_per_unit,RU,USD
1995-02-08,4133,rub_per_unit,RU,USD
1995-02-10,4170,rub_per_unit,RU,USD
1995-02-15,4231,rub_per_unit,RU,USD
1995-02-17,4293,rub_per_unit,RU,USD
1995-02-22,4357,rub_per_unit,RU,USD
1995-02-24,4407,rub_per_unit,RU,USD
1995-03-01,4473,rub_per_unit,RU,USD
1995-03-03,4531,rub_per_unit,RU,USD
1995-03-08,4603,rub_per_unit,RU,USD
1995-03-10,4639,rub_per_unit,RU,USD
1995-03-15,4723,rub_per_unit,RU,USD
1995-03-17,4767,rub_per_unit,RU,USD
1995-03-22,4824,rub_per_unit,RU,USD
1995-03-24,4856,rub_per_unit,RU,USD
1995-03-29,4897,rub_per_unit,RU,USD
1995-03-31,4897,rub_per_unit,RU,USD
1995-04-05,4920,rub_per_unit,RU,USD
1995-04-07,4957,rub_per_unit,RU,USD
1995-04-12,4991,rub_per_unit,RU,USD
1995-04-14,5029,rub_per_unit,RU,USD
1995-04-19,5064,rub_per_unit,RU,USD
1995-04-21,5051,rub_per_unit,RU,USD
1995-04-26,5081,rub_per_unit,RU,USD
1995-04-28,5100,rub_per_unit,RU,USD
1995-05-05,5130,rub_per_unit,RU,USD
1995-05-12,5106,rub_per_unit,RU,USD
1995-05-17,5026,rub_per_unit,RU,USD
1995-05-19,5043,rub_per_unit,RU,USD
1995-05-24,5039,rub_per_unit,RU,USD
1995-05-26,5038,rub_per_unit,RU,USD
1995-05-31,4995,rub_per_unit,RU,USD
1995-06-02,4958,rub_per_unit,RU,USD
1995-06-07,4900,rub_per_unit,RU,USD
1995-06-09,4911,rub_per_unit,RU,USD
1995-06-14,4836,rub_per_unit,RU,USD
1995-06-16,4726,rub_per_unit,RU,USD
1995-06-21,4546,rub_per_unit,RU,USD
1995-06-23,4590,rub_per_unit,RU,USD
1995-06-28,4516,rub_per_unit,RU,USD
1995-06-30,4538,rub_per_unit,RU,USD
1995-07-05,4553,rub_per_unit,RU,USD
1995-07-07,4576,rub_per_unit,RU,USD
1995-07-12,4530,rub_per_unit,RU,USD
1995-07-14,4565,rub_per_unit,RU,USD
1995-07-19,4546,rub_per_unit,RU,USD
