date,value,unit,region,breakdown
2013-09-17,5.5,percent_annual,RU,key_rate
2013-09-18,5.5,percent_annual,RU,key_rate
2013-09-19,5.5,percent_annual,RU,key_rate
2013-09-20,5.5,percent_annual,RU,key_rate
2013-09-23,5.5,percent_annual,RU,key_rate
2013-09-24,5.5,percent_annual,RU,key_rate
2013-09-25,5.5,percent_annual,RU,key_rate
2013-09-26,5.5,percent_annual,RU,key_rate
2013-09-27,5.5,percent_annual,RU,key_rate
2013-09-30,5.5,percent_annual,RU,key_rate
2013-10-01,5.5,percent_annual,RU,key_rate
2013-10-02,5.5,percent_annual,RU,key_rate
2013-10-03,5.5,percent_annual,RU,key_rate
2013-10-04,5.5,percent_annual,RU,key_rate
2013-10-07,5.5,percent_annual,RU,key_rate
2013-10-08,5.5,percent_annual,RU,key_rate
2013-10-09,5.5,percent_annual,RU,key_rate
2013-10-10,5.5,percent_annual,RU,key_rate
2013-10-11,5.5,percent_annual,RU,key_rate
2013-10-14,5.5,percent_annual,RU,key_rate
2013-10-15,5.5,percent_annual,RU,key_rate
2013-10-16,5.5,percent_annual,RU,key_rate
2013-10-17,5.5,percent_annual,RU,key_rate
2013-10-18,5.5,percent_annual,RU,key_rate
2013-10-21,5.5,percent_annual,RU,key_rate
2013-10-22,5.5,percent_annual,RU,key_rate
2013-10-23,5.5,percent_annual,RU,key_rate
2013-10-24,5.5,percent_annual,RU,key_rate
2013-10-25,5.5,percent_annual,RU,key_rate
2013-10-28,5.5,percent_annual,RU,key_rate
2013-10-29,5.5,percent_annual,RU,key_rate
2013-10-30,5.5,percent_annual,RU,key_rate
2013-10-31,5.5,percent_annual,RU,key_rate
2013-11-01,5.5,percent_annual,RU,key_rate
2013-11-05,5.5,percent_annual,RU,key_rate
2013-11-06,5.5,percent_annual,RU,key_rate
2013-11-07,5.5,percent_annual,RU,key_rate
2013-11-08,5.5,percent_annual,RU,key_rate
2013-11-11,5.5,percent_annual,RU,key_rate
2013-11-12,5.5,percent_annual,RU,key_rate
2013-11-13,5.5,percent_annual,RU,key_rate
2013-11-14,5.5,percent_annual,RU,key_rate
2013-11-15,5.5,percent_annual,RU,key_rate
2013-11-18,5.5,percent_annual,RU,key_rate
2013-11-19,5.5,percent_annual,RU,key_rate
2013-11-20,5.5,percent_annual,RU,key_rate
2013-11-21,5.5,percent_annual,RU,key_rate
2013-11-22,5.5,percent_annual,RU,key_rate
2013-11-25,5.5,percent_annual,RU,key_rate
2013-11-26,5.5,percent_annual,RU,key_rate
2013-11-27,5.5,percent_annual,RU,key_rate
2013-11-28,5.5,percent_annual,RU,key_rate
