date,value,unit,region,breakdown
2014-01-01,28.04,percent_annual,RU,"до 30 дней, включая ''до востребова-ния**''"
2014-01-01,16.09,percent_annual,RU,от 31 до 90 дней**
2014-01-01,30.39,percent_annual,RU,от 91 до 180 дней
2014-01-01,23.81,percent_annual,RU,от 181 дня до 1 года
2014-01-01,24.41,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-01-01,21.69,percent_annual,RU,от 1 года до 3 лет
2014-01-01,17.29,percent_annual,RU,свыше 3 лет
2014-01-01,18.31,percent_annual,RU,свыше 1 года
2014-01-01,19.06,percent_annual,RU,все виды кредитов
2014-01-01,15.32,percent_annual,RU,в том числе автокредиты***
2014-02-01,28.25,percent_annual,RU,"до 30 дней, включая ''до востребова-ния**''"
2014-02-01,15.35,percent_annual,RU,от 31 до 90 дней**
2014-02-01,23.72,percent_annual,RU,от 91 до 180 дней
2014-02-01,22.58,percent_annual,RU,от 181 дня до 1 года
2014-02-01,22.77,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-02-01,20.99,percent_annual,RU,от 1 года до 3 лет
2014-02-01,17.21,percent_annual,RU,свыше 3 лет
2014-02-01,18,percent_annual,RU,свыше 1 года
2014-02-01,18.48,percent_annual,RU,все виды кредитов
2014-02-01,15.14,percent_annual,RU,в том числе автокредиты***
2014-03-01,26.37,percent_annual,RU,"до 30 дней, включая ''до востребова-ния**''"
2014-03-01,15.09,percent_annual,RU,от 31 до 90 дней**
2014-03-01,25.27,percent_annual,RU,от 91 до 180 дней
2014-03-01,23.67,percent_annual,RU,от 181 дня до 1 года
2014-03-01,23.78,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-03-01,20.76,percent_annual,RU,от 1 года до 3 лет
2014-03-01,16.98,percent_annual,RU,свыше 3 лет
2014-03-01,17.78,percent_annual,RU,свыше 1 года
2014-03-01,18.3,percent_annual,RU,все виды кредитов
2014-03-01,15.11,percent_annual,RU,в том числе автокредиты***
2014-04-01,23.52,percent_annual,RU,"до 30 дней, включая ''до востребова-ния**''"
2014-04-01,15.99,percent_annual,RU,от 31 до 90 дней**
2014-04-01,23.17,percent_annual,RU,от 91 до 180 дней
2014-04-01,20.58,percent_annual,RU,от 181 дня до 1 года
2014-04-01,20.97,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-04-01,20.84,percent_annual,RU,от 1 года до 3 лет
2014-04-01,16.96,percent_annual,RU,свыше 3 лет
2014-04-01,17.74,percent_annual,RU,свыше 1 года
2014-04-01,18.02,percent_annual,RU,все виды кредитов
2014-04-01,15.28,percent_annual,RU,в том числе автокредиты***
2014-05-01,27.48,percent_annual,RU,"до 30 дней, включая ''до востребова-ния**''"
2014-05-01,15.79,percent_annual,RU,от 31 до 90 дней**
2014-05-01,26.56,percent_annual,RU,от 91 до 180 дней
2014-05-01,24.9,percent_annual,RU,от 181 дня до 1 года
2014-05-01,24.89,percent_annual,RU,"до 1 года, включая ''до востребова-ния''"
2014-05-01,20.83,percent_annual,RU,от 1 года до 3 лет
2014-05-01,16.82,percent_annual,RU,свыше 3 лет
2014-05-01,17.67,percent_annual,RU,свыше 1 года
2014-05-01,18.21,percent_annual,RU,все виды кредитов
2014-05-01,15.71,percent_annual,RU,в том числе автокредиты***
2014-06-01,28.08,percent_annual,RU,"до 30 дней, включая ''до востребова-ния**''"
2014-06-01,14.8,percent_annual,RU,от 31 до 90 дней**
2014-06-01,23.4,percent_annual,RU,от 91 до 180 дней
2014-06-01,24.09,percent_annual,RU,от 181 дня до 1 года
