date,value,unit,region,breakdown
2025-07-01,10,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.1.1 пункта 1.1"
2025-07-01,0,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.1.1 пункта 1.1"
2025-07-01,0,percent_of_new_loans,RU,"Потребительские кредиты|ПДН -|LTV более 5|Кредиты, указанные в подпункте 1.1.1.1 пункта 1.1"
2025-07-01,15,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.1.2 пункта 1.1"
2025-07-01,3,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.1.2 пункта 1.1"
2025-07-01,5,percent_of_new_loans,RU,"Потребительские кредиты|ПДН -|LTV более 5|Кредиты, указанные в подпункте 1.1.1.2 пункта 1.1"
2025-07-01,20,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.3.1 пункта 1.1"
2025-07-01,5,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.3.1 пункта 1.1"
2025-07-01,20,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.3.2 пункта 1.1"
2025-07-01,5,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.3.2 пункта 1.1"
2025-10-01,10,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.1.1 пункта 1.1"
2025-10-01,0,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.1.1 пункта 1.1"
2025-10-01,0,percent_of_new_loans,RU,"Потребительские кредиты|ПДН -|LTV более 5|Кредиты, указанные в подпункте 1.1.1.1 пункта 1.1"
2025-10-01,15,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.1.2 пункта 1.1"
2025-10-01,3,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.1.2 пункта 1.1"
2025-10-01,5,percent_of_new_loans,RU,"Потребительские кредиты|ПДН -|LTV более 5|Кредиты, указанные в подпункте 1.1.1.2 пункта 1.1"
2025-10-01,20,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.3.1 пункта 1.1"
2025-10-01,5,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.3.1 пункта 1.1"
2025-10-01,15,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.3.2 пункта 1.1"
2025-10-01,5,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.3.2 пункта 1.1"
2026-01-01,10,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.1.1 пункта 1.1"
2026-01-01,0,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.1.1 пункта 1.1"
2026-01-01,0,percent_of_new_loans,RU,"Потребительские кредиты|ПДН -|LTV более 5|Кредиты, указанные в подпункте 1.1.1.1 пункта 1.1"
2026-01-01,15,percent_of_new_loans,RU,"Потребительские кредиты|ПДН (50; 80]|LTV -|Кредиты, указанные в подпункте 1.1.1.2 пункта 1.1"
2026-01-01,3,percent_of_new_loans,RU,"Потребительские кредиты|ПДН более 80|LTV -|Кредиты, указанные в подпункте 1.1.1.2 пункта 1.1"
2026-01-01,5,percent_of_new_loans,RU,"Потребительские кредиты|ПДН -|LTV более 5|Кредиты, указанные в подпункте 1.1.1.2 пункта 1.1"
