date,value,unit,region,breakdown
2024-03-31,269564.0000,persons,RU,cbr_npf|pds_participants
2024-06-30,656381.0000,persons,RU,cbr_npf|pds_participants
2024-09-30,1288872.0000,persons,RU,cbr_npf|pds_participants
2024-12-31,2773359.0000,persons,RU,cbr_npf|pds_participants
2025-03-31,3913378.0000,persons,RU,cbr_npf|pds_participants
2025-06-30,5210531.0000,persons,RU,cbr_npf|pds_participants
2025-09-30,6674933.0000,persons,RU,cbr_npf|pds_participants
2025-12-31,8998460.0000,persons,RU,cbr_npf|pds_participants
2026-03-31,10324877.0000,persons,RU,cbr_npf|pds_participants
2026-06-30,11589509.0000,persons,RU,cbr_npf|pds_participants
2018-12-31,4056956.5810,rub_mln,RU,cbr_npf|npf_assets
2019-03-31,4172373.1373,rub_mln,RU,cbr_npf|npf_assets
2019-06-30,4270191.2485,rub_mln,RU,cbr_npf|npf_assets
2019-09-30,4346803.0186,rub_mln,RU,cbr_npf|npf_assets
2019-12-31,4453074.4647,rub_mln,RU,cbr_npf|npf_assets
2020-03-31,4420274.0984,rub_mln,RU,cbr_npf|npf_assets
2020-06-30,4543759.0854,rub_mln,RU,cbr_npf|npf_assets
2020-09-30,4601528.3232,rub_mln,RU,cbr_npf|npf_assets
2020-12-31,4668826.6059,rub_mln,RU,cbr_npf|npf_assets
2021-03-31,4696026.8040,rub_mln,RU,cbr_npf|npf_assets
2021-06-30,4735009.0944,rub_mln,RU,cbr_npf|npf_assets
2021-09-30,4796725.8152,rub_mln,RU,cbr_npf|npf_assets
2021-12-31,4833924.6373,rub_mln,RU,cbr_npf|npf_assets
2022-03-31,4788591.1780,rub_mln,RU,cbr_npf|npf_assets
2022-06-30,4883225.2433,rub_mln,RU,cbr_npf|npf_assets
2022-09-30,4950126.3795,rub_mln,RU,cbr_npf|npf_assets
2022-12-31,5028987.4297,rub_mln,RU,cbr_npf|npf_assets
2023-03-31,5139752.1603,rub_mln,RU,cbr_npf|npf_assets
2023-06-30,5259368.7851,rub_mln,RU,cbr_npf|npf_assets
2023-09-30,5334914.1666,rub_mln,RU,cbr_npf|npf_assets
2023-12-31,5416961.3833,rub_mln,RU,cbr_npf|npf_assets
2024-03-31,5504986.4882,rub_mln,RU,cbr_npf|npf_assets
2024-06-30,5527786.7518,rub_mln,RU,cbr_npf|npf_assets
2024-09-30,5623851.8897,rub_mln,RU,cbr_npf|npf_assets
2024-12-31,5871679.6082,rub_mln,RU,cbr_npf|npf_assets
2025-03-31,6013729.4427,rub_mln,RU,cbr_npf|npf_assets
2025-06-30,6330746.4300,rub_mln,RU,cbr_npf|npf_assets
2025-09-30,6526681.7067,rub_mln,RU,cbr_npf|npf_assets
2025-12-31,6878304.9501,rub_mln,RU,cbr_npf|npf_assets
2026-03-31,7117236.1968,rub_mln,RU,cbr_npf|npf_assets
2026-06-30,7243569.1637,rub_mln,RU,cbr_npf|npf_assets
2018-12-31,0.0753,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2019-03-31,9.0008,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2019-06-30,10.4062,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2019-09-30,10.1383,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2019-12-31,10.6940,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2020-03-31,-1.5323,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2020-06-30,5.7536,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2020-09-30,6.4161,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2020-12-31,7.1864,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2021-03-31,4.1322,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2021-06-30,5.0647,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2021-09-30,5.5096,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2021-12-31,4.6590,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2022-03-31,-2.2019,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2022-06-30,3.3195,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2022-09-30,4.6081,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2022-12-31,5.1062,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2023-03-31,11.0966,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2023-06-30,12.4922,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2023-09-30,10.9130,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2023-12-31,9.9000,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2024-03-31,9.6913,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2024-06-30,6.5000,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2024-09-30,6.8538,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2024-12-31,9.0317,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2025-03-31,10.5562,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2025-06-30,13.0000,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2025-09-30,13.0705,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2025-12-31,13.9763,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2026-03-31,13.0553,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2026-06-30,9.4792,percent_annual_gross,RU,cbr_npf|pension_savings_ops_return
2018-12-31,5.4731,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2019-03-31,6.5161,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2019-06-30,8.2989,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2019-09-30,8.2496,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2019-12-31,8.0365,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2020-03-31,-0.5592,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2020-06-30,6.4877,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2020-09-30,6.4389,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2020-12-31,5.8221,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2021-03-31,1.4282,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2021-06-30,2.3698,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2021-09-30,3.2330,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2021-12-31,3.9741,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2022-03-31,-5.8156,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2022-06-30,2.4008,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2022-09-30,3.6403,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2022-12-31,5.4282,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2023-03-31,10.2051,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2023-06-30,11.4999,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2023-09-30,10.0911,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
2023-12-31,8.8000,percent_annual_gross,RU,cbr_npf|pension_reserves_npo_pds_return
