date,value,unit,region,breakdown
2010-01-11,2.98,percent_annual,RU,ruonia
2010-01-12,3.1,percent_annual,RU,ruonia
2010-01-13,3.4,percent_annual,RU,ruonia
2010-01-14,3.59,percent_annual,RU,ruonia
2010-01-15,4.21,percent_annual,RU,ruonia
2010-01-18,3.36,percent_annual,RU,ruonia
2010-01-19,3.39,percent_annual,RU,ruonia
2010-01-20,4.1,percent_annual,RU,ruonia
2010-01-21,4.02,percent_annual,RU,ruonia
2010-01-22,5.41,percent_annual,RU,ruonia
2010-01-25,4.98,percent_annual,RU,ruonia
2010-01-26,4.39,percent_annual,RU,ruonia
2010-01-27,4.39,percent_annual,RU,ruonia
2010-01-28,4.3,percent_annual,RU,ruonia
2010-01-29,3.99,percent_annual,RU,ruonia
2010-02-01,3.5,percent_annual,RU,ruonia
2010-02-02,3.71,percent_annual,RU,ruonia
2010-02-03,3.58,percent_annual,RU,ruonia
2010-02-04,3.31,percent_annual,RU,ruonia
2010-02-05,3.46,percent_annual,RU,ruonia
2010-02-08,3.87,percent_annual,RU,ruonia
2010-02-09,3.54,percent_annual,RU,ruonia
2010-02-10,3.66,percent_annual,RU,ruonia
2010-02-11,3.57,percent_annual,RU,ruonia
2010-02-12,3.42,percent_annual,RU,ruonia
2010-02-15,4.14,percent_annual,RU,ruonia
2010-02-16,3.86,percent_annual,RU,ruonia
2010-02-17,3.84,percent_annual,RU,ruonia
2010-02-18,4.11,percent_annual,RU,ruonia
2010-02-19,3.61,percent_annual,RU,ruonia
2010-02-24,3.41,percent_annual,RU,ruonia
2010-02-25,4.59,percent_annual,RU,ruonia
2010-02-26,3.54,percent_annual,RU,ruonia
2010-02-27,2.6,percent_annual,RU,ruonia
2010-03-01,3.32,percent_annual,RU,ruonia
2010-03-02,3.01,percent_annual,RU,ruonia
2010-03-03,3.34,percent_annual,RU,ruonia
2010-03-04,3.53,percent_annual,RU,ruonia
2010-03-05,3.61,percent_annual,RU,ruonia
2010-03-09,3.39,percent_annual,RU,ruonia
