date,value,unit,region,breakdown
1997-09-22,100,index_points,RU,close
1997-09-23,100.67,index_points,RU,close
1997-09-24,99.94,index_points,RU,close
1997-09-25,99.46,index_points,RU,close
1997-09-26,98.87,index_points,RU,close
1997-09-29,99.14,index_points,RU,close
1997-09-30,100.16,index_points,RU,close
1997-10-01,101.21,index_points,RU,close
1997-10-02,105.8,index_points,RU,close
1997-10-03,110.73,index_points,RU,close
1997-10-06,115.03,index_points,RU,close
1997-10-07,112.67,index_points,RU,close
1997-10-08,112.22,index_points,RU,close
1997-10-09,107.89,index_points,RU,close
1997-10-10,106.56,index_points,RU,close
1997-10-13,108.54,index_points,RU,close
1997-10-14,111.44,index_points,RU,close
1997-10-15,109.65,index_points,RU,close
1997-10-16,109.68,index_points,RU,close
1997-10-17,107.9,index_points,RU,close
1997-10-20,107.46,index_points,RU,close
1997-10-21,109.39,index_points,RU,close
1997-10-22,111.19,index_points,RU,close
1997-10-23,106.82,index_points,RU,close
1997-10-24,105.33,index_points,RU,close
1997-10-27,99.65,index_points,RU,close
1997-10-28,78.91,index_points,RU,close
1997-10-29,94.73,index_points,RU,close
1997-10-30,85.27,index_points,RU,close
1997-10-31,86.46,index_points,RU,close
1997-11-03,89.34,index_points,RU,close
1997-11-04,89.34,index_points,RU,close
1997-11-05,88.85,index_points,RU,close
1997-11-06,88.6,index_points,RU,close
1997-11-10,81.77,index_points,RU,close
1997-11-11,77.2,index_points,RU,close
1997-11-12,71.19,index_points,RU,close
1997-11-13,68.23,index_points,RU,close
1997-11-14,67.42,index_points,RU,close
1997-11-17,68.06,index_points,RU,close
1997-11-18,72.18,index_points,RU,close
1997-11-19,70.51,index_points,RU,close
1997-11-20,72.58,index_points,RU,close
1997-11-21,77.52,index_points,RU,close
1997-11-24,74.01,index_points,RU,close
1997-11-25,69.49,index_points,RU,close
1997-11-26,72.65,index_points,RU,close
1997-11-27,70.2,index_points,RU,close
1997-11-28,67.94,index_points,RU,close
1997-12-01,66.66,index_points,RU,close
1997-12-02,66.7,index_points,RU,close
1997-12-03,70.05,index_points,RU,close
1997-12-04,74.84,index_points,RU,close
1997-12-05,79.16,index_points,RU,close
1997-12-08,80.27,index_points,RU,close
1997-12-09,80.89,index_points,RU,close
1997-12-10,76.88,index_points,RU,close
1997-12-11,71.06,index_points,RU,close
1997-12-15,76.13,index_points,RU,close
1997-12-16,79.05,index_points,RU,close
1997-12-17,81.59,index_points,RU,close
1997-12-18,80.16,index_points,RU,close
1997-12-19,76.39,index_points,RU,close
1997-12-22,76.75,index_points,RU,close
1997-12-23,79.47,index_points,RU,close
1997-12-24,78.72,index_points,RU,close
1997-12-25,79.91,index_points,RU,close
1997-12-26,80.98,index_points,RU,close
1997-12-29,83.2,index_points,RU,close
1997-12-30,85.05,index_points,RU,close
1998-01-06,88.97,index_points,RU,close
1998-01-08,83.56,index_points,RU,close
1998-01-09,81.26,index_points,RU,close
1998-01-12,70.61,index_points,RU,close
1998-01-13,73.34,index_points,RU,close
1998-01-14,74.16,index_points,RU,close
1998-01-15,70.62,index_points,RU,close
1998-01-16,70.61,index_points,RU,close
1998-01-19,73.4,index_points,RU,close
1998-01-20,73.33,index_points,RU,close
1998-01-21,71.7,index_points,RU,close
1998-01-22,67.75,index_points,RU,close
1998-01-23,65.98,index_points,RU,close
1998-01-26,60.34,index_points,RU,close
1998-01-27,62.99,index_points,RU,close
1998-01-28,62.71,index_points,RU,close
1998-01-29,57.95,index_points,RU,close
1998-01-30,62.21,index_points,RU,close
1998-02-02,67.39,index_points,RU,close
1998-02-03,65.96,index_points,RU,close
1998-02-04,64.1,index_points,RU,close
1998-02-05,67.48,index_points,RU,close
1998-02-06,70.4,index_points,RU,close
1998-02-09,71.36,index_points,RU,close
1998-02-10,69.71,index_points,RU,close
1998-02-11,72.15,index_points,RU,close
1998-02-12,70.63,index_points,RU,close
1998-02-13,69.6,index_points,RU,close
1998-02-16,70.32,index_points,RU,close
1998-02-17,72.09,index_points,RU,close
1998-02-18,71.44,index_points,RU,close
1998-02-19,71.72,index_points,RU,close
1998-02-20,71.78,index_points,RU,close
1998-02-23,73.04,index_points,RU,close
1998-02-24,72.6,index_points,RU,close
1998-02-25,72.49,index_points,RU,close
1998-02-26,73.76,index_points,RU,close
1998-02-27,73.38,index_points,RU,close
1998-03-02,75.16,index_points,RU,close
1998-03-03,76.6,index_points,RU,close
1998-03-04,77.21,index_points,RU,close
1998-03-05,76.66,index_points,RU,close
1998-03-06,77.85,index_points,RU,close
1998-03-10,79.8,index_points,RU,close
1998-03-11,82.91,index_points,RU,close
1998-03-12,81.29,index_points,RU,close
1998-03-13,80.95,index_points,RU,close
1998-03-16,80.88,index_points,RU,close
1998-03-17,78.43,index_points,RU,close
1998-03-18,76.03,index_points,RU,close
1998-03-19,77.4,index_points,RU,close
1998-03-20,78.75,index_points,RU,close
1998-03-23,77.42,index_points,RU,close
1998-03-24,80.39,index_points,RU,close
1998-03-25,79.11,index_points,RU,close
