date,value,unit,region,breakdown
2003-02-26,335.67,index_points,RU,close
2003-02-27,338.35,index_points,RU,close
2003-02-28,341.52,index_points,RU,close
2003-03-03,352.24,index_points,RU,close
2003-03-04,348.4,index_points,RU,close
2003-03-05,357.65,index_points,RU,close
2003-03-06,359.97,index_points,RU,close
2003-03-07,354.87,index_points,RU,close
2003-03-11,349.89,index_points,RU,close
2003-03-12,343.24,index_points,RU,close
2003-03-13,346.83,index_points,RU,close
2003-03-14,345.65,index_points,RU,close
2003-03-17,337.83,index_points,RU,close
2003-03-18,330.14,index_points,RU,close
2003-03-19,333.97,index_points,RU,close
2003-03-20,334.91,index_points,RU,close
2003-03-21,338.76,index_points,RU,close
2003-03-24,332.3,index_points,RU,close
2003-03-25,333.57,index_points,RU,close
2003-03-26,333.3,index_points,RU,close
2003-03-27,332.7,index_points,RU,close
2003-03-28,332.88,index_points,RU,close
2003-03-31,325.56,index_points,RU,close
2003-04-01,327.44,index_points,RU,close
2003-04-02,331.02,index_points,RU,close
2003-04-03,326.94,index_points,RU,close
2003-04-04,330.53,index_points,RU,close
2003-04-07,336.3,index_points,RU,close
2003-04-08,337.48,index_points,RU,close
2003-04-09,336.53,index_points,RU,close
2003-04-10,336.76,index_points,RU,close
2003-04-11,338.21,index_points,RU,close
2003-04-14,341.99,index_points,RU,close
2003-04-15,345.97,index_points,RU,close
2003-04-16,344.63,index_points,RU,close
2003-04-17,348.61,index_points,RU,close
2003-04-18,356.81,index_points,RU,close
2003-04-21,363.89,index_points,RU,close
2003-04-22,364.89,index_points,RU,close
2003-04-23,373.05,index_points,RU,close
2003-04-24,366.21,index_points,RU,close
2003-04-25,371.96,index_points,RU,close
2003-04-28,382.74,index_points,RU,close
2003-04-29,376.26,index_points,RU,close
2003-04-30,369.77,index_points,RU,close
2003-05-05,380.22,index_points,RU,close
2003-05-06,379.88,index_points,RU,close
2003-05-07,375.86,index_points,RU,close
2003-05-08,374.79,index_points,RU,close
2003-05-12,385.27,index_points,RU,close
2003-05-13,384.56,index_points,RU,close
2003-05-14,387.04,index_points,RU,close
2003-05-15,391.82,index_points,RU,close
2003-05-16,399.74,index_points,RU,close
2003-05-19,404.33,index_points,RU,close
2003-05-20,399.47,index_points,RU,close
2003-05-21,399.37,index_points,RU,close
2003-05-22,411.22,index_points,RU,close
2003-05-23,415.26,index_points,RU,close
2003-05-26,420.99,index_points,RU,close
2003-05-27,422.57,index_points,RU,close
2003-05-28,426.61,index_points,RU,close
2003-05-29,420.56,index_points,RU,close
2003-05-30,421.08,index_points,RU,close
2003-06-02,413.64,index_points,RU,close
2003-06-03,420.06,index_points,RU,close
2003-06-04,423.82,index_points,RU,close
2003-06-05,420.07,index_points,RU,close
2003-06-06,431.39,index_points,RU,close
2003-06-09,437.14,index_points,RU,close
2003-06-10,421.49,index_points,RU,close
2003-06-11,430.09,index_points,RU,close
2003-06-16,452.34,index_points,RU,close
2003-06-17,456.74,index_points,RU,close
2003-06-18,451.9,index_points,RU,close
2003-06-19,441.21,index_points,RU,close
2003-06-20,443.57,index_points,RU,close
2003-06-21,447.04,index_points,RU,close
2003-06-23,441.19,index_points,RU,close
2003-06-24,443.59,index_points,RU,close
2003-06-25,455.1,index_points,RU,close
2003-06-26,448.15,index_points,RU,close
2003-06-27,451.02,index_points,RU,close
2003-06-30,455.44,index_points,RU,close
2003-07-01,455.16,index_points,RU,close
2003-07-02,467.98,index_points,RU,close
2003-07-03,460.98,index_points,RU,close
2003-07-04,466.48,index_points,RU,close
2003-07-07,468.05,index_points,RU,close
2003-07-08,463.13,index_points,RU,close
2003-07-09,446.69,index_points,RU,close
2003-07-10,433.37,index_points,RU,close
2003-07-11,427.26,index_points,RU,close
2003-07-14,439.3,index_points,RU,close
2003-07-15,438.55,index_points,RU,close
2003-07-16,410.24,index_points,RU,close
2003-07-17,391.93,index_points,RU,close
2003-07-18,398.8,index_points,RU,close
2003-07-21,410.13,index_points,RU,close
2003-07-22,419.1,index_points,RU,close
2003-07-23,413.98,index_points,RU,close
2003-07-24,426.8,index_points,RU,close
2003-07-25,428.11,index_points,RU,close
2003-07-28,427.96,index_points,RU,close
2003-07-29,417.07,index_points,RU,close
2003-07-30,422.43,index_points,RU,close
2003-07-31,430.3,index_points,RU,close
2003-08-01,419.22,index_points,RU,close
2003-08-04,421.65,index_points,RU,close
2003-08-05,424.41,index_points,RU,close
2003-08-06,431.9,index_points,RU,close
2003-08-07,431.97,index_points,RU,close
2003-08-08,433.47,index_points,RU,close
2003-08-11,442.96,index_points,RU,close
2003-08-12,447.28,index_points,RU,close
2003-08-13,453.36,index_points,RU,close
2003-08-14,457.76,index_points,RU,close
2003-08-15,464.33,index_points,RU,close
2003-08-18,474.91,index_points,RU,close
2003-08-19,476.17,index_points,RU,close
2003-08-20,469.87,index_points,RU,close
2003-08-21,478.31,index_points,RU,close
2003-08-22,479.96,index_points,RU,close
2003-08-25,477.4,index_points,RU,close
2003-08-26,471.13,index_points,RU,close
2003-08-27,469.98,index_points,RU,close
2003-08-28,476.35,index_points,RU,close
2003-08-29,484,index_points,RU,close
2003-09-01,491.9,index_points,RU,close
