date,value,unit,region,breakdown
2016-12-28,159647,rub_per_sqm,RU,close
2017-01-04,158952,rub_per_sqm,RU,close
2017-01-11,158470,rub_per_sqm,RU,close
2017-01-18,157779,rub_per_sqm,RU,close
2017-01-25,157832,rub_per_sqm,RU,close
2017-02-01,159664,rub_per_sqm,RU,close
2017-02-08,159020,rub_per_sqm,RU,close
2017-02-15,159135,rub_per_sqm,RU,close
2017-02-22,160328,rub_per_sqm,RU,close
2017-03-01,159480,rub_per_sqm,RU,close
2017-03-08,160969,rub_per_sqm,RU,close
2017-03-15,161291,rub_per_sqm,RU,close
2017-03-22,160627,rub_per_sqm,RU,close
2017-03-29,159648,rub_per_sqm,RU,close
2017-04-05,159775,rub_per_sqm,RU,close
2017-04-12,158289,rub_per_sqm,RU,close
2017-04-19,158678,rub_per_sqm,RU,close
2017-04-26,159315,rub_per_sqm,RU,close
2017-05-03,158497,rub_per_sqm,RU,close
2017-05-10,158571,rub_per_sqm,RU,close
2017-05-17,157885,rub_per_sqm,RU,close
2017-05-24,157767,rub_per_sqm,RU,close
2017-05-31,156256,rub_per_sqm,RU,close
2017-06-07,156793,rub_per_sqm,RU,close
2017-06-14,157169,rub_per_sqm,RU,close
2017-06-21,157126,rub_per_sqm,RU,close
2017-06-28,158540,rub_per_sqm,RU,close
2017-07-05,158498,rub_per_sqm,RU,close
2017-07-12,157889,rub_per_sqm,RU,close
2017-07-19,158302,rub_per_sqm,RU,close
2017-07-26,158460,rub_per_sqm,RU,close
2017-08-02,159506,rub_per_sqm,RU,close
2017-08-09,159464,rub_per_sqm,RU,close
2017-08-16,158500,rub_per_sqm,RU,close
2017-08-23,156226,rub_per_sqm,RU,close
2017-08-30,155437,rub_per_sqm,RU,close
2017-09-06,156753,rub_per_sqm,RU,close
2017-09-13,156659,rub_per_sqm,RU,close
2017-09-20,157845,rub_per_sqm,RU,close
2017-09-27,158432,rub_per_sqm,RU,close
2017-10-04,157729,rub_per_sqm,RU,close
2017-10-11,157857,rub_per_sqm,RU,close
