date,value,unit,region,breakdown
2002-12-30,100,index_points,RU,close
2003-01-04,100.34,index_points,RU,close
2003-01-05,101.09,index_points,RU,close
2003-01-08,101.35,index_points,RU,close
2003-01-09,101.41,index_points,RU,close
2003-01-10,101.57,index_points,RU,close
2003-01-13,101.77,index_points,RU,close
2003-01-14,101.81,index_points,RU,close
2003-01-15,101.82,index_points,RU,close
2003-01-16,101.82,index_points,RU,close
2003-01-17,101.99,index_points,RU,close
2003-01-20,102.06,index_points,RU,close
2003-01-21,102.03,index_points,RU,close
2003-01-22,102.19,index_points,RU,close
2003-01-23,102.36,index_points,RU,close
2003-01-24,102.49,index_points,RU,close
2003-01-27,102.55,index_points,RU,close
2003-01-28,102.67,index_points,RU,close
2003-01-29,102.67,index_points,RU,close
2003-01-30,102.77,index_points,RU,close
2003-01-31,103.06,index_points,RU,close
2003-02-03,103.18,index_points,RU,close
2003-02-04,103.29,index_points,RU,close
2003-02-05,104.1,index_points,RU,close
2003-02-06,104.65,index_points,RU,close
2003-02-07,105.64,index_points,RU,close
2003-02-10,106.26,index_points,RU,close
2003-02-11,106.42,index_points,RU,close
2003-02-12,106.99,index_points,RU,close
2003-02-13,108.05,index_points,RU,close
2003-02-14,108.54,index_points,RU,close
2003-02-17,109.84,index_points,RU,close
2003-02-18,110.68,index_points,RU,close
2003-02-19,110.99,index_points,RU,close
2003-02-20,111.01,index_points,RU,close
2003-02-21,111.25,index_points,RU,close
2003-02-25,111.61,index_points,RU,close
2003-02-26,111.61,index_points,RU,close
2003-02-27,111.75,index_points,RU,close
2003-02-28,111.99,index_points,RU,close
2003-03-03,112.19,index_points,RU,close
2003-03-04,111.95,index_points,RU,close
2003-03-05,112.44,index_points,RU,close
2003-03-06,112.78,index_points,RU,close
2003-03-07,112.97,index_points,RU,close
2003-03-11,113.47,index_points,RU,close
2003-03-12,113.84,index_points,RU,close
2003-03-13,114.06,index_points,RU,close
2003-03-14,114.23,index_points,RU,close
2003-03-17,113.08,index_points,RU,close
2003-03-18,111.81,index_points,RU,close
2003-03-19,112.04,index_points,RU,close
2003-03-20,111.77,index_points,RU,close
2003-03-21,113.5,index_points,RU,close
2003-03-24,113.16,index_points,RU,close
2003-03-25,113.16,index_points,RU,close
2003-03-26,113.32,index_points,RU,close
2003-03-27,113.52,index_points,RU,close
2003-03-28,113.5,index_points,RU,close
2003-03-31,113.59,index_points,RU,close
2003-04-01,114.16,index_points,RU,close
2003-04-02,115.02,index_points,RU,close
2003-04-03,115.1,index_points,RU,close
2003-04-04,115.14,index_points,RU,close
2003-04-07,115.04,index_points,RU,close
2003-04-08,115.08,index_points,RU,close
2003-04-09,115.19,index_points,RU,close
2003-04-10,115.42,index_points,RU,close
2003-04-11,115.37,index_points,RU,close
2003-04-14,115.55,index_points,RU,close
2003-04-15,115.6,index_points,RU,close
2003-04-16,115.83,index_points,RU,close
2003-04-17,116.11,index_points,RU,close
2003-04-18,116.35,index_points,RU,close
2003-04-21,116.58,index_points,RU,close
2003-04-22,116.64,index_points,RU,close
2003-04-23,117.78,index_points,RU,close
2003-04-24,118.07,index_points,RU,close
