date,value,unit,region,breakdown
1995-09-01,100,index_points,RU,close
1995-09-04,99.799,index_points,RU,close
1995-09-05,100.417,index_points,RU,close
1995-09-06,99.741,index_points,RU,close
1995-09-07,101.301,index_points,RU,close
1995-09-08,101.3,index_points,RU,close
1995-09-11,100.84,index_points,RU,close
1995-09-12,100.24,index_points,RU,close
1995-09-13,99.159,index_points,RU,close
1995-09-14,98.795,index_points,RU,close
1995-09-15,99.301,index_points,RU,close
1995-09-18,99.84,index_points,RU,close
1995-09-19,99.536,index_points,RU,close
1995-09-20,99.188,index_points,RU,close
1995-09-21,96.273,index_points,RU,close
1995-09-22,94.025,index_points,RU,close
1995-09-25,91.162,index_points,RU,close
1995-09-26,87.977,index_points,RU,close
1995-09-27,88.174,index_points,RU,close
1995-09-28,89.071,index_points,RU,close
1995-09-29,86.088,index_points,RU,close
1995-10-02,83.003,index_points,RU,close
1995-10-03,78.391,index_points,RU,close
1995-10-04,72.056,index_points,RU,close
1995-10-05,75.033,index_points,RU,close
1995-10-06,74.16,index_points,RU,close
1995-10-09,77.266,index_points,RU,close
1995-10-10,76.417,index_points,RU,close
1995-10-11,75.802,index_points,RU,close
1995-10-12,76.475,index_points,RU,close
1995-10-13,77.476,index_points,RU,close
1995-10-16,78.097,index_points,RU,close
1995-10-17,78.656,index_points,RU,close
1995-10-18,78.998,index_points,RU,close
1995-10-19,79.257,index_points,RU,close
1995-10-20,79.35,index_points,RU,close
1995-10-23,79.162,index_points,RU,close
1995-10-24,79.082,index_points,RU,close
1995-10-25,79.141,index_points,RU,close
1995-10-26,78.111,index_points,RU,close
1995-10-27,75.858,index_points,RU,close
1995-10-30,74.878,index_points,RU,close
1995-10-31,73.555,index_points,RU,close
1995-11-01,72.702,index_points,RU,close
1995-11-02,68.091,index_points,RU,close
1995-11-03,69.977,index_points,RU,close
1995-11-04,70.528,index_points,RU,close
1995-11-08,71.265,index_points,RU,close
1995-11-09,71.761,index_points,RU,close
1995-11-10,71.537,index_points,RU,close
1995-11-13,72.177,index_points,RU,close
1995-11-14,71.868,index_points,RU,close
