date,value,unit,region,breakdown
2020-12-30,704.093,nss_parameter,RU,b1
2020-12-30,-360.029,nss_parameter,RU,b2
2020-12-30,-167.901,nss_parameter,RU,b3
2020-12-30,1.79854,nss_parameter,RU,t1
2020-12-30,-10.7961,nss_parameter,RU,g1
2020-12-30,12.1247,nss_parameter,RU,g2
2020-12-30,5.91624,nss_parameter,RU,g3
2020-12-30,1.01747,nss_parameter,RU,g4
2020-12-30,-3.31862,nss_parameter,RU,g5
2020-12-30,-2.62333,nss_parameter,RU,g6
2020-12-30,1.76829,nss_parameter,RU,g7
2020-12-30,0,nss_parameter,RU,g8
2020-12-30,0,nss_parameter,RU,g9
2021-12-30,810.992,nss_parameter,RU,b1
2021-12-30,-168.17,nss_parameter,RU,b2
2021-12-30,114.702,nss_parameter,RU,b3
2021-12-30,0.376943,nss_parameter,RU,t1
2021-12-30,-0.032348,nss_parameter,RU,g1
2021-12-30,0.554389,nss_parameter,RU,g2
2021-12-30,0.506273,nss_parameter,RU,g3
2021-12-30,0.138079,nss_parameter,RU,g4
2021-12-30,2.63698,nss_parameter,RU,g5
2021-12-30,0.835486,nss_parameter,RU,g6
2021-12-30,-0.871613,nss_parameter,RU,g7
2021-12-30,0,nss_parameter,RU,g8
2021-12-30,0,nss_parameter,RU,g9
2022-12-29,1087.05,nss_parameter,RU,b1
2022-12-29,-428.389,nss_parameter,RU,b2
2022-12-29,-276.735,nss_parameter,RU,b3
2022-12-29,1.46023,nss_parameter,RU,t1
2022-12-29,-0.353332,nss_parameter,RU,g1
2022-12-29,-1.47131,nss_parameter,RU,g2
2022-12-29,3.95559,nss_parameter,RU,g3
2022-12-29,-8.30567,nss_parameter,RU,g4
2022-12-29,3.0277,nss_parameter,RU,g5
2022-12-29,3.87965,nss_parameter,RU,g6
2022-12-29,-0.945712,nss_parameter,RU,g7
2022-12-29,0,nss_parameter,RU,g8
2022-12-29,0,nss_parameter,RU,g9
2023-12-28,1092.17,nss_parameter,RU,b1
2023-12-28,105.358,nss_parameter,RU,b2
2023-12-28,130.307,nss_parameter,RU,b3
2023-12-28,0.787254,nss_parameter,RU,t1
2023-12-28,11.9443,nss_parameter,RU,g1
2023-12-28,-10.2969,nss_parameter,RU,g2
2023-12-28,9.1572,nss_parameter,RU,g3
2023-12-28,-5.87115,nss_parameter,RU,g4
2023-12-28,-4.68968,nss_parameter,RU,g5
2023-12-28,3.31125,nss_parameter,RU,g6
2023-12-28,3.95168,nss_parameter,RU,g7
2023-12-28,0,nss_parameter,RU,g8
2023-12-28,0,nss_parameter,RU,g9
2024-12-27,1248.4,nss_parameter,RU,b1
2024-12-27,351.836,nss_parameter,RU,b2
2024-12-27,587.078,nss_parameter,RU,b3
2024-12-27,1.93807,nss_parameter,RU,t1
2024-12-27,0.358055,nss_parameter,RU,g1
2024-12-27,0.69013,nss_parameter,RU,g2
2024-12-27,-3.19754,nss_parameter,RU,g3
2024-12-27,-6.60817,nss_parameter,RU,g4
2024-12-27,-2.12427,nss_parameter,RU,g5
2024-12-27,7.7581,nss_parameter,RU,g6
2024-12-27,2.67767,nss_parameter,RU,g7
2024-12-27,0,nss_parameter,RU,g8
2024-12-27,0,nss_parameter,RU,g9
2025-12-30,1268.23,nss_parameter,RU,b1
2025-12-30,-169.208,nss_parameter,RU,b2
2025-12-30,534.986,nss_parameter,RU,b3
2025-12-30,1.98226,nss_parameter,RU,t1
2025-12-30,0.060043,nss_parameter,RU,g1
2025-12-30,1.21374,nss_parameter,RU,g2
2025-12-30,2.49266,nss_parameter,RU,g3
2025-12-30,-6.4024,nss_parameter,RU,g4
2025-12-30,-1.62471,nss_parameter,RU,g5
2025-12-30,14.9961,nss_parameter,RU,g6
2025-12-30,-3.63866,nss_parameter,RU,g7
2025-12-30,0,nss_parameter,RU,g8
2025-12-30,0,nss_parameter,RU,g9
2026-06-30,1592.16,nss_parameter,RU,b1
2026-06-30,-292.123,nss_parameter,RU,b2
2026-06-30,-572.259,nss_parameter,RU,b3
2026-06-30,0.970977,nss_parameter,RU,t1
2026-06-30,0.101873,nss_parameter,RU,g1
2026-06-30,1.51909,nss_parameter,RU,g2
2026-06-30,0.985745,nss_parameter,RU,g3
2026-06-30,-5.51045,nss_parameter,RU,g4
2026-06-30,4.19163,nss_parameter,RU,g5
2026-06-30,6.69766,nss_parameter,RU,g6
2026-06-30,0.798254,nss_parameter,RU,g7
2026-06-30,0,nss_parameter,RU,g8
2026-06-30,0,nss_parameter,RU,g9
2026-09-16,1558.16,nss_parameter,RU,b1
2026-09-16,-387.646,nss_parameter,RU,b2
2026-09-16,-300.201,nss_parameter,RU,b3
2026-09-16,0.574219,nss_parameter,RU,t1
2026-09-16,1.42906,nss_parameter,RU,g1
2026-09-16,-1.92915,nss_parameter,RU,g2
2026-09-16,-3.50378,nss_parameter,RU,g3
2026-09-16,-1.09424,nss_parameter,RU,g4
2026-09-16,14.4765,nss_parameter,RU,g5
2026-09-16,4.58502,nss_parameter,RU,g6
2026-09-16,-5.40059,nss_parameter,RU,g7
2026-09-16,0,nss_parameter,RU,g8
2026-09-16,0,nss_parameter,RU,g9
