date,value,unit,region,breakdown
2025-03-31,269.74,rub_per_sqm_month,Алтайский край,здания
2025-03-31,194,rub_per_sqm_month,Алтайский край,машино-места
2025-03-31,512.28,rub_per_sqm_month,Алтайский край,помещения
2025-03-31,246.57,rub_per_sqm_month,Алтайский край,сооружения
2025-03-31,1058.53,rub_per_sqm_month,Амурская область,здания
2025-03-31,864.71,rub_per_sqm_month,Амурская область,помещения
2025-03-31,77.74,rub_per_sqm_month,Амурская область,сооружения
2025-03-31,319.32,rub_per_sqm_month,Архангельская область,здания
2025-03-31,529.36,rub_per_sqm_month,Архангельская область,помещения
2025-03-31,76.26,rub_per_sqm_month,Архангельская область,сооружения
2025-03-31,319.83,rub_per_sqm_month,Архангельская область (кроме Ненецкого автономного округа),здания
2025-03-31,117.85,rub_per_sqm_month,Архангельская область (кроме Ненецкого автономного округа),машино-места
2025-03-31,512.9,rub_per_sqm_month,Архангельская область (кроме Ненецкого автономного округа),помещения
2025-03-31,76.26,rub_per_sqm_month,Архангельская область (кроме Ненецкого автономного округа),сооружения
2025-03-31,214.19,rub_per_sqm_month,Астраханская область,здания
2025-03-31,520.82,rub_per_sqm_month,Астраханская область,помещения
2025-03-31,661.59,rub_per_sqm_month,Астраханская область,сооружения
2025-03-31,441.61,rub_per_sqm_month,Белгородская область,здания
2025-03-31,100.22,rub_per_sqm_month,Белгородская область,машино-места
2025-03-31,382.34,rub_per_sqm_month,Белгородская область,помещения
2025-03-31,116.52,rub_per_sqm_month,Белгородская область,сооружения
2025-03-31,397.93,rub_per_sqm_month,Брянская область,здания
2025-03-31,644.81,rub_per_sqm_month,Брянская область,помещения
2025-03-31,283.45,rub_per_sqm_month,Брянская область,сооружения
2025-03-31,359.64,rub_per_sqm_month,Владимирская область,здания
2025-03-31,45.47,rub_per_sqm_month,Владимирская область,машино-места
2025-03-31,330.89,rub_per_sqm_month,Владимирская область,помещения
2025-03-31,81.19,rub_per_sqm_month,Владимирская область,сооружения
2025-03-31,897.67,rub_per_sqm_month,Волгоградская область,здания
2025-03-31,171.97,rub_per_sqm_month,Волгоградская область,машино-места
2025-03-31,567.8,rub_per_sqm_month,Волгоградская область,помещения
