date,value,unit,region,breakdown
2012-12-31,29.531,percent_of_basket,RU,01 ПРОДУКТЫ ПИТАНИЯ И БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ
2012-12-31,27.918,percent_of_basket,RU,01.1 Продукты питания
2012-12-31,1.613,percent_of_basket,RU,01.2 Безалкогольные напитки
2012-12-31,5.977,percent_of_basket,RU,"02 АЛКОГОЛЬНЫЕ НАПИТКИ, ТАБАЧНЫЕ ИЗДЕЛИЯ"
2012-12-31,5.224,percent_of_basket,RU,02.1 Алкогольные напитки
2012-12-31,10.546,percent_of_basket,RU,03 ОДЕЖДА И ОБУВЬ
2012-12-31,7.933,percent_of_basket,RU,03.1 Одежда
2012-12-31,2.613,percent_of_basket,RU,03.2 Обувь
2012-12-31,11.144,percent_of_basket,RU,"04 ЖИЛИЩНЫЕ УСЛУГИ, ВОДА, ЭЛЕКТРОЭНЕРГИЯ, ГАЗ И ДРУГИЕ ВИДЫ ТОПЛИВА"
2012-12-31,0.489,percent_of_basket,RU,04.1 Фактическая арендная плата за жилье
2012-12-31,1.913,percent_of_basket,RU,04.3 Текущее содержание и ремонт жилого помещения
2012-12-31,3.447,percent_of_basket,RU,04.4 Водоснабжение и другие коммунальные услуги
2012-12-31,5.295,percent_of_basket,RU,"04.5 Электроэнергия, газ и другие виды топлива"
2012-12-31,6.015,percent_of_basket,RU,"05 ПРЕДМЕТЫ ДОМАШНЕГО ОБИХОДА, БЫТОВАЯ ТЕХНИКА И ПОВСЕДНЕВНЫЙ УХОД ЗА ДОМОМ"
2012-12-31,2.414,percent_of_basket,RU,"05.1 Мебель, предметы домашнего обихода, художественного оформления, ковры, другие покрытия для пола и их ремонт"
2012-12-31,1.447,percent_of_basket,RU,"05.3 Бытовые приборы, включая ремонт"
2012-12-31,0.131,percent_of_basket,RU,05.5 Инструменты и оборудование для дома и сада
2012-12-31,0.814,percent_of_basket,RU,05.6 Товары и услуги для повседневного ухода за жильем
2012-12-31,3.37,percent_of_basket,RU,06 ЗДРАВООХРАНЕНИЕ
2012-12-31,1.823,percent_of_basket,RU,"06.1 Медикаменты, лечебное оборудование и аппаратура"
2012-12-31,1.332,percent_of_basket,RU,06.2 Амбулаторные услуги
2012-12-31,13.712,percent_of_basket,RU,07 ТРАНСПОРТ
2012-12-31,6.266,percent_of_basket,RU,07.1 Покупка транспортных средств
2012-12-31,4.597,percent_of_basket,RU,07.2 Эксплуатация личных транспортных средств
2012-12-31,2.849,percent_of_basket,RU,07.3 Транспортные услуги
2012-12-31,3.415,percent_of_basket,RU,08 СВЯЗЬ
2012-12-31,6.386,percent_of_basket,RU,09 ОРГАНИЗАЦИЯ ОТДЫХА И КУЛЬТУРНЫЕ МЕРОПРИЯТИЯ
2012-12-31,1.779,percent_of_basket,RU,"09.1 Аудиовизуальное, фотографическое оборудование и оборудование для обработки информации"
