date,value,unit,region,breakdown
1991-01-01,106.2,index_prev_month_percent,RU,all_goods
1991-02-01,104.8,index_prev_month_percent,RU,all_goods
1991-03-01,106.3,index_prev_month_percent,RU,all_goods
1991-04-01,163.5,index_prev_month_percent,RU,all_goods
1991-05-01,103,index_prev_month_percent,RU,all_goods
1991-06-01,101.2,index_prev_month_percent,RU,all_goods
1991-07-01,100.6,index_prev_month_percent,RU,all_goods
1991-08-01,100.5,index_prev_month_percent,RU,all_goods
1991-09-01,101.1,index_prev_month_percent,RU,all_goods
1991-10-01,103.5,index_prev_month_percent,RU,all_goods
1991-11-01,108.9,index_prev_month_percent,RU,all_goods
1991-12-01,112.1,index_prev_month_percent,RU,all_goods
1992-01-01,345.3,index_prev_month_percent,RU,all_goods
1992-02-01,138,index_prev_month_percent,RU,all_goods
1992-03-01,129.9,index_prev_month_percent,RU,all_goods
1992-04-01,121.7,index_prev_month_percent,RU,all_goods
1992-05-01,111.9,index_prev_month_percent,RU,all_goods
1992-06-01,119.1,index_prev_month_percent,RU,all_goods
1992-07-01,110.6,index_prev_month_percent,RU,all_goods
1992-08-01,108.6,index_prev_month_percent,RU,all_goods
1992-09-01,111.5,index_prev_month_percent,RU,all_goods
1992-10-01,122.9,index_prev_month_percent,RU,all_goods
1992-11-01,126.1,index_prev_month_percent,RU,all_goods
1992-12-01,125.2,index_prev_month_percent,RU,all_goods
1993-01-01,125.8,index_prev_month_percent,RU,all_goods
1993-02-01,124.7,index_prev_month_percent,RU,all_goods
1993-03-01,120.1,index_prev_month_percent,RU,all_goods
1993-04-01,118.7,index_prev_month_percent,RU,all_goods
1993-05-01,118.1,index_prev_month_percent,RU,all_goods
1993-06-01,119.9,index_prev_month_percent,RU,all_goods
1993-07-01,122.39,index_prev_month_percent,RU,all_goods
1993-08-01,126,index_prev_month_percent,RU,all_goods
1993-09-01,123,index_prev_month_percent,RU,all_goods
1993-10-01,119.5,index_prev_month_percent,RU,all_goods
1993-11-01,116.39,index_prev_month_percent,RU,all_goods
1993-12-01,112.5,index_prev_month_percent,RU,all_goods
1994-01-01,117.9,index_prev_month_percent,RU,all_goods
1994-02-01,110.82,index_prev_month_percent,RU,all_goods
1994-03-01,107.41,index_prev_month_percent,RU,all_goods
1994-04-01,108.49,index_prev_month_percent,RU,all_goods
1994-05-01,106.91,index_prev_month_percent,RU,all_goods
1994-06-01,106,index_prev_month_percent,RU,all_goods
1994-07-01,105.33,index_prev_month_percent,RU,all_goods
1994-08-01,104.62,index_prev_month_percent,RU,all_goods
1994-09-01,107.96,index_prev_month_percent,RU,all_goods
1994-10-01,115,index_prev_month_percent,RU,all_goods
1994-11-01,114.61,index_prev_month_percent,RU,all_goods
1994-12-01,116.44,index_prev_month_percent,RU,all_goods
1995-01-01,117.77,index_prev_month_percent,RU,all_goods
1995-02-01,111.02,index_prev_month_percent,RU,all_goods
1995-03-01,108.94,index_prev_month_percent,RU,all_goods
1995-04-01,108.47,index_prev_month_percent,RU,all_goods
1995-05-01,107.93,index_prev_month_percent,RU,all_goods
1995-06-01,106.66,index_prev_month_percent,RU,all_goods
1995-07-01,105.38,index_prev_month_percent,RU,all_goods
1995-08-01,104.56,index_prev_month_percent,RU,all_goods
1995-09-01,104.46,index_prev_month_percent,RU,all_goods
1995-10-01,104.72,index_prev_month_percent,RU,all_goods
1995-11-01,104.56,index_prev_month_percent,RU,all_goods
1995-12-01,103.2,index_prev_month_percent,RU,all_goods
1996-01-01,104.11,index_prev_month_percent,RU,all_goods
1996-02-01,102.79,index_prev_month_percent,RU,all_goods
1996-03-01,102.8,index_prev_month_percent,RU,all_goods
1996-04-01,102.16,index_prev_month_percent,RU,all_goods
1996-05-01,101.6,index_prev_month_percent,RU,all_goods
1996-06-01,101.17,index_prev_month_percent,RU,all_goods
1996-07-01,100.72,index_prev_month_percent,RU,all_goods
1996-08-01,99.79,index_prev_month_percent,RU,all_goods
1996-09-01,100.33,index_prev_month_percent,RU,all_goods
1996-10-01,101.2,index_prev_month_percent,RU,all_goods
1996-11-01,101.88,index_prev_month_percent,RU,all_goods
1996-12-01,101.42,index_prev_month_percent,RU,all_goods
1997-01-01,102.34,index_prev_month_percent,RU,all_goods
1997-02-01,101.54,index_prev_month_percent,RU,all_goods
1997-03-01,101.43,index_prev_month_percent,RU,all_goods
1997-04-01,100.96,index_prev_month_percent,RU,all_goods
1997-05-01,100.94,index_prev_month_percent,RU,all_goods
1997-06-01,101.1,index_prev_month_percent,RU,all_goods
1997-07-01,100.93,index_prev_month_percent,RU,all_goods
1997-08-01,99.86,index_prev_month_percent,RU,all_goods
1997-09-01,99.7,index_prev_month_percent,RU,all_goods
1997-10-01,100.17,index_prev_month_percent,RU,all_goods
1997-11-01,100.61,index_prev_month_percent,RU,all_goods
1997-12-01,100.96,index_prev_month_percent,RU,all_goods
1998-01-01,101.51,index_prev_month_percent,RU,all_goods
1998-02-01,100.89,index_prev_month_percent,RU,all_goods
1998-03-01,100.64,index_prev_month_percent,RU,all_goods
1998-04-01,100.38,index_prev_month_percent,RU,all_goods
1998-05-01,100.5,index_prev_month_percent,RU,all_goods
1998-06-01,100.08,index_prev_month_percent,RU,all_goods
1998-07-01,100.17,index_prev_month_percent,RU,all_goods
1998-08-01,103.67,index_prev_month_percent,RU,all_goods
1998-09-01,138.43,index_prev_month_percent,RU,all_goods
1998-10-01,104.54,index_prev_month_percent,RU,all_goods
1998-11-01,105.67,index_prev_month_percent,RU,all_goods
1998-12-01,111.61,index_prev_month_percent,RU,all_goods
1999-01-01,108.38,index_prev_month_percent,RU,all_goods
1999-02-01,104.13,index_prev_month_percent,RU,all_goods
1999-03-01,102.79,index_prev_month_percent,RU,all_goods
1999-04-01,103.03,index_prev_month_percent,RU,all_goods
1999-05-01,102.22,index_prev_month_percent,RU,all_goods
1999-06-01,101.91,index_prev_month_percent,RU,all_goods
1999-07-01,102.82,index_prev_month_percent,RU,all_goods
1999-08-01,101.16,index_prev_month_percent,RU,all_goods
1999-09-01,101.48,index_prev_month_percent,RU,all_goods
1999-10-01,101.37,index_prev_month_percent,RU,all_goods
1999-11-01,101.23,index_prev_month_percent,RU,all_goods
1999-12-01,101.26,index_prev_month_percent,RU,all_goods
2000-01-01,102.33,index_prev_month_percent,RU,all_goods
2000-02-01,101.04,index_prev_month_percent,RU,all_goods
2000-03-01,100.64,index_prev_month_percent,RU,all_goods
2000-04-01,100.89,index_prev_month_percent,RU,all_goods
2000-05-01,101.75,index_prev_month_percent,RU,all_goods
2000-06-01,102.55,index_prev_month_percent,RU,all_goods
2000-07-01,101.79,index_prev_month_percent,RU,all_goods
2000-08-01,100.98,index_prev_month_percent,RU,all_goods
2000-09-01,101.32,index_prev_month_percent,RU,all_goods
2000-10-01,102.11,index_prev_month_percent,RU,all_goods
2000-11-01,101.52,index_prev_month_percent,RU,all_goods
2000-12-01,101.64,index_prev_month_percent,RU,all_goods
2001-01-01,102.76,index_prev_month_percent,RU,all_goods
2001-02-01,102.28,index_prev_month_percent,RU,all_goods
2001-03-01,101.86,index_prev_month_percent,RU,all_goods
2001-04-01,101.79,index_prev_month_percent,RU,all_goods
2001-05-01,101.78,index_prev_month_percent,RU,all_goods
2001-06-01,101.62,index_prev_month_percent,RU,all_goods
2001-07-01,100.45,index_prev_month_percent,RU,all_goods
2001-08-01,100.01,index_prev_month_percent,RU,all_goods
2001-09-01,100.6,index_prev_month_percent,RU,all_goods
2001-10-01,101.09,index_prev_month_percent,RU,all_goods
2001-11-01,101.36,index_prev_month_percent,RU,all_goods
2001-12-01,101.6,index_prev_month_percent,RU,all_goods
2002-01-01,103.09,index_prev_month_percent,RU,all_goods
2002-02-01,101.16,index_prev_month_percent,RU,all_goods
2002-03-01,101.08,index_prev_month_percent,RU,all_goods
2002-04-01,101.16,index_prev_month_percent,RU,all_goods
2002-05-01,101.69,index_prev_month_percent,RU,all_goods
2002-06-01,100.53,index_prev_month_percent,RU,all_goods
2002-07-01,100.72,index_prev_month_percent,RU,all_goods
2002-08-01,100.09,index_prev_month_percent,RU,all_goods
2002-09-01,100.4,index_prev_month_percent,RU,all_goods
2002-10-01,101.07,index_prev_month_percent,RU,all_goods
2002-11-01,101.61,index_prev_month_percent,RU,all_goods
2002-12-01,101.54,index_prev_month_percent,RU,all_goods
2003-01-01,102.4,index_prev_month_percent,RU,all_goods
2003-02-01,101.63,index_prev_month_percent,RU,all_goods
2003-03-01,101.05,index_prev_month_percent,RU,all_goods
2003-04-01,101.02,index_prev_month_percent,RU,all_goods
2003-05-01,100.8,index_prev_month_percent,RU,all_goods
2003-06-01,100.8,index_prev_month_percent,RU,all_goods
2003-07-01,100.71,index_prev_month_percent,RU,all_goods
2003-08-01,99.59,index_prev_month_percent,RU,all_goods
2003-09-01,100.34,index_prev_month_percent,RU,all_goods
2003-10-01,101,index_prev_month_percent,RU,all_goods
2003-11-01,100.96,index_prev_month_percent,RU,all_goods
2003-12-01,101.1,index_prev_month_percent,RU,all_goods
2004-01-01,101.75,index_prev_month_percent,RU,all_goods
2004-02-01,100.99,index_prev_month_percent,RU,all_goods
2004-03-01,100.75,index_prev_month_percent,RU,all_goods
2004-04-01,100.99,index_prev_month_percent,RU,all_goods
2004-05-01,100.74,index_prev_month_percent,RU,all_goods
2004-06-01,100.78,index_prev_month_percent,RU,all_goods
2004-07-01,100.92,index_prev_month_percent,RU,all_goods
2004-08-01,100.42,index_prev_month_percent,RU,all_goods
2004-09-01,100.43,index_prev_month_percent,RU,all_goods
2004-10-01,101.14,index_prev_month_percent,RU,all_goods
2004-11-01,101.11,index_prev_month_percent,RU,all_goods
2004-12-01,101.14,index_prev_month_percent,RU,all_goods
2005-01-01,102.62,index_prev_month_percent,RU,all_goods
2005-02-01,101.23,index_prev_month_percent,RU,all_goods
2005-03-01,101.34,index_prev_month_percent,RU,all_goods
2005-04-01,101.12,index_prev_month_percent,RU,all_goods
2005-05-01,100.8,index_prev_month_percent,RU,all_goods
2005-06-01,100.64,index_prev_month_percent,RU,all_goods
2005-07-01,100.46,index_prev_month_percent,RU,all_goods
2005-08-01,99.86,index_prev_month_percent,RU,all_goods
2005-09-01,100.25,index_prev_month_percent,RU,all_goods
2005-10-01,100.55,index_prev_month_percent,RU,all_goods
2005-11-01,100.74,index_prev_month_percent,RU,all_goods
2005-12-01,100.82,index_prev_month_percent,RU,all_goods
2006-01-01,102.43,index_prev_month_percent,RU,all_goods
2006-02-01,101.66,index_prev_month_percent,RU,all_goods
2006-03-01,100.82,index_prev_month_percent,RU,all_goods
2006-04-01,100.35,index_prev_month_percent,RU,all_goods
2006-05-01,100.48,index_prev_month_percent,RU,all_goods
2006-06-01,100.28,index_prev_month_percent,RU,all_goods
2006-07-01,100.67,index_prev_month_percent,RU,all_goods
2006-08-01,100.19,index_prev_month_percent,RU,all_goods
2006-09-01,100.09,index_prev_month_percent,RU,all_goods
2006-10-01,100.28,index_prev_month_percent,RU,all_goods
