date,value,unit,region,breakdown
2022-01-01,776739.75,rub,RU,car_domestic_new
2022-01-01,1360395.21,rub,RU,car_foreign_new
2022-01-01,915661.28,rub,RU,car_imported_used
2022-01-01,37164.59,rub,RU,college_semester
2022-01-01,28918.40,rub,RU,driving_course
2022-01-01,57743.64,rub,RU,kasko_year
2022-01-01,127.24,rub,RU,kindergarten_day
2022-01-01,301.69,rub,RU,language_course_hour
2022-01-01,18484.07,rub,RU,rent_flat_1room_month
2022-01-01,22895.64,rub,RU,rent_flat_2room_month
2022-01-01,24941.79,rub,RU,school_private_month
2022-01-01,9142.91,rub,RU,trip_excursion_russia
2022-01-01,28071.63,rub,RU,trip_turkey
2022-01-01,53027.78,rub,RU,university_private_semester
2022-01-01,74786.36,rub,RU,university_state_semester
2022-01-01,790049.30,rub,Алтайский край,car_domestic_new
2022-01-01,1322870.75,rub,Алтайский край,car_foreign_new
2022-01-01,942402.87,rub,Алтайский край,car_imported_used
2022-01-01,25419.32,rub,Алтайский край,college_semester
2022-01-01,21894.74,rub,Алтайский край,driving_course
2022-01-01,48229.30,rub,Алтайский край,kasko_year
2022-01-01,95.24,rub,Алтайский край,kindergarten_day
2022-01-01,206.56,rub,Алтайский край,language_course_hour
2022-01-01,9748.49,rub,Алтайский край,rent_flat_1room_month
2022-01-01,12693.81,rub,Алтайский край,rent_flat_2room_month
2022-01-01,16050.00,rub,Алтайский край,school_private_month
2022-01-01,6246.79,rub,Алтайский край,trip_excursion_russia
2022-01-01,44873.21,rub,Алтайский край,trip_turkey
2022-01-01,52500.00,rub,Алтайский край,university_private_semester
2022-01-01,58544.72,rub,Алтайский край,university_state_semester
2022-01-01,805445.80,rub,Амурская область,car_domestic_new
2022-01-01,1885907.06,rub,Амурская область,car_foreign_new
2022-01-01,604528.02,rub,Амурская область,car_imported_used
2022-01-01,35371.29,rub,Амурская область,college_semester
2022-01-01,38124.88,rub,Амурская область,driving_course
2022-01-01,57163.93,rub,Амурская область,kasko_year
2022-01-01,229.84,rub,Амурская область,kindergarten_day
2022-01-01,408.64,rub,Амурская область,language_course_hour
