date,value,unit,region,breakdown
2021-03-31,57341.7,rub_per_sqm,Алтайский край,primary|все типы квартир
2021-03-31,52725.1,rub_per_sqm,Алтайский край,primary|квартиры среднего качества (типовые)
2021-03-31,57546.3,rub_per_sqm,Алтайский край,primary|улучшенного качества
2021-03-31,69826,rub_per_sqm,Алтайский край,primary|элитные квартиры
2021-03-31,57637.4,rub_per_sqm,Алтайский край,secondary|все типы квартир
2021-03-31,56853.2,rub_per_sqm,Алтайский край,secondary|квартиры среднего качества (типовые)
2021-03-31,48833.7,rub_per_sqm,Алтайский край,secondary|низкого качества
2021-03-31,59489.2,rub_per_sqm,Алтайский край,secondary|улучшенного качества
2021-03-31,74784.5,rub_per_sqm,Алтайский край,secondary|элитные квартиры
2021-03-31,91377.9,rub_per_sqm,Амурская область,primary|все типы квартир
2021-03-31,86553.8,rub_per_sqm,Амурская область,primary|квартиры среднего качества (типовые)
2021-03-31,96893.4,rub_per_sqm,Амурская область,primary|улучшенного качества
2021-03-31,93489.5,rub_per_sqm,Амурская область,secondary|все типы квартир
2021-03-31,91717.6,rub_per_sqm,Амурская область,secondary|квартиры среднего качества (типовые)
2021-03-31,102091,rub_per_sqm,Амурская область,secondary|улучшенного качества
2021-03-31,80097.1,rub_per_sqm,Архангельская область,primary|все типы квартир
2021-03-31,79792.5,rub_per_sqm,Архангельская область,primary|улучшенного качества
2021-03-31,72547.8,rub_per_sqm,Архангельская область,secondary|все типы квартир
2021-03-31,67312.8,rub_per_sqm,Архангельская область,secondary|квартиры среднего качества (типовые)
2021-03-31,69684.7,rub_per_sqm,Архангельская область,secondary|низкого качества
2021-03-31,76505.7,rub_per_sqm,Архангельская область,secondary|улучшенного качества
2021-03-31,115562,rub_per_sqm,Архангельская область,secondary|элитные квартиры
2021-03-31,80097.1,rub_per_sqm,Архангельская область (кроме Ненецкого автономного округа),primary|все типы квартир
2021-03-31,79792.5,rub_per_sqm,Архангельская область (кроме Ненецкого автономного округа),primary|улучшенного качества
2021-03-31,72685.9,rub_per_sqm,Архангельская область (кроме Ненецкого автономного округа),secondary|все типы квартир
2021-03-31,67462.6,rub_per_sqm,Архангельская область (кроме Ненецкого автономного округа),secondary|квартиры среднего качества (типовые)
2021-03-31,69684.7,rub_per_sqm,Архангельская область (кроме Ненецкого автономного округа),secondary|низкого качества
2021-03-31,76506.6,rub_per_sqm,Архангельская область (кроме Ненецкого автономного округа),secondary|улучшенного качества
2021-03-31,115562,rub_per_sqm,Архангельская область (кроме Ненецкого автономного округа),secondary|элитные квартиры
2021-03-31,66947.9,rub_per_sqm,Астраханская область,primary|все типы квартир
2021-03-31,55186.7,rub_per_sqm,Астраханская область,primary|квартиры среднего качества (типовые)
2021-03-31,69203.6,rub_per_sqm,Астраханская область,primary|улучшенного качества
2021-03-31,46738.2,rub_per_sqm,Астраханская область,secondary|все типы квартир
2021-03-31,45108.9,rub_per_sqm,Астраханская область,secondary|квартиры среднего качества (типовые)
2021-03-31,30577,rub_per_sqm,Астраханская область,secondary|низкого качества
2021-03-31,55499.7,rub_per_sqm,Астраханская область,secondary|улучшенного качества
2021-03-31,73228.6,rub_per_sqm,Астраханская область,secondary|элитные квартиры
2021-03-31,67606.5,rub_per_sqm,Белгородская область,primary|все типы квартир
2021-03-31,59434.5,rub_per_sqm,Белгородская область,primary|квартиры среднего качества (типовые)
2021-03-31,70250.4,rub_per_sqm,Белгородская область,primary|улучшенного качества
2021-03-31,75155.5,rub_per_sqm,Белгородская область,primary|элитные квартиры
