date,value,unit,region,breakdown
1995-12-31,1.5,percent_of_population,Российская Федерация,"до 100 000,0"
1995-12-31,11.9,percent_of_population,Российская Федерация,"100 000,1-200 000,0"
1995-12-31,17.9,percent_of_population,Российская Федерация,"200 000,1-300 000,0"
1995-12-31,16.8,percent_of_population,Российская Федерация,"300 000,1-400 000,0"
1995-12-31,13.4,percent_of_population,Российская Федерация,"400 000,1-500 000,0"
1995-12-31,10.1,percent_of_population,Российская Федерация,"500 000,1-600 000,0"
1995-12-31,12.8,percent_of_population,Российская Федерация,"600 000,1-800 000,0"
1995-12-31,15.6,percent_of_population,Российская Федерация,"свыше 800 000,0"
1995-12-31,3.3,percent_of_population,Белгородская область,"до 100 000,0"
1995-12-31,19.6,percent_of_population,Белгородская область,"100 000,1-200 000,0"
1995-12-31,22.9,percent_of_population,Белгородская область,"200 000,1-300 000,0"
1995-12-31,17.8,percent_of_population,Белгородская область,"300 000,1-400 000,0"
1995-12-31,12.2,percent_of_population,Белгородская область,"400 000,1-500 000,0"
1995-12-31,8,percent_of_population,Белгородская область,"500 000,1-600 000,0"
1995-12-31,8.7,percent_of_population,Белгородская область,"600 000,1-800 000,0"
1995-12-31,7.5,percent_of_population,Белгородская область,"свыше 800 000,0"
1995-12-31,1.8,percent_of_population,Брянская область,"до 100 000,0"
1995-12-31,20.2,percent_of_population,Брянская область,"100 000,1-200 000,0"
1995-12-31,28.2,percent_of_population,Брянская область,"200 000,1-300 000,0"
1995-12-31,21,percent_of_population,Брянская область,"300 000,1-400 000,0"
1995-12-31,12.7,percent_of_population,Брянская область,"400 000,1-500 000,0"
1995-12-31,7.1,percent_of_population,Брянская область,"500 000,1-600 000,0"
1995-12-31,6.1,percent_of_population,Брянская область,"600 000,1-800 000,0"
1995-12-31,2.9,percent_of_population,Брянская область,"свыше 800 000,0"
1995-12-31,0.6,percent_of_population,Владимирская область,"до 100 000,0"
1995-12-31,18.6,percent_of_population,Владимирская область,"100 000,1-200 000,0"
