date,value,unit,region,breakdown
1995-12-31,0.653819,sigma_of_log,Российская Федерация,sigma
1995-12-31,12.9309,mu_of_log,Российская Федерация,mu
1995-12-31,412888,rub_per_month,Российская Федерация,median
1995-12-31,511279,rub_per_month,Российская Федерация,mean
1995-12-31,0.999999,r2,Российская Федерация,r_squared
1995-12-31,178622,rub_per_month,Российская Федерация,q10
1995-12-31,265650,rub_per_month,Российская Федерация,q25
1995-12-31,412888,rub_per_month,Российская Федерация,q50
1995-12-31,641731,rub_per_month,Российская Федерация,q75
1995-12-31,954395,rub_per_month,Российская Федерация,q90
1995-12-31,1.21029e+06,rub_per_month,Российская Федерация,q95
1995-12-31,0.634557,sigma_of_log,Белгородская область,sigma
1995-12-31,12.6785,mu_of_log,Белгородская область,mu
1995-12-31,320777,rub_per_month,Белгородская область,median
1995-12-31,392319,rub_per_month,Белгородская область,mean
1995-12-31,0.999999,r2,Белгородская область,r_squared
1995-12-31,142242,rub_per_month,Белгородская область,q10
1995-12-31,209085,rub_per_month,Белгородская область,q25
1995-12-31,320777,rub_per_month,Белгородская область,q50
1995-12-31,492132,rub_per_month,Белгородская область,q75
1995-12-31,723400,rub_per_month,Белгородская область,q90
1995-12-31,910960,rub_per_month,Белгородская область,q95
1995-12-31,0.520727,sigma_of_log,Брянская область,sigma
1995-12-31,12.6069,mu_of_log,Брянская область,mu
1995-12-31,298615,rub_per_month,Брянская область,median
1995-12-31,341973,rub_per_month,Брянская область,mean
1995-12-31,0.999995,r2,Брянская область,r_squared
1995-12-31,153211,rub_per_month,Брянская область,q10
1995-12-31,210173,rub_per_month,Брянская область,q25
1995-12-31,298615,rub_per_month,Брянская область,q50
1995-12-31,424274,rub_per_month,Брянская область,q75
1995-12-31,582013,rub_per_month,Брянская область,q90
1995-12-31,703223,rub_per_month,Брянская область,q95
1995-12-31,0.426531,sigma_of_log,Владимирская область,sigma
1995-12-31,12.5808,mu_of_log,Владимирская область,mu
1995-12-31,290915,rub_per_month,Владимирская область,median
1995-12-31,318619,rub_per_month,Владимирская область,mean
