date,value,unit,region,breakdown
2013-03-31,-3.4,percent_of_income,RU,cash_change
2013-03-31,0.5,percent_of_income,RU,financial_assets_change
2013-03-31,85.1,percent_of_income,RU,goods_and_services
2013-03-31,100,percent_of_income,RU,income_total
2013-03-31,14.4,percent_of_income,RU,obligatory_payments
2013-06-30,1.2,percent_of_income,RU,cash_change
2013-06-30,4.7,percent_of_income,RU,financial_assets_change
2013-06-30,80.4,percent_of_income,RU,goods_and_services
2013-06-30,100,percent_of_income,RU,income_total
2013-06-30,14.9,percent_of_income,RU,obligatory_payments
2013-09-30,-0.5,percent_of_income,RU,cash_change
2013-09-30,0.3,percent_of_income,RU,financial_assets_change
2013-09-30,84.5,percent_of_income,RU,goods_and_services
2013-09-30,100,percent_of_income,RU,income_total
2013-09-30,15.2,percent_of_income,RU,obligatory_payments
2013-12-31,4,percent_of_income,RU,cash_change
2013-12-31,0.6,percent_of_income,RU,cash_change_annual
2013-12-31,10.1,percent_of_income,RU,financial_assets_change
2013-12-31,4.4,percent_of_income,RU,financial_assets_change_annual
2013-12-31,75.1,percent_of_income,RU,goods_and_services
2013-12-31,80.8,percent_of_income,RU,goods_and_services_annual
2013-12-31,100,percent_of_income,RU,income_total
2013-12-31,100,percent_of_income,RU,income_total_annual
2013-12-31,14.8,percent_of_income,RU,obligatory_payments
2013-12-31,14.8,percent_of_income,RU,obligatory_payments_annual
2014-03-31,0,percent_of_income,RU,cash_change
2014-03-31,-5.6,percent_of_income,RU,financial_assets_change
2014-03-31,90,percent_of_income,RU,goods_and_services
2014-03-31,100,percent_of_income,RU,income_total
2014-03-31,15.6,percent_of_income,RU,obligatory_payments
2014-06-30,1.7,percent_of_income,RU,cash_change
2014-06-30,5,percent_of_income,RU,financial_assets_change
2014-06-30,80.1,percent_of_income,RU,goods_and_services
2014-06-30,100,percent_of_income,RU,income_total
2014-06-30,14.9,percent_of_income,RU,obligatory_payments
2014-09-30,2.1,percent_of_income,RU,cash_change
2014-09-30,1.8,percent_of_income,RU,financial_assets_change
2014-09-30,82.8,percent_of_income,RU,goods_and_services
2014-09-30,100,percent_of_income,RU,income_total
2014-09-30,15.4,percent_of_income,RU,obligatory_payments
2014-12-31,4.9,percent_of_income,RU,cash_change
2014-12-31,2.4,percent_of_income,RU,cash_change_annual
2014-12-31,7.3,percent_of_income,RU,financial_assets_change
2014-12-31,2.7,percent_of_income,RU,financial_assets_change_annual
2014-12-31,77.5,percent_of_income,RU,goods_and_services
2014-12-31,82,percent_of_income,RU,goods_and_services_annual
2014-12-31,100,percent_of_income,RU,income_total
2014-12-31,100,percent_of_income,RU,income_total_annual
2014-12-31,15.2,percent_of_income,RU,obligatory_payments
2014-12-31,15.3,percent_of_income,RU,obligatory_payments_annual
2015-03-31,-8,percent_of_income,RU,cash_change
2015-03-31,2,percent_of_income,RU,financial_assets_change
2015-03-31,84.2,percent_of_income,RU,goods_and_services
2015-03-31,100,percent_of_income,RU,income_total
2015-03-31,13.8,percent_of_income,RU,obligatory_payments
2015-06-30,-0.4,percent_of_income,RU,cash_change
2015-06-30,11.5,percent_of_income,RU,financial_assets_change
2015-06-30,75.1,percent_of_income,RU,goods_and_services
2015-06-30,100,percent_of_income,RU,income_total
2015-06-30,13.4,percent_of_income,RU,obligatory_payments
2015-09-30,-0.4,percent_of_income,RU,cash_change
2015-09-30,4.8,percent_of_income,RU,financial_assets_change
2015-09-30,80.5,percent_of_income,RU,goods_and_services
2015-09-30,100,percent_of_income,RU,income_total
2015-09-30,14.7,percent_of_income,RU,obligatory_payments
2015-12-31,3,percent_of_income,RU,cash_change
2015-12-31,-1,percent_of_income,RU,cash_change_annual
2015-12-31,15.6,percent_of_income,RU,financial_assets_change
2015-12-31,9.1,percent_of_income,RU,financial_assets_change_annual
2015-12-31,71.4,percent_of_income,RU,goods_and_services
2015-12-31,77.2,percent_of_income,RU,goods_and_services_annual
2015-12-31,100,percent_of_income,RU,income_total
2015-12-31,100,percent_of_income,RU,income_total_annual
2015-12-31,13,percent_of_income,RU,obligatory_payments
2015-12-31,13.7,percent_of_income,RU,obligatory_payments_annual
2016-03-31,0.3,percent_of_income,RU,cash_change
2016-03-31,4,percent_of_income,RU,financial_assets_change
2016-03-31,82.4,percent_of_income,RU,goods_and_services
2016-03-31,100,percent_of_income,RU,income_total
2016-03-31,13.6,percent_of_income,RU,obligatory_payments
2016-06-30,1.7,percent_of_income,RU,cash_change
2016-06-30,10.5,percent_of_income,RU,financial_assets_change
2016-06-30,75.8,percent_of_income,RU,goods_and_services
2016-06-30,100,percent_of_income,RU,income_total
2016-06-30,13.7,percent_of_income,RU,obligatory_payments
2016-09-30,1.7,percent_of_income,RU,cash_change
2016-09-30,5.6,percent_of_income,RU,financial_assets_change
2016-09-30,80.1,percent_of_income,RU,goods_and_services
2016-09-30,100,percent_of_income,RU,income_total
2016-09-30,14.3,percent_of_income,RU,obligatory_payments
2016-12-31,4,percent_of_income,RU,cash_change
2016-12-31,2.1,percent_of_income,RU,cash_change_annual
2016-12-31,13.5,percent_of_income,RU,financial_assets_change
2016-12-31,8.7,percent_of_income,RU,financial_assets_change_annual
2016-12-31,73,percent_of_income,RU,goods_and_services
2016-12-31,77.5,percent_of_income,RU,goods_and_services_annual
2016-12-31,100,percent_of_income,RU,income_total
2016-12-31,100,percent_of_income,RU,income_total_annual
2016-12-31,13.5,percent_of_income,RU,obligatory_payments
2016-12-31,13.8,percent_of_income,RU,obligatory_payments_annual
2017-03-31,0.6,percent_of_income,RU,cash_change
2017-03-31,4.1,percent_of_income,RU,financial_assets_change
2017-03-31,82.5,percent_of_income,RU,goods_and_services
2017-03-31,100,percent_of_income,RU,income_total
2017-03-31,13.4,percent_of_income,RU,obligatory_payments
2017-06-30,2.6,percent_of_income,RU,cash_change
2017-06-30,8.7,percent_of_income,RU,financial_assets_change
2017-06-30,77.2,percent_of_income,RU,goods_and_services
2017-06-30,100,percent_of_income,RU,income_total
2017-06-30,14.1,percent_of_income,RU,obligatory_payments
2017-09-30,2.3,percent_of_income,RU,cash_change
2017-09-30,2.7,percent_of_income,RU,financial_assets_change
2017-09-30,82.6,percent_of_income,RU,goods_and_services
2017-09-30,100,percent_of_income,RU,income_total
2017-09-30,14.7,percent_of_income,RU,obligatory_payments
2017-12-31,2.9,percent_of_income,RU,cash_change
2017-12-31,2.2,percent_of_income,RU,cash_change_annual
2017-12-31,10.6,percent_of_income,RU,financial_assets_change
2017-12-31,6.8,percent_of_income,RU,financial_assets_change_annual
2017-12-31,75.1,percent_of_income,RU,goods_and_services
2017-12-31,79.1,percent_of_income,RU,goods_and_services_annual
2017-12-31,100,percent_of_income,RU,income_total
2017-12-31,100,percent_of_income,RU,income_total_annual
2017-12-31,14.3,percent_of_income,RU,obligatory_payments
2017-12-31,14.1,percent_of_income,RU,obligatory_payments_annual
2018-03-31,1,percent_of_income,RU,cash_change
2018-03-31,2.2,percent_of_income,RU,financial_assets_change
2018-03-31,83.6,percent_of_income,RU,goods_and_services
2018-03-31,100,percent_of_income,RU,income_total
2018-03-31,14.2,percent_of_income,RU,obligatory_payments
2018-06-30,3.3,percent_of_income,RU,cash_change
2018-06-30,4.8,percent_of_income,RU,financial_assets_change
2018-06-30,80.5,percent_of_income,RU,goods_and_services
2018-06-30,100,percent_of_income,RU,income_total
2018-06-30,14.7,percent_of_income,RU,obligatory_payments
2018-09-30,3.2,percent_of_income,RU,cash_change
2018-09-30,0,percent_of_income,RU,financial_assets_change
2018-09-30,84.8,percent_of_income,RU,goods_and_services
2018-09-30,100,percent_of_income,RU,income_total
2018-09-30,15.2,percent_of_income,RU,obligatory_payments
2018-12-31,2.4,percent_of_income,RU,cash_change
2018-12-31,2.5,percent_of_income,RU,cash_change_annual
2018-12-31,8.9,percent_of_income,RU,financial_assets_change
2018-12-31,4.2,percent_of_income,RU,financial_assets_change_annual
2018-12-31,75.7,percent_of_income,RU,goods_and_services
2018-12-31,80.8,percent_of_income,RU,goods_and_services_annual
2018-12-31,100,percent_of_income,RU,income_total
2018-12-31,100,percent_of_income,RU,income_total_annual
2018-12-31,15.4,percent_of_income,RU,obligatory_payments
2018-12-31,15,percent_of_income,RU,obligatory_payments_annual
2019-03-31,-1.4,percent_of_income,RU,cash_change
2019-03-31,-1.5,percent_of_income,RU,financial_assets_change
2019-03-31,86.3,percent_of_income,RU,goods_and_services
2019-03-31,100,percent_of_income,RU,income_total
2019-03-31,15.2,percent_of_income,RU,obligatory_payments
2019-06-30,0.9,percent_of_income,RU,cash_change
2019-06-30,4.5,percent_of_income,RU,financial_assets_change
2019-06-30,80.4,percent_of_income,RU,goods_and_services
2019-06-30,100,percent_of_income,RU,income_total
2019-06-30,15.1,percent_of_income,RU,obligatory_payments
2019-09-30,0.8,percent_of_income,RU,cash_change
2019-09-30,0.9,percent_of_income,RU,financial_assets_change
2019-09-30,83.7,percent_of_income,RU,goods_and_services
2019-09-30,100,percent_of_income,RU,income_total
2019-09-30,15.4,percent_of_income,RU,obligatory_payments
2019-12-31,1.4,percent_of_income,RU,cash_change
2019-12-31,0.5,percent_of_income,RU,cash_change_annual
2019-12-31,9.6,percent_of_income,RU,financial_assets_change
2019-12-31,3.9,percent_of_income,RU,financial_assets_change_annual
2019-12-31,75.2,percent_of_income,RU,goods_and_services
