date,value,unit,region,breakdown
1950-12-31,0.5,per_1000_population,RU,divorces|rate
1950-12-31,49378,events,RU,divorces|total
1950-12-31,12,per_1000_population,RU,marriages|rate
1950-12-31,1.22297e+06,events,RU,marriages|total
1960-12-31,1.5,per_1000_population,RU,divorces|rate
1960-12-31,184398,events,RU,divorces|total
1960-12-31,12.5,per_1000_population,RU,marriages|rate
1960-12-31,1.49958e+06,events,RU,marriages|total
1970-12-31,3,per_1000_population,RU,divorces|rate
1970-12-31,396589,events,RU,divorces|total
1970-12-31,10.1,per_1000_population,RU,marriages|rate
1970-12-31,1.31923e+06,events,RU,marriages|total
1980-12-31,4.2,per_1000_population,RU,divorces|rate
1980-12-31,580720,events,RU,divorces|total
1980-12-31,10.6,per_1000_population,RU,marriages|rate
1980-12-31,1.46458e+06,events,RU,marriages|total
1990-12-31,3.8,per_1000_population,RU,divorces|rate
1990-12-31,559918,events,RU,divorces|total
1990-12-31,8.9,per_1000_population,RU,marriages|rate
1990-12-31,1.31993e+06,events,RU,marriages|total
1995-12-31,4.5,per_1000_population,RU,divorces|rate
1995-12-31,665904,events,RU,divorces|total
1995-12-31,7.3,per_1000_population,RU,marriages|rate
1995-12-31,1.07522e+06,events,RU,marriages|total
2000-12-31,4.3,per_1000_population,RU,divorces|rate
2000-12-31,627703,events,RU,divorces|total
2000-12-31,6.2,per_1000_population,RU,marriages|rate
2000-12-31,897327,events,RU,marriages|total
2001-12-31,5.3,per_1000_population,RU,divorces|rate
2001-12-31,763493,events,RU,divorces|total
2001-12-31,6.9,per_1000_population,RU,marriages|rate
2001-12-31,1.00159e+06,events,RU,marriages|total
2002-12-31,5.9,per_1000_population,RU,divorces|rate
2002-12-31,853647,events,RU,divorces|total
2002-12-31,7.1,per_1000_population,RU,marriages|rate
2002-12-31,1.01976e+06,events,RU,marriages|total
2003-12-31,5.5,per_1000_population,RU,divorces|rate
2003-12-31,798824,events,RU,divorces|total
2003-12-31,7.5,per_1000_population,RU,marriages|rate
2003-12-31,1.09178e+06,events,RU,marriages|total
2004-12-31,4.4,per_1000_population,RU,divorces|rate
2004-12-31,635835,events,RU,divorces|total
2004-12-31,6.8,per_1000_population,RU,marriages|rate
2004-12-31,979667,events,RU,marriages|total
2005-12-31,4.2,per_1000_population,RU,divorces|rate
2005-12-31,604942,events,RU,divorces|total
2005-12-31,7.4,per_1000_population,RU,marriages|rate
2005-12-31,1.06637e+06,events,RU,marriages|total
2006-12-31,4.5,per_1000_population,RU,divorces|rate
2006-12-31,640837,events,RU,divorces|total
2006-12-31,7.8,per_1000_population,RU,marriages|rate
2006-12-31,1.11356e+06,events,RU,marriages|total
2007-12-31,4.8,per_1000_population,RU,divorces|rate
2007-12-31,685910,events,RU,divorces|total
2007-12-31,8.8,per_1000_population,RU,marriages|rate
2007-12-31,1.2625e+06,events,RU,marriages|total
2008-12-31,4.9,per_1000_population,RU,divorces|rate
2008-12-31,703412,events,RU,divorces|total
2008-12-31,8.3,per_1000_population,RU,marriages|rate
2008-12-31,1.17901e+06,events,RU,marriages|total
2009-12-31,4.9,per_1000_population,RU,divorces|rate
2009-12-31,699430,events,RU,divorces|total
2009-12-31,8.4,per_1000_population,RU,marriages|rate
2009-12-31,1.19945e+06,events,RU,marriages|total
2010-12-31,4.5,per_1000_population,RU,divorces|rate
2010-12-31,639321,events,RU,divorces|total
2010-12-31,8.5,per_1000_population,RU,marriages|rate
2010-12-31,1.21507e+06,events,RU,marriages|total
2011-12-31,4.7,per_1000_population,RU,divorces|rate
2011-12-31,669376,events,RU,divorces|total
2011-12-31,9.2,per_1000_population,RU,marriages|rate
2011-12-31,1.31601e+06,events,RU,marriages|total
2012-12-31,4.5,per_1000_population,RU,divorces|rate
2012-12-31,644101,events,RU,divorces|total
2012-12-31,8.5,per_1000_population,RU,marriages|rate
2012-12-31,1.2136e+06,events,RU,marriages|total
2013-12-31,4.6,per_1000_population,RU,divorces|rate
2013-12-31,667971,events,RU,divorces|total
2013-12-31,8.5,per_1000_population,RU,marriages|rate
2013-12-31,1.2255e+06,events,RU,marriages|total
2015-12-31,4.2,per_1000_population,RU,divorces|rate
2015-12-31,611646,events,RU,divorces|total
2015-12-31,7.9,per_1000_population,RU,marriages|rate
2015-12-31,1.16107e+06,events,RU,marriages|total
2016-12-31,4.1,per_1000_population,RU,divorces|rate
2016-12-31,608336,events,RU,divorces|total
2016-12-31,6.7,per_1000_population,RU,marriages|rate
2016-12-31,985836,events,RU,marriages|total
2017-12-31,4.1,per_1000_population,RU,divorces|rate
2017-12-31,611436,events,RU,divorces|total
2017-12-31,7.1,per_1000_population,RU,marriages|rate
2017-12-31,1.04974e+06,events,RU,marriages|total
2018-12-31,4,per_1000_population,RU,divorces|rate
2018-12-31,583942,events,RU,divorces|total
2018-12-31,6,per_1000_population,RU,marriages|rate
2018-12-31,893039,events,RU,marriages|total
2019-12-31,4.2,per_1000_population,RU,divorces|rate
2019-12-31,620730,events,RU,divorces|total
2019-12-31,6.4,per_1000_population,RU,marriages|rate
2019-12-31,950167,events,RU,marriages|total
2020-12-31,3.8,per_1000_population,RU,divorces|rate
2020-12-31,564704,events,RU,divorces|total
2020-12-31,5.2,per_1000_population,RU,marriages|rate
2020-12-31,770857,events,RU,marriages|total
2021-12-31,4.4,per_1000_population,RU,divorces|rate
2021-12-31,644209,events,RU,divorces|total
2021-12-31,6.3,per_1000_population,RU,marriages|rate
2021-12-31,923550,events,RU,marriages|total
