date,value,unit,region,breakdown
2021-12-31,54758.8,rub_per_member_month,RU,decile_10|Потребительские расходы - всего
2021-12-31,107206,rub_per_member_month,RU,decile_10|Располагаемые ресурсы - всего
2021-12-31,55301.6,rub_per_member_month,RU,decile_10|Расходы на потребление - всего
2021-12-31,12826.4,rub_per_member_month,RU,decile_10|Справочно: из общей суммы расходов на потребление: расходы на питание (уточнение к: Потребительские расходы - всего)
2021-12-31,1340.2,rub_per_member_month,RU,"decile_10|алкогольная продукция, табачные изделия и наркотики"
2021-12-31,10349.9,rub_per_member_month,RU,decile_10|в том числе: денежные расходы (уточнение к: Расходы на потребление - всего)
2021-12-31,2461.2,rub_per_member_month,RU,"decile_10|гостиницы, кафе и рестораны"
2021-12-31,5343.2,rub_per_member_month,RU,"decile_10|жилищные услуги, вода, электроэнергия, газ и другие виды топлива"
2021-12-31,1963,rub_per_member_month,RU,decile_10|здравоохранение
2021-12-31,10948.8,rub_per_member_month,RU,decile_10|из них на: домашнее питание (уточнение к: Расходы на потребление - всего)
2021-12-31,79544.2,rub_per_member_month,RU,decile_10|из них: денежный доход (уточнение к: Располагаемые ресурсы - всего)
2021-12-31,327.2,rub_per_member_month,RU,decile_10|из них: поступлений из личного подсобного хозяйства (уточнение к: стоимость натуральных поступлений продуктов питания)
2021-12-31,1932.6,rub_per_member_month,RU,decile_10|информация и коммуникация
2021-12-31,3779.9,rub_per_member_month,RU,"decile_10|личная гигиена, социальная защита, прочие товары и услуги"
2021-12-31,3348.1,rub_per_member_month,RU,"decile_10|мебель, бытовая техника и текущее содержание дома"
2021-12-31,436.3,rub_per_member_month,RU,decile_10|образование
2021-12-31,3805.5,rub_per_member_month,RU,decile_10|одежда и обувь
2021-12-31,4825.9,rub_per_member_month,RU,"decile_10|организация отдыха, спортивных и культурных мероприятий"
2021-12-31,271.7,rub_per_member_month,RU,decile_10|полученных подарков и других поступлений
2021-12-31,831.3,rub_per_member_month,RU,decile_10|расходы на алкогольные напитки
2021-12-31,24934.1,rub_per_member_month,RU,decile_10|расходы на непродовольственные товары
2021-12-31,16502.7,rub_per_member_month,RU,decile_10|расходы на оплату услуг
2021-12-31,1391.4,rub_per_member_month,RU,decile_10|стоимость натуральных поступлений
2021-12-31,598.9,rub_per_member_month,RU,decile_10|стоимость натуральных поступлений продуктов питания
2021-12-31,207.1,rub_per_member_month,RU,"decile_10|стоимость услуг, предоставленных работодателем бесплатно или по льготным ценам"
2021-12-31,26270.3,rub_per_member_month,RU,decile_10|сумма привлеченных средств и израсходованных сбережений
2021-12-31,14280.4,rub_per_member_month,RU,decile_10|транспорт
2021-12-31,629.4,rub_per_member_month,RU,"decile_10|финансовые услуги, услуги страхования"
2021-12-31,6400.9,rub_per_member_month,RU,decile_1|Потребительские расходы - всего
2021-12-31,8281.1,rub_per_member_month,RU,decile_1|Располагаемые ресурсы - всего
2021-12-31,6940.9,rub_per_member_month,RU,decile_1|Расходы на потребление - всего
2021-12-31,3598.3,rub_per_member_month,RU,decile_1|Справочно: из общей суммы расходов на потребление: расходы на питание (уточнение к: Потребительские расходы - всего)
2021-12-31,166.3,rub_per_member_month,RU,"decile_1|алкогольная продукция, табачные изделия и наркотики"
2021-12-31,3018.4,rub_per_member_month,RU,decile_1|в том числе: денежные расходы (уточнение к: Расходы на потребление - всего)
2021-12-31,42.7,rub_per_member_month,RU,"decile_1|гостиницы, кафе и рестораны"
2021-12-31,938,rub_per_member_month,RU,"decile_1|жилищные услуги, вода, электроэнергия, газ и другие виды топлива"
2021-12-31,200.4,rub_per_member_month,RU,decile_1|здравоохранение
2021-12-31,3557.8,rub_per_member_month,RU,decile_1|из них на: домашнее питание (уточнение к: Расходы на потребление - всего)
2021-12-31,7675.5,rub_per_member_month,RU,decile_1|из них: денежный доход (уточнение к: Располагаемые ресурсы - всего)
2021-12-31,429.4,rub_per_member_month,RU,decile_1|из них: поступлений из личного подсобного хозяйства (уточнение к: стоимость натуральных поступлений продуктов питания)
2021-12-31,391.6,rub_per_member_month,RU,decile_1|информация и коммуникация
2021-12-31,288.7,rub_per_member_month,RU,"decile_1|личная гигиена, социальная защита, прочие товары и услуги"
2021-12-31,203.6,rub_per_member_month,RU,"decile_1|мебель, бытовая техника и текущее содержание дома"
2021-12-31,82.1,rub_per_member_month,RU,decile_1|образование
2021-12-31,535.7,rub_per_member_month,RU,decile_1|одежда и обувь
2021-12-31,123.5,rub_per_member_month,RU,"decile_1|организация отдыха, спортивных и культурных мероприятий"
2021-12-31,110,rub_per_member_month,RU,decile_1|полученных подарков и других поступлений
2021-12-31,48.7,rub_per_member_month,RU,decile_1|расходы на алкогольные напитки
2021-12-31,1709.6,rub_per_member_month,RU,decile_1|расходы на непродовольственные товары
2021-12-31,1581.5,rub_per_member_month,RU,decile_1|расходы на оплату услуг
2021-12-31,573,rub_per_member_month,RU,decile_1|стоимость натуральных поступлений
2021-12-31,539.4,rub_per_member_month,RU,decile_1|стоимость натуральных поступлений продуктов питания
2021-12-31,2.7,rub_per_member_month,RU,"decile_1|стоимость услуг, предоставленных работодателем бесплатно или по льготным ценам"
2021-12-31,32.6,rub_per_member_month,RU,decile_1|сумма привлеченных средств и израсходованных сбережений
2021-12-31,382.7,rub_per_member_month,RU,decile_1|транспорт
2021-12-31,25.1,rub_per_member_month,RU,"decile_1|финансовые услуги, услуги страхования"
2021-12-31,9230.1,rub_per_member_month,RU,decile_2|Потребительские расходы - всего
2021-12-31,12067.8,rub_per_member_month,RU,decile_2|Располагаемые ресурсы - всего
2021-12-31,9838.1,rub_per_member_month,RU,decile_2|Расходы на потребление - всего
2021-12-31,4753,rub_per_member_month,RU,decile_2|Справочно: из общей суммы расходов на потребление: расходы на питание (уточнение к: Потребительские расходы - всего)
2021-12-31,284.9,rub_per_member_month,RU,"decile_2|алкогольная продукция, табачные изделия и наркотики"
2021-12-31,4075.8,rub_per_member_month,RU,decile_2|в том числе: денежные расходы (уточнение к: Расходы на потребление - всего)
2021-12-31,77,rub_per_member_month,RU,"decile_2|гостиницы, кафе и рестораны"
2021-12-31,1326,rub_per_member_month,RU,"decile_2|жилищные услуги, вода, электроэнергия, газ и другие виды топлива"
2021-12-31,323.4,rub_per_member_month,RU,decile_2|здравоохранение
2021-12-31,4681.8,rub_per_member_month,RU,decile_2|из них на: домашнее питание (уточнение к: Расходы на потребление - всего)
2021-12-31,11340.6,rub_per_member_month,RU,decile_2|из них: денежный доход (уточнение к: Располагаемые ресурсы - всего)
