date,value,unit,region,breakdown
2021-12-31,100,percent_of_spending,RU,decile_10|Потребительские расходы
2021-12-31,2.4,percent_of_spending,RU,"decile_10|алкогольную продукцию, табачные изделия и наркотики"
2021-12-31,1.3,percent_of_spending,RU,decile_10|безалкогольные напитки
2021-12-31,1.4,percent_of_spending,RU,decile_10|бытовая техника
2021-12-31,19.2,percent_of_spending,RU,decile_10|в том числе расходы на: продукты питания и безалкогольные напитки (уточнение к: Потребительские расходы)
2021-12-31,1.5,percent_of_spending,RU,"decile_10|в том числе: алкогольная продукция (уточнение к: алкогольную продукцию, табачные изделия и наркотики)"
2021-12-31,3.1,percent_of_spending,RU,"decile_10|в том числе: мебель, ковры, текстильные изделия для дома (уточнение к: мебель, бытовую технику и текущее содержание дома)"
2021-12-31,1.7,percent_of_spending,RU,"decile_10|в том числе: медикаменты, медицинская и фармацевтическая продукция (уточнение к: здравоохранение)"
2021-12-31,1.7,percent_of_spending,RU,decile_10|в том числе: оборудование для информации и коммуникации (уточнение к: информацию и коммуникацию)
2021-12-31,5.4,percent_of_spending,RU,decile_10|в том числе: одежда (уточнение к: одежду и обувь)
2021-12-31,23.8,percent_of_spending,RU,decile_10|в том числе: покупка и эксплуатация транспортных средств (уточнение к: транспорт)
2021-12-31,5,percent_of_spending,RU,"decile_10|в том числе: текущее содержание, ремонт и обеспечение безопасности жилища (уточнение к: жилищные услуги, воду, электроэнергию, газ и другие виды топлива)"
2021-12-31,2.3,percent_of_spending,RU,"decile_10|в том числе: товары длительного пользования для организации отдыха и культурных мероприятий (уточнение к: организацию отдыха, спортивных и культурных мероприятий)"
2021-12-31,2.2,percent_of_spending,RU,decile_10|в том числе: хлебобулочные изделия и крупы (уточнение к: Потребительские расходы)
2021-12-31,1.8,percent_of_spending,RU,decile_10|водоснабжение и другие коммунальные услуги
2021-12-31,4.5,percent_of_spending,RU,"decile_10|гостиницы, кафе и рестораны"
2021-12-31,1.4,percent_of_spending,RU,decile_10|готовые блюда и другие виды продуктов питания
2021-12-31,9.8,percent_of_spending,RU,"decile_10|жилищные услуги, воду, электроэнергию, газ и другие виды топлива"
2021-12-31,3.6,percent_of_spending,RU,decile_10|здравоохранение
2021-12-31,3.4,percent_of_spending,RU,"decile_10|из них: общественное питание (уточнение к: гостиницы, кафе и рестораны)"
2021-12-31,17.9,percent_of_spending,RU,decile_10|из них: продукты питания (уточнение к: Потребительские расходы)
2021-12-31,1.8,percent_of_spending,RU,decile_10|информационно-коммуникационные услуги
2021-12-31,3.5,percent_of_spending,RU,decile_10|информацию и коммуникацию
2021-12-31,7,percent_of_spending,RU,"decile_10|личную гигиену, социальную защиту, прочие товары и услуги"
2021-12-31,0.7,percent_of_spending,RU,decile_10|масла и жиры
2021-12-31,6.2,percent_of_spending,RU,"decile_10|мебель, бытовую технику и текущее содержание дома"
2021-12-31,1.9,percent_of_spending,RU,decile_10|медицинские услуги
2021-12-31,3.2,percent_of_spending,RU,"decile_10|молоко, молочные продукты, яйца"
2021-12-31,4.3,percent_of_spending,RU,decile_10|мясо и мясные продукты
2021-12-31,0.8,percent_of_spending,RU,decile_10|образование
2021-12-31,1.6,percent_of_spending,RU,decile_10|обувь
2021-12-31,1.8,percent_of_spending,RU,decile_10|овощи
2021-12-31,6.9,percent_of_spending,RU,decile_10|одежду и обувь
2021-12-31,9,percent_of_spending,RU,"decile_10|организацию отдыха, спортивных и культурных мероприятий"
2021-12-31,1.6,percent_of_spending,RU,"decile_10|рыба, морепродукты"
2021-12-31,1.1,percent_of_spending,RU,"decile_10|сахар, джем, мед, шоколад и конфеты"
2021-12-31,0.9,percent_of_spending,RU,decile_10|табачные изделия
2021-12-31,1.7,percent_of_spending,RU,decile_10|товары и услуги для ухода за домом
2021-12-31,26,percent_of_spending,RU,decile_10|транспорт
2021-12-31,2.2,percent_of_spending,RU,"decile_10|транспортные, почтовые и курьерские услуги"
2021-12-31,2,percent_of_spending,RU,decile_10|услуги по организации досуга
2021-12-31,4.7,percent_of_spending,RU,"decile_10|услуги центров отдыха, туризм"
2021-12-31,1.1,percent_of_spending,RU,decile_10|финансовые услуги и услуги страхования
2021-12-31,1.5,percent_of_spending,RU,decile_10|фрукты и орехи
2021-12-31,2.9,percent_of_spending,RU,"decile_10|электроэнергия, газ и другие виды топлива"
2021-12-31,100,percent_of_spending,RU,decile_1|Потребительские расходы
2021-12-31,2.6,percent_of_spending,RU,"decile_1|алкогольную продукцию, табачные изделия и наркотики"
2021-12-31,2.4,percent_of_spending,RU,decile_1|безалкогольные напитки
2021-12-31,0.4,percent_of_spending,RU,decile_1|бытовая техника
2021-12-31,47.5,percent_of_spending,RU,decile_1|в том числе расходы на: продукты питания и безалкогольные напитки (уточнение к: Потребительские расходы)
2021-12-31,0.7,percent_of_spending,RU,"decile_1|в том числе: алкогольная продукция (уточнение к: алкогольную продукцию, табачные изделия и наркотики)"
2021-12-31,0.9,percent_of_spending,RU,"decile_1|в том числе: мебель, ковры, текстильные изделия для дома (уточнение к: мебель, бытовую технику и текущее содержание дома)"
2021-12-31,2.8,percent_of_spending,RU,"decile_1|в том числе: медикаменты, медицинская и фармацевтическая продукция (уточнение к: здравоохранение)"
2021-12-31,0.5,percent_of_spending,RU,decile_1|в том числе: оборудование для информации и коммуникации (уточнение к: информацию и коммуникацию)
2021-12-31,6.1,percent_of_spending,RU,decile_1|в том числе: одежда (уточнение к: одежду и обувь)
2021-12-31,4.7,percent_of_spending,RU,decile_1|в том числе: покупка и эксплуатация транспортных средств (уточнение к: транспорт)
2021-12-31,1.2,percent_of_spending,RU,"decile_1|в том числе: текущее содержание, ремонт и обеспечение безопасности жилища (уточнение к: жилищные услуги, воду, электроэнергию, газ и другие виды топлива)"
2021-12-31,1.5,percent_of_spending,RU,"decile_1|в том числе: товары длительного пользования для организации отдыха и культурных мероприятий (уточнение к: организацию отдыха, спортивных и культурных мероприятий)"
2021-12-31,7.8,percent_of_spending,RU,decile_1|в том числе: хлебобулочные изделия и крупы (уточнение к: Потребительские расходы)
2021-12-31,4.4,percent_of_spending,RU,decile_1|водоснабжение и другие коммунальные услуги
2021-12-31,0.7,percent_of_spending,RU,"decile_1|гостиницы, кафе и рестораны"
2021-12-31,3,percent_of_spending,RU,decile_1|готовые блюда и другие виды продуктов питания
2021-12-31,14.7,percent_of_spending,RU,"decile_1|жилищные услуги, воду, электроэнергию, газ и другие виды топлива"
2021-12-31,3.1,percent_of_spending,RU,decile_1|здравоохранение
2021-12-31,0.6,percent_of_spending,RU,"decile_1|из них: общественное питание (уточнение к: гостиницы, кафе и рестораны)"
2021-12-31,45.1,percent_of_spending,RU,decile_1|из них: продукты питания (уточнение к: Потребительские расходы)
2021-12-31,5.6,percent_of_spending,RU,decile_1|информационно-коммуникационные услуги
2021-12-31,6.1,percent_of_spending,RU,decile_1|информацию и коммуникацию
2021-12-31,4.5,percent_of_spending,RU,"decile_1|личную гигиену, социальную защиту, прочие товары и услуги"
2021-12-31,2.2,percent_of_spending,RU,decile_1|масла и жиры
2021-12-31,3.2,percent_of_spending,RU,"decile_1|мебель, бытовую технику и текущее содержание дома"
2021-12-31,0.3,percent_of_spending,RU,decile_1|медицинские услуги
2021-12-31,7.6,percent_of_spending,RU,"decile_1|молоко, молочные продукты, яйца"
2021-12-31,12.1,percent_of_spending,RU,decile_1|мясо и мясные продукты
2021-12-31,1.3,percent_of_spending,RU,decile_1|образование
2021-12-31,2.2,percent_of_spending,RU,decile_1|обувь
2021-12-31,3.7,percent_of_spending,RU,decile_1|овощи
2021-12-31,8.3,percent_of_spending,RU,decile_1|одежду и обувь
2021-12-31,1.9,percent_of_spending,RU,"decile_1|организацию отдыха, спортивных и культурных мероприятий"
2021-12-31,2.5,percent_of_spending,RU,"decile_1|рыба, морепродукты"
2021-12-31,3.2,percent_of_spending,RU,"decile_1|сахар, джем, мед, шоколад и конфеты"
2021-12-31,1.8,percent_of_spending,RU,decile_1|табачные изделия
2021-12-31,1.8,percent_of_spending,RU,decile_1|товары и услуги для ухода за домом
2021-12-31,6,percent_of_spending,RU,decile_1|транспорт
2021-12-31,1.3,percent_of_spending,RU,"decile_1|транспортные, почтовые и курьерские услуги"
2021-12-31,0.3,percent_of_spending,RU,decile_1|услуги по организации досуга
2021-12-31,0,percent_of_spending,RU,"decile_1|услуги центров отдыха, туризм"
2021-12-31,0.4,percent_of_spending,RU,decile_1|финансовые услуги и услуги страхования
2021-12-31,3.2,percent_of_spending,RU,decile_1|фрукты и орехи
2021-12-31,9.1,percent_of_spending,RU,"decile_1|электроэнергия, газ и другие виды топлива"
2021-12-31,100,percent_of_spending,RU,decile_2|Потребительские расходы
2021-12-31,3.1,percent_of_spending,RU,"decile_2|алкогольную продукцию, табачные изделия и наркотики"
2021-12-31,2.3,percent_of_spending,RU,decile_2|безалкогольные напитки
2021-12-31,0.6,percent_of_spending,RU,decile_2|бытовая техника
2021-12-31,44.5,percent_of_spending,RU,decile_2|в том числе расходы на: продукты питания и безалкогольные напитки (уточнение к: Потребительские расходы)
