date,value,unit,region,breakdown
1926-01-01,92681,thousand_people,RU,total|all
1939-01-01,108377,thousand_people,RU,total|all
1959-01-01,117534,thousand_people,RU,total|all
1970-01-01,129941,thousand_people,RU,total|all
1979-01-01,137410,thousand_people,RU,total|all
1989-01-01,147022,thousand_people,RU,total|all
2002-01-01,145167,thousand_people,RU,total|all
2004-01-01,144134,thousand_people,RU,total|all
2005-01-01,143801,thousand_people,RU,total|all
2006-01-01,143236,thousand_people,RU,total|all
2007-01-01,142863,thousand_people,RU,total|all
2008-01-01,142748,thousand_people,RU,total|all
2009-01-01,142737,thousand_people,RU,total|all
2010-01-01,142857,thousand_people,RU,total|all
2011-01-01,142865,thousand_people,RU,total|all
2012-01-01,143056,thousand_people,RU,total|all
2013-01-01,143347,thousand_people,RU,total|all
2014-01-01,143667,thousand_people,RU,total|all
2015-01-01,146267,thousand_people,RU,total|all
2016-01-01,146545,thousand_people,RU,total|all
2017-01-01,146804,thousand_people,RU,total|all
2018-01-01,146880,thousand_people,RU,total|all
2019-01-01,146781,thousand_people,RU,total|all
2020-01-01,146749,thousand_people,RU,total|all
2021-01-01,146171,thousand_people,RU,total|all
1926-01-01,14114,thousand_people,RU,total|0 – 4
1939-01-01,13806,thousand_people,RU,total|0 – 4
1959-01-01,13353,thousand_people,RU,total|0 – 4
1970-01-01,9326,thousand_people,RU,total|0 – 4
1979-01-01,10523,thousand_people,RU,total|0 – 4
1989-01-01,12032,thousand_people,RU,total|0 – 4
2002-01-01,6399,thousand_people,RU,total|0 – 4
2004-01-01,6660,thousand_people,RU,total|0 – 4
2005-01-01,6916,thousand_people,RU,total|0 – 4
2006-01-01,7066,thousand_people,RU,total|0 – 4
2007-01-01,7234,thousand_people,RU,total|0 – 4
2008-01-01,7433,thousand_people,RU,total|0 – 4
2009-01-01,7671,thousand_people,RU,total|0 – 4
2010-01-01,7968,thousand_people,RU,total|0 – 4
2011-01-01,8051,thousand_people,RU,total|0 – 4
2012-01-01,8380,thousand_people,RU,total|0 – 4
2013-01-01,8687,thousand_people,RU,total|0 – 4
2014-01-01,8899,thousand_people,RU,total|0 – 4
2015-01-01,9262,thousand_people,RU,total|0 – 4
2016-01-01,9512,thousand_people,RU,total|0 – 4
2017-01-01,9582,thousand_people,RU,total|0 – 4
2018-01-01,9347,thousand_people,RU,total|0 – 4
2019-01-01,9032,thousand_people,RU,total|0 – 4
2020-01-01,8579,thousand_people,RU,total|0 – 4
2021-01-01,8080,thousand_people,RU,total|0 – 4
1926-01-01,9420,thousand_people,RU,total|5 – 9
1939-01-01,11735,thousand_people,RU,total|5 – 9
1959-01-01,12415,thousand_people,RU,total|5 – 9
1970-01-01,11975,thousand_people,RU,total|5 – 9
1979-01-01,9707,thousand_people,RU,total|5 – 9
1989-01-01,11360,thousand_people,RU,total|5 – 9
2002-01-01,6941,thousand_people,RU,total|5 – 9
2004-01-01,6762,thousand_people,RU,total|5 – 9
2005-01-01,6583,thousand_people,RU,total|5 – 9
2006-01-01,6511,thousand_people,RU,total|5 – 9
2007-01-01,6503,thousand_people,RU,total|5 – 9
2008-01-01,6638,thousand_people,RU,total|5 – 9
2009-01-01,6783,thousand_people,RU,total|5 – 9
2010-01-01,7091,thousand_people,RU,total|5 – 9
2011-01-01,7117,thousand_people,RU,total|5 – 9
2012-01-01,7261,thousand_people,RU,total|5 – 9
2013-01-01,7441,thousand_people,RU,total|5 – 9
2014-01-01,7662,thousand_people,RU,total|5 – 9
2015-01-01,8004,thousand_people,RU,total|5 – 9
2016-01-01,8218,thousand_people,RU,total|5 – 9
2017-01-01,8558,thousand_people,RU,total|5 – 9
2018-01-01,8873,thousand_people,RU,total|5 – 9
2019-01-01,9085,thousand_people,RU,total|5 – 9
2020-01-01,9309,thousand_people,RU,total|5 – 9
2021-01-01,9551,thousand_people,RU,total|5 – 9
1926-01-01,10994,thousand_people,RU,total|10 – 14
1939-01-01,14158,thousand_people,RU,total|10 – 14
1959-01-01,8501,thousand_people,RU,total|10 – 14
1970-01-01,13202,thousand_people,RU,total|10 – 14
1979-01-01,9512,thousand_people,RU,total|10 – 14
1989-01-01,10592,thousand_people,RU,total|10 – 14
2002-01-01,10406,thousand_people,RU,total|10 – 14
2004-01-01,9314,thousand_people,RU,total|10 – 14
2005-01-01,8604,thousand_people,RU,total|10 – 14
2006-01-01,7940,thousand_people,RU,total|10 – 14
2007-01-01,7458,thousand_people,RU,total|10 – 14
2008-01-01,7056,thousand_people,RU,total|10 – 14
2009-01-01,6891,thousand_people,RU,total|10 – 14
2010-01-01,6610,thousand_people,RU,total|10 – 14
2011-01-01,6601,thousand_people,RU,total|10 – 14
2012-01-01,6567,thousand_people,RU,total|10 – 14
2013-01-01,6689,thousand_people,RU,total|10 – 14
2014-01-01,6823,thousand_people,RU,total|10 – 14
2015-01-01,7126,thousand_people,RU,total|10 – 14
2016-01-01,7254,thousand_people,RU,total|10 – 14
2017-01-01,7408,thousand_people,RU,total|10 – 14
2018-01-01,7598,thousand_people,RU,total|10 – 14
2019-01-01,7825,thousand_people,RU,total|10 – 14
2020-01-01,8049,thousand_people,RU,total|10 – 14
2021-01-01,8257,thousand_people,RU,total|10 – 14
1926-01-01,10947,thousand_people,RU,total|15 – 19
1939-01-01,9495,thousand_people,RU,total|15 – 19
1959-01-01,8975,thousand_people,RU,total|15 – 19
1970-01-01,12291,thousand_people,RU,total|15 – 19
1979-01-01,12385,thousand_people,RU,total|15 – 19
