date,value,unit,region,breakdown
2000-03-31,1138,rub_per_month,RU,all
2000-03-31,1161,rub_per_month,RU,children
2000-03-31,851,rub_per_month,RU,pensioners
2000-03-31,1232,rub_per_month,RU,working_age
2000-06-30,1185,rub_per_month,RU,all
2000-06-30,1182,rub_per_month,RU,children
2000-06-30,894,rub_per_month,RU,pensioners
2000-06-30,1290,rub_per_month,RU,working_age
2000-09-30,1234,rub_per_month,RU,all
2000-09-30,1218,rub_per_month,RU,children
2000-09-30,930,rub_per_month,RU,pensioners
2000-09-30,1350,rub_per_month,RU,working_age
2000-12-31,1285,rub_per_month,RU,all
2000-12-31,1272,rub_per_month,RU,children
2000-12-31,962,rub_per_month,RU,pensioners
2000-12-31,1406,rub_per_month,RU,working_age
2001-03-31,1396,rub_per_month,RU,all
2001-03-31,1405,rub_per_month,RU,children
2001-03-31,1064,rub_per_month,RU,pensioners
2001-03-31,1513,rub_per_month,RU,working_age
2001-06-30,1507,rub_per_month,RU,all
2001-06-30,1507,rub_per_month,RU,children
2001-06-30,1153,rub_per_month,RU,pensioners
2001-06-30,1635,rub_per_month,RU,working_age
2001-09-30,1524,rub_per_month,RU,all
2001-09-30,1514,rub_per_month,RU,children
2001-09-30,1163,rub_per_month,RU,pensioners
2001-09-30,1658,rub_per_month,RU,working_age
2001-12-31,1574,rub_per_month,RU,all
2001-12-31,1570,rub_per_month,RU,children
2001-12-31,1197,rub_per_month,RU,pensioners
2001-12-31,1711,rub_per_month,RU,working_age
2002-03-31,1719,rub_per_month,RU,all
2002-03-31,1722,rub_per_month,RU,children
2002-03-31,1313,rub_per_month,RU,pensioners
2002-03-31,1865,rub_per_month,RU,working_age
2002-06-30,1804,rub_per_month,RU,all
2002-06-30,1795,rub_per_month,RU,children
2002-06-30,1383,rub_per_month,RU,pensioners
2002-06-30,1960,rub_per_month,RU,working_age
2002-09-30,1817,rub_per_month,RU,all
2002-09-30,1799,rub_per_month,RU,children
2002-09-30,1387,rub_per_month,RU,pensioners
2002-09-30,1980,rub_per_month,RU,working_age
2002-12-31,1893,rub_per_month,RU,all
2002-12-31,1880,rub_per_month,RU,children
2002-12-31,1432,rub_per_month,RU,pensioners
2002-12-31,2065,rub_per_month,RU,working_age
2003-03-31,2047,rub_per_month,RU,all
2003-03-31,2039,rub_per_month,RU,children
2003-03-31,1554,rub_per_month,RU,pensioners
2003-03-31,2228,rub_per_month,RU,working_age
2003-06-30,2137,rub_per_month,RU,all
2003-06-30,2119,rub_per_month,RU,children
2003-06-30,1629,rub_per_month,RU,pensioners
2003-06-30,2328,rub_per_month,RU,working_age
2003-09-30,2121,rub_per_month,RU,all
2003-09-30,2089,rub_per_month,RU,children
2003-09-30,1612,rub_per_month,RU,pensioners
2003-09-30,2318,rub_per_month,RU,working_age
2003-12-31,2143,rub_per_month,RU,all
2003-12-31,2113,rub_per_month,RU,children
2003-12-31,1625,rub_per_month,RU,pensioners
2003-12-31,2341,rub_per_month,RU,working_age
2004-03-31,2293,rub_per_month,RU,all
2004-03-31,2259,rub_per_month,RU,children
2004-03-31,1747,rub_per_month,RU,pensioners
2004-03-31,2502,rub_per_month,RU,working_age
2004-06-30,2363,rub_per_month,RU,all
2004-06-30,2313,rub_per_month,RU,children
2004-06-30,1793,rub_per_month,RU,pensioners
2004-06-30,2588,rub_per_month,RU,working_age
2004-09-30,2396,rub_per_month,RU,all
2004-09-30,2336,rub_per_month,RU,children
2004-09-30,1816,rub_per_month,RU,pensioners
2004-09-30,2629,rub_per_month,RU,working_age
2004-12-31,2451,rub_per_month,RU,all
2004-12-31,2394,rub_per_month,RU,children
2004-12-31,1849,rub_per_month,RU,pensioners
2004-12-31,2690,rub_per_month,RU,working_age
2005-03-31,2910,rub_per_month,RU,all
2005-03-31,2795,rub_per_month,RU,children
2005-03-31,2332,rub_per_month,RU,pensioners
2005-03-31,3138,rub_per_month,RU,working_age
2005-06-30,3053,rub_per_month,RU,all
2005-06-30,2937,rub_per_month,RU,children
2005-06-30,2449,rub_per_month,RU,pensioners
2005-06-30,3290,rub_per_month,RU,working_age
2005-09-30,3047,rub_per_month,RU,all
2005-09-30,2921,rub_per_month,RU,children
2005-09-30,2440,rub_per_month,RU,pensioners
2005-09-30,3288,rub_per_month,RU,working_age
2005-12-31,3060,rub_per_month,RU,all
2005-12-31,2931,rub_per_month,RU,children
2005-12-31,2450,rub_per_month,RU,pensioners
2005-12-31,3302,rub_per_month,RU,working_age
2006-03-31,3374,rub_per_month,RU,all
2006-03-31,3234,rub_per_month,RU,children
2006-03-31,2703,rub_per_month,RU,pensioners
2006-03-31,3640,rub_per_month,RU,working_age
2006-06-30,3443,rub_per_month,RU,all
