id,status,dom,res,debt,goal,inv,lump
SP-00000,deficit,none,0,0,0,0,0
SP-00001,ok,reserve,5177,0,0,0,0
SP-00002,ok,goals+,0,0,1894,0,246637
SP-00003,ok,debt,0,43025,0,0,41188
SP-00004,ok,reserve,10301,0,0,0,0
SP-00005,ok,reserve,824,0,0,0,0
SP-00006,deficit,none,0,0,0,0,0
SP-00007,ok,goals+,0,0,19134,0,241682
SP-00008,ok,debt,0,3680,0,0,0
SP-00009,deficit,none,0,0,0,0,0
SP-00010,ok,debt,0,13752,0,0,0
SP-00011,ok,reserve,4418,0,0,0,0
SP-00012,deficit,none,0,0,0,0,0
SP-00013,ok,reserve,25827,0,0,0,0
SP-00014,ok,debt,0,695,0,0,0
SP-00015,ok,reserve,3154,0,0,0,0
SP-00016,ok,debt,0,8804,0,0,0
SP-00017,ok,debt,0,1548,0,0,0
SP-00018,ok,reserve,5255,0,0,0,0
SP-00019,ok,reserve,5858,0,0,0,0
SP-00020,ok,debt,0,14625,0,0,0
SP-00021,ok,goals+,0,0,1995,0,3367760
SP-00022,ok,reserve,11153,0,0,0,0
SP-00023,ok,debt,0,5367,0,0,0
SP-00024,ok,reserve,11349,0,0,0,0
SP-00025,ok,goals+,0,0,0,38471,34922
SP-00026,ok,goals+,0,0,0,31967,40682
SP-00027,ok,reserve,7464,0,0,0,0
SP-00028,ok,debt,0,19761,0,0,0
SP-00029,ok,reserve,38739,0,0,1764,0
SP-00030,ok,reserve,3183,0,0,0,0
SP-00031,deficit,none,0,0,0,0,0
SP-00032,ok,reserve,21146,0,0,0,0
SP-00033,ok,reserve,5108,0,0,0,0
SP-00034,ok,reserve,10045,0,0,0,0
SP-00035,ok,reserve,24256,0,0,0,0
SP-00036,ok,goals+,0,0,65,23,92
SP-00037,ok,reserve,16598,0,0,0,0
SP-00038,ok,reserve,55322,0,0,0,0
SP-00039,ok,debt,0,1013634623,0,0,0
SP-00040,deficit,none,0,0,0,0,0
SP-00041,ok,debt,0,28841,0,0,0
SP-00042,deficit,none,0,0,0,0,0
SP-00043,ok,reserve,22814,0,0,0,0
SP-00044,ok,goals+,0,0,494,12489,39845
SP-00045,ok,debt,0,68852,0,0,209983
SP-00046,ok,reserve,6937,0,0,0,0
SP-00047,ok,reserve,3724,0,0,0,0
SP-00048,deficit,none,0,0,0,0,0
SP-00049,ok,reserve,10426,0,0,0,0
SP-00050,ok,reserve,6984,0,0,0,0
SP-00051,ok,debt,0,9622,0,0,0
SP-00052,ok,debt,0,9267,0,0,0
SP-00053,ok,reserve,24470,0,0,0,0
SP-00054,deficit,none,0,0,0,0,0
SP-00055,ok,reserve,12712,0,0,0,0
SP-00056,ok,debt,0,3141,0,0,0
SP-00057,ok,reserve,16899,0,0,0,0
SP-00058,ok,reserve,2386,0,0,0,0
SP-00059,ok,reserve,8065,0,0,0,0
SP-00060,ok,reserve,13066,0,0,0,0
SP-00061,ok,reserve,9499,0,0,0,0
SP-00062,ok,debt,9600,11932,0,0,0
SP-00063,ok,goals+,0,0,33760,73012,5033851
SP-00064,ok,debt,0,17516,0,0,79259
SP-00065,ok,goals+,0,0,6557,0,22253
SP-00066,ok,goals+,0,0,94318,0,147991
SP-00067,ok,reserve,26133,0,0,0,0
SP-00068,ok,debt,10468,15765,0,0,0
SP-00069,ok,reserve,3195,0,0,0,0
SP-00070,ok,reserve,28467,0,0,0,0
SP-00071,ok,reserve,18784,0,0,0,0
SP-00072,deficit,none,0,0,0,0,0
SP-00073,ok,debt,0,11631,0,0,0
SP-00074,ok,reserve,2411,0,0,0,0
SP-00075,ok,debt,0,400,0,0,114691
SP-00076,ok,reserve,28542,0,0,0,0
SP-00077,ok,reserve,1476,0,0,0,0
SP-00078,ok,goals+,0,0,11,28,648
SP-00079,ok,reserve,86197,0,0,0,0
SP-00080,ok,debt,0,55225,0,0,0
SP-00081,ok,reserve,1158358418,0,0,0,0
SP-00082,ok,debt,0,16865,0,0,0
SP-00083,ok,reserve,12764,0,0,0,0
SP-00084,deficit,none,0,0,0,0,0
SP-00085,ok,reserve,6426,0,0,0,0
SP-00086,ok,reserve,7253,0,0,0,0
SP-00087,ok,debt,0,39095,0,0,0
SP-00088,ok,reserve,12435,0,0,0,0
SP-00089,ok,reserve,18062,204,0,0,0
SP-00090,deficit,none,0,0,0,0,0
SP-00091,deficit,none,0,0,0,0,0
SP-00092,ok,debt,0,9515,0,0,15050
SP-00093,deficit,none,0,0,0,0,0
SP-00094,deficit,none,0,0,0,0,0
SP-00095,ok,reserve,4644,0,0,0,0
SP-00096,deficit,none,0,0,0,0,0
SP-00097,ok,debt,0,35726,0,0,0
SP-00098,deficit,none,0,0,0,0,0
SP-00099,ok,reserve,13716,0,0,0,0
SP-00100,ok,goals+,0,0,2246,0,174850
SP-00101,ok,debt,0,1145,0,0,0
SP-00102,ok,reserve,14062,0,0,0,0
SP-00103,ok,debt,0,6357,0,0,0
SP-00104,ok,debt,0,18073,0,0,0
SP-00105,ok,debt,0,251,0,0,860843
