id,status,dom,res,debt,goal,inv,lump
SP-00000,deficit,none,0,0,0,0,0
SP-00001,ok,reserve,5177,0,0,0,0
SP-00002,ok,goals+,0,0,1894,0,246636
SP-00003,ok,debt,0,34420,8605,0,59724
SP-00004,ok,reserve,10301,0,0,0,0
SP-00005,ok,reserve,824,0,0,0,0
SP-00006,deficit,none,0,0,0,0,0
SP-00007,ok,goals+,0,0,19134,0,282878
SP-00008,ok,reserve,3680,0,0,0,0
SP-00009,deficit,none,0,0,0,0,0
SP-00010,ok,debt,5501,8251,0,0,0
SP-00011,ok,reserve,4418,0,0,0,0
SP-00012,deficit,none,0,0,0,0,0
SP-00013,ok,reserve,25827,0,0,0,0
SP-00014,ok,debt,278,417,0,0,0
SP-00015,ok,reserve,2208,946,0,0,0
SP-00016,ok,debt,3521,5282,0,0,0
SP-00017,ok,debt,619,928,0,0,0
SP-00018,ok,reserve,3679,1576,0,0,0
SP-00019,ok,reserve,5858,0,0,0,0
SP-00020,ok,debt,5850,8775,0,0,0
SP-00021,ok,goals+,0,0,1995,0,3433675
SP-00022,ok,reserve,11153,0,0,0,0
SP-00023,ok,debt,2146,3220,0,0,0
SP-00024,ok,reserve,11349,0,0,0,0
SP-00025,ok,goals+,0,0,0,38471,34921
SP-00026,ok,goals+,0,0,15983,15983,40681
SP-00027,ok,reserve,7464,0,0,0,0
SP-00028,ok,debt,7904,11857,0,0,0
SP-00029,ok,goals+,0,0,0,40503,73968
SP-00030,ok,reserve,3183,0,0,0,0
SP-00031,deficit,none,0,0,0,0,0
SP-00032,ok,reserve,21146,0,0,0,0
SP-00033,ok,reserve,5108,0,0,0,0
SP-00034,ok,reserve,7031,3013,0,0,0
SP-00035,ok,reserve,24256,0,0,0,0
SP-00036,ok,goals+,0,0,61,27,92
SP-00037,ok,goals+,6639,0,9959,0,0
SP-00038,ok,reserve,55322,0,0,0,0
SP-00039,ok,debt,405453849,608180774,0,0,0
SP-00040,deficit,none,0,0,0,0,0
SP-00041,ok,debt,11536,17305,0,0,0
SP-00042,deficit,none,0,0,0,0,0
SP-00043,ok,reserve,22814,0,0,0,0
SP-00044,ok,goals+,0,0,6738,6244,39845
SP-00045,ok,debt,0,55082,13770,0,231224
SP-00046,ok,reserve,6937,0,0,0,0
SP-00047,ok,goals+,1489,0,0,2234,0
SP-00048,deficit,none,0,0,0,0,0
SP-00049,ok,reserve,7298,3128,0,0,0
SP-00050,ok,reserve,4889,2095,0,0,0
SP-00051,ok,debt,3849,5773,0,0,0
SP-00052,ok,debt,3706,5560,0,0,0
SP-00053,ok,reserve,24470,0,0,0,0
SP-00054,deficit,none,0,0,0,0,0
SP-00055,ok,reserve,12712,0,0,0,0
SP-00056,ok,debt,942,2199,0,0,0
SP-00057,ok,goals+,0,0,0,16899,33224
SP-00058,ok,reserve,1670,716,0,0,0
SP-00059,ok,reserve,8065,0,0,0,0
SP-00060,ok,reserve,13066,0,0,0,0
SP-00061,ok,reserve,6649,2849,0,0,0
SP-00062,ok,reserve,15073,6459,0,0,0
SP-00063,ok,goals+,0,0,70080,36692,5133608
SP-00064,ok,debt,0,14013,3503,0,204879
SP-00065,ok,goals+,0,0,6557,0,72356
SP-00066,ok,goals+,0,0,94318,0,147990
SP-00067,ok,goals+,10453,0,15679,0,0
SP-00068,ok,reserve,18363,7870,0,0,0
SP-00069,ok,reserve,2236,958,0,0,0
SP-00070,ok,reserve,28467,0,0,0,0
SP-00071,ok,reserve,18784,0,0,0,0
SP-00072,deficit,none,0,0,0,0,0
SP-00073,ok,debt,4652,6978,0,0,0
SP-00074,ok,reserve,1688,723,0,0,0
SP-00075,ok,debt,0,320,80,0,114691
SP-00076,ok,goals+,11416,0,0,17125,0
SP-00077,ok,reserve,1476,0,0,0,0
SP-00078,ok,goals+,0,0,10,28,684
SP-00079,ok,reserve,86197,0,0,0,0
SP-00080,ok,debt,22090,33135,0,0,0
SP-00081,ok,reserve,1158358418,0,0,0,0
SP-00082,ok,debt,6746,10119,0,0,0
SP-00083,ok,reserve,12764,0,0,0,0
SP-00084,deficit,none,0,0,0,0,0
SP-00085,ok,reserve,6426,0,0,0,0
SP-00086,ok,reserve,5077,2176,0,0,0
SP-00087,ok,debt,15638,23457,0,0,0
SP-00088,ok,reserve,8704,3730,0,0,0
SP-00089,ok,reserve,12786,5479,0,0,0
SP-00090,deficit,none,0,0,0,0,0
SP-00091,deficit,none,0,0,0,0,0
SP-00092,ok,debt,0,7612,1903,0,39935
SP-00093,deficit,none,0,0,0,0,0
SP-00094,deficit,none,0,0,0,0,0
SP-00095,ok,reserve,3251,1393,0,0,0
SP-00096,deficit,none,0,0,0,0,0
SP-00097,ok,debt,14290,21435,0,0,0
SP-00098,deficit,none,0,0,0,0,0
SP-00099,ok,reserve,9601,4114,0,0,0
SP-00100,ok,goals+,0,0,2246,0,174849
SP-00101,ok,debt,458,687,0,0,0
SP-00102,ok,reserve,14062,0,0,0,0
SP-00103,ok,debt,2543,3814,0,0,0
SP-00104,ok,debt,7229,10844,0,0,0
