row_index,id,ref_status,cand_status,ref_dom,cand_dom,d_res,d_debt,d_goal,d_inv,d_lump,total_abs_diff,fcf,risk,pdn
353,SP3-00353,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,32774.95,1,0.0
1028,SP3-01028,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,17375.01000000001,1,0.0498
1465,SP3-01465,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,18643.289999999994,2,0.3436
1527,SP3-01527,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,63297.98000000001,3,0.0
1718,SP3-01718,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,13417.479999999981,1,0.2331
2466,SP3-02466,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,36421.15,4,0.0
2785,SP3-02785,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,1008.609999999997,1,0.1114
2962,SP3-02962,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,2835.0199999999986,3,0.0943
2983,SP3-02983,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,5872.540000000001,3,0.0
3104,SP3-03104,ok,deficit,debt,debt,0.0,0.0,0.0,0.0,0.0,0.0,23497.56,3,0.2711
3115,SP3-03115,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,96686.54999999999,1,0.0
3866,SP3-03866,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,9997.460000000003,4,0.1022
3891,SP3-03891,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,5862.98,5,0.0
4386,SP3-04386,ok,deficit,debt,debt,0.0,0.0,0.0,0.0,0.0,0.0,9081.02,3,0.3197
4645,SP3-04645,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,1478.2999999999984,2,0.0371
4758,SP3-04758,ok,deficit,reserve,reserve,0.0,0.0,0.0,0.0,0.0,0.0,155015.87,4,0.6207
5451,SP3-05451,ok,deficit,goals+,goals+,0.0,0.0,0.0,0.0,0.0,0.0,443628.43999999994,2,0.1597
5556,SP3-05556,ok,deficit,debt,debt,0.0,0.0,0.0,0.0,0.0,0.0,25153.98000000001,4,0.38
