id,status,dom,res,debt,goal,inv,lump
SP3-00000,deficit,none,0,0,0,0,415458
SP3-00001,ok,debt,1272,3310,0,509,71550
SP3-00002,deficit,none,0,0,0,0,655342
SP3-00003,deficit,none,0,0,0,0,64526
SP3-00004,ok,goals+,0,0,1787,7724,90042
SP3-00005,ok,goals+,0,0,1828,0,3001287
SP3-00006,deficit,none,0,0,0,0,3784337
SP3-00007,ok,goals+,0,0,8016,28438,208956
SP3-00008,ok,debt,0,156,0,67,185095
SP3-00009,deficit,none,0,0,0,0,74180
SP3-00010,ok,goals+,0,0,147585,348359,2549603
SP3-00011,ok,debt,1331,3462,532,0,46575
SP3-00012,deficit,none,0,0,0,0,1718552
SP3-00013,ok,debt,1960,2206,735,0,0
SP3-00014,ok,debt,10951,28476,4380,0,0
SP3-00015,deficit,none,0,0,0,0,0
SP3-00016,ok,debt,1425,3708,152,418,88144
SP3-00017,ok,goals+,0,0,14577,6007,1356833
SP3-00018,deficit,none,0,0,0,0,322713
SP3-00019,ok,goals+,0,0,4545,5467,54035
SP3-00020,ok,debt,2532,6585,1012,0,0
SP3-00021,deficit,none,0,0,0,0,0
SP3-00022,ok,goals+,0,0,3586,5094,254131
SP3-00023,ok,reserve,20284,0,13522,0,0
SP3-00024,ok,debt,11425,29708,4570,0,0
SP3-00025,ok,debt,12952,33677,5181,0,19666
SP3-00026,deficit,none,0,0,0,0,122827
SP3-00027,ok,debt,840,946,0,315,30049
SP3-00028,ok,debt,2029,5276,811,0,0
SP3-00029,ok,reserve,5358,0,3572,0,0
SP3-00030,deficit,none,0,0,0,0,2153768
SP3-00031,deficit,none,0,0,0,0,6606049
SP3-00032,ok,reserve,61,0,41,0,0
SP3-00033,deficit,none,0,0,0,0,2543543
SP3-00034,ok,debt,632,1644,252,0,0
SP3-00035,deficit,none,0,0,0,0,0
SP3-00036,ok,reserve,17686,0,0,11790,0
SP3-00037,deficit,none,0,0,0,0,0
SP3-00038,deficit,none,0,0,0,0,0
SP3-00039,ok,debt,1349,3508,0,539,34416
SP3-00040,deficit,none,0,0,0,0,0
SP3-00041,deficit,none,0,0,0,0,6914632
SP3-00042,ok,debt,2441,6347,976,0,287622
SP3-00043,ok,debt,637,1658,254,0,103315
SP3-00044,ok,goals+,0,0,46688,0,78102
SP3-00045,ok,debt,2694,7006,340,737,0
SP3-00046,ok,debt,370,963,148,0,0
SP3-00047,ok,reserve,33208,0,21671,465,0
SP3-00048,deficit,none,0,0,0,0,95742
SP3-00049,deficit,none,0,0,0,0,77896
SP3-00050,ok,debt,3005,7814,0,1202,0
SP3-00051,deficit,none,0,0,0,0,426349
SP3-00052,deficit,none,0,0,0,0,121616
SP3-00053,ok,goals+,0,0,14483,80694,1574995
SP3-00054,ok,debt,135,353,54,0,0
SP3-00055,ok,goals+,0,0,67473,290348,2831910
SP3-00056,ok,reserve,53554,0,27812,7889,0
SP3-00057,ok,debt,3347,8704,0,1339,0
SP3-00058,deficit,none,0,0,0,0,5313403
SP3-00059,ok,debt,22563,58665,9025,0,1801571
SP3-00060,ok,goals+,0,0,6155,0,0
SP3-00061,ok,reserve,21716,0,2489,11986,0
SP3-00062,ok,goals+,0,0,0,45643,1978776
SP3-00063,ok,goals+,0,0,0,2789,416920
SP3-00064,deficit,none,0,0,0,0,0
