id,status,dom,res,debt,goal,inv,lump,confidence
SP5-00000,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00001,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00002,ok,debt,4625.38,10792.54,0.00,0.00,13214.89,3
SP5-00003,ok,reserve,9258.28,0.00,3967.84,0.00,0.00,4
SP5-00004,ok,debt,7727.74,18031.39,0.00,0.00,0.00,4
SP5-00005,ok,debt,119888.06,279738.81,0.00,0.00,3689256.76,3
SP5-00006,deficit,none,0.00,0.00,0.00,0.00,1362621.86,3
SP5-00007,ok,goals+,0.00,0.00,2605.80,0.00,0.00,5
SP5-00008,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00009,ok,debt,2783.61,6495.09,0.00,0.00,9262.73,3
SP5-00010,ok,reserve,1741.94,746.54,0.00,0.00,0.00,4
SP5-00011,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00012,ok,goals+,19585.26,0.00,29377.89,0.00,0.00,4
SP5-00013,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00014,ok,debt,1162.76,1162.77,0.00,0.00,0.00,3
SP5-00015,ok,debt,37152.47,37152.48,0.00,0.00,300497.06,3
SP5-00016,deficit,none,0.00,0.00,0.00,0.00,17857.01,3
SP5-00017,ok,goals+,0.00,0.00,16248.46,2881.29,0.00,5
SP5-00018,deficit,none,0.00,0.00,0.00,0.00,41746.24,4
SP5-00019,deficit,none,0.00,0.00,0.00,0.00,4836880.19,5
SP5-00020,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00021,ok,debt,4808.61,4808.62,0.00,0.00,0.00,4
SP5-00022,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00023,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00024,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00025,deficit,none,0.00,0.00,0.00,0.00,0.00,3
SP5-00026,ok,goals+,0.00,0.00,16211.92,1491.08,32279.53,5
SP5-00027,ok,reserve,17818.17,7636.36,0.00,0.00,0.00,3
SP5-00028,ok,debt,1803.16,4207.37,0.00,0.00,184066.48,5
SP5-00029,ok,debt,4202.23,4202.23,0.00,0.00,0.00,3
SP5-00030,ok,reserve,2569.68,1101.29,0.00,0.00,0.00,4
SP5-00031,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00032,ok,debt,2314.88,2314.88,0.00,0.00,0.00,3
SP5-00033,ok,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00034,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00035,deficit,none,0.00,0.00,0.00,0.00,10000000.00,4
SP5-00036,ok,goals+,0.00,0.00,1505398.72,677866.43,30837480.95,2
SP5-00037,ok,goals+,364038.06,0.00,546057.09,0.00,0.00,3
SP5-00038,deficit,none,0.00,0.00,0.00,0.00,333743.34,5
SP5-00039,ok,debt,404.03,942.73,0.00,0.00,108419.43,4
SP5-00040,ok,reserve,17495.20,0.00,7497.94,0.00,0.00,4
SP5-00041,ok,reserve,957.22,410.24,0.00,0.00,0.00,3
SP5-00042,deficit,none,0.00,0.00,0.00,0.00,15257570.10,3
