id,status,dom,res,debt,goal,inv,lump,confidence
SP5-00000,deficit,none,0.00,0.00,0.00,0.00,0.00,3
SP5-00001,deficit,none,0.00,0.00,0.00,0.00,98258.46,2
SP5-00002,ok,debt,7708.96,7708.96,0.00,0.00,0.00,4
SP5-00003,ok,reserve,9258.28,0.00,3967.83,0.00,0.00,3
SP5-00004,ok,goals+,0.00,0.00,17417.96,8341.16,14813.50,1
SP5-00005,ok,debt,199813.43,199813.43,0.00,0.00,0.00,4
SP5-00006,deficit,none,0.00,0.00,0.00,0.00,177787.06,4
SP5-00007,ok,goals+,0.00,0.00,2605.80,0.00,0.67,3
SP5-00008,deficit,none,0.00,0.00,0.00,0.00,0.00,2
SP5-00009,ok,debt,0.00,9278.70,0.00,0.00,9262.73,4
SP5-00010,ok,reserve,2488.48,0.00,0.00,0.00,0.00,1
SP5-00011,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00012,ok,goals+,0.00,0.00,37705.02,11258.12,56620.51,3
SP5-00013,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00014,ok,reserve,1627.87,0.00,697.66,0.00,0.00,3
SP5-00015,ok,debt,18269.24,56035.71,0.00,0.00,0.00,3
SP5-00016,deficit,none,0.00,0.00,0.00,0.00,17857.01,1
SP5-00017,ok,goals+,0.00,0.00,16003.18,3126.56,163305.28,4
SP5-00018,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00019,deficit,none,0.00,0.00,0.00,0.00,17271574.57,4
SP5-00020,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00021,ok,debt,4288.62,5328.62,0.00,0.00,0.00,4
SP5-00022,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00023,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00024,deficit,none,0.00,0.00,0.00,0.00,0.00,3
SP5-00025,deficit,none,0.00,0.00,0.00,0.00,0.00,3
SP5-00026,ok,goals+,0.00,0.00,11866.97,5836.03,53281.86,4
SP5-00027,ok,reserve,25454.53,0.00,0.00,0.00,0.00,4
SP5-00028,ok,debt,0.00,4808.43,1202.10,0.00,183532.34,1
SP5-00029,ok,reserve,5883.12,0.00,2521.34,0.00,0.00,4
SP5-00030,ok,reserve,2202.58,1468.38,0.00,0.00,0.00,3
SP5-00031,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00032,ok,reserve,3240.83,0.00,1388.92,0.00,0.00,3
SP5-00033,ok,none,0.00,0.00,0.00,0.00,0.00,3
SP5-00034,deficit,none,0.00,0.00,0.00,0.00,0.00,3
SP5-00035,deficit,none,0.00,0.00,0.00,0.00,10000000.00,5
SP5-00036,ok,goals+,0.00,0.00,821456.60,1361808.55,78253630.04,2
SP5-00037,ok,goals+,0.00,0.00,713642.39,196452.75,1976176.55,2
SP5-00038,deficit,none,0.00,0.00,0.00,0.00,357502.52,4
SP5-00039,ok,debt,673.38,673.38,0.00,0.00,0.00,2
SP5-00040,ok,reserve,22696.07,0.00,2297.07,0.00,0.00,4
SP5-00041,ok,reserve,1367.47,0.00,0.00,0.00,0.00,3
SP5-00042,deficit,none,0.00,0.00,0.00,0.00,6497071.82,2
SP5-00043,ok,debt,10164.52,10164.52,0.00,0.00,10235.55,3
