id,status,dom,res,debt,goal,inv,lump,confidence
SP5-00000,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00001,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00002,ok,reserve,9250.75,6167.17,0.00,0.00,0.00,2
SP5-00003,ok,reserve,13226.12,0.00,0.00,0.00,0.00,3
SP5-00004,ok,debt,7727.74,18031.39,0.00,0.00,0.00,3
SP5-00005,ok,debt,0.00,399626.87,0.00,0.00,2111389.59,2
SP5-00006,deficit,none,0.00,0.00,0.00,0.00,6168644.04,5
SP5-00007,ok,reserve,2605.80,0.00,0.00,0.00,0.00,3
SP5-00008,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00009,ok,debt,3711.48,5567.22,0.00,0.00,9262.73,2
SP5-00010,ok,reserve,2488.48,0.00,0.00,0.00,0.00,5
SP5-00011,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00012,ok,reserve,48963.15,0.00,0.00,0.00,0.00,3
SP5-00013,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00014,ok,reserve,2325.54,0.00,0.00,0.00,0.00,4
SP5-00015,ok,debt,22291.49,52013.46,0.00,0.00,0.00,2
SP5-00016,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00017,ok,goals+,0.00,0.00,19026.09,103.66,123074.64,3
SP5-00018,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00019,deficit,none,0.00,0.00,0.00,0.00,4836880.19,5
SP5-00020,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00021,ok,reserve,9617.24,0.00,0.00,0.00,0.00,4
SP5-00022,deficit,none,0.00,0.00,0.00,0.00,44484926.33,5
SP5-00023,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00024,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00025,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00026,ok,goals+,0.00,0.00,15953.41,1749.60,32279.53,3
SP5-00027,ok,reserve,25454.53,0.00,0.00,0.00,0.00,5
SP5-00028,ok,debt,0.00,6010.54,0.00,0.00,141410.30,3
SP5-00029,ok,reserve,8404.47,0.00,0.00,0.00,0.00,4
SP5-00030,ok,reserve,3670.97,0.00,0.00,0.00,0.00,5
SP5-00031,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00032,ok,reserve,2777.86,1851.90,0.00,0.00,0.00,2
SP5-00033,ok,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00034,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00035,deficit,none,0.00,0.00,0.00,0.00,63845668.14,5
SP5-00036,ok,goals+,0.00,0.00,1502360.88,680904.28,88434285.51,2
SP5-00037,ok,goals+,0.00,0.00,910095.15,0.00,16909276.19,2
SP5-00038,deficit,none,0.00,0.00,0.00,0.00,246421.00,5
SP5-00039,ok,debt,404.03,942.73,0.00,0.00,0.00,3
SP5-00040,ok,reserve,24993.15,0.00,0.00,0.00,0.00,4
SP5-00041,ok,reserve,1367.47,0.00,0.00,0.00,0.00,5
SP5-00042,deficit,none,0.00,0.00,0.00,0.00,31809670.85,5
SP5-00043,ok,reserve,12197.43,8131.62,0.00,0.00,10235.55,2
SP5-00044,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00045,ok,debt,13857.86,32335.02,2431.20,0.00,0.00,3
SP5-00046,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00047,ok,debt,1829.04,2743.56,0.00,0.00,76821.76,2
SP5-00048,deficit,none,0.00,0.00,0.00,0.00,27002.71,5
SP5-00049,ok,reserve,5337.30,0.00,0.00,0.00,0.00,2
SP5-00050,deficit,none,0.00,0.00,0.00,0.00,62752.89,5
SP5-00051,ok,debt,437445.36,1020705.84,1291.58,0.00,0.00,2
SP5-00052,ok,debt,1937.62,4521.11,0.00,0.00,0.00,3
SP5-00053,ok,reserve,1461.93,3.46,0.00,0.00,0.00,5
SP5-00054,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00055,deficit,none,0.00,0.00,0.00,0.00,9784313.42,5
SP5-00056,deficit,none,0.00,0.00,0.00,0.00,110305.90,5
SP5-00057,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00058,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00059,ok,reserve,3463.61,0.00,0.00,0.00,0.00,4
SP5-00060,ok,debt,0.00,16037.78,0.00,0.00,47931.53,1
SP5-00061,ok,reserve,39117.16,0.00,0.00,0.00,0.00,5
SP5-00062,ok,reserve,14816.24,0.00,0.00,0.00,0.00,3
SP5-00063,deficit,none,0.00,0.00,0.00,0.00,6206378.10,5
SP5-00064,ok,goals+,0.00,0.00,0.00,10568.52,11854.28,3
SP5-00065,ok,reserve,5775.06,0.00,0.00,0.00,0.00,5
SP5-00066,ok,goals+,0.00,0.00,70992.56,0.00,0.00,2
SP5-00067,ok,goals+,0.00,0.00,148499.48,73209.49,5477720.82,2
SP5-00068,deficit,none,0.00,0.00,0.00,0.00,3359425.36,5
SP5-00069,ok,reserve,6427.92,0.00,0.00,0.00,0.00,5
SP5-00070,ok,goals+,0.00,0.00,4868910.54,1185911.25,9917648.26,2
SP5-00071,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00072,ok,debt,204.34,476.80,0.00,0.00,0.00,4
SP5-00073,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00074,ok,goals+,0.00,0.00,16890.27,1044.02,349193.07,3
SP5-00075,ok,goals+,0.00,0.00,88732.62,0.00,3712298.14,3
SP5-00076,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00077,ok,goals+,0.00,0.00,12351.57,26558.07,120792.41,3
SP5-00078,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00079,ok,reserve,24000.19,0.00,0.00,0.00,0.00,3
SP5-00080,ok,reserve,96481.46,0.00,0.00,0.00,0.00,2
SP5-00081,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00082,ok,reserve,2710.87,0.00,0.00,0.00,0.00,5
SP5-00083,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00084,deficit,none,0.00,0.00,0.00,0.00,397977.68,5
SP5-00085,ok,debt,952.86,2223.35,0.00,0.00,0.00,3
SP5-00086,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00087,ok,reserve,3505.99,0.00,0.00,0.00,0.00,5
SP5-00088,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00089,ok,goals+,0.00,0.00,12327.18,0.00,489270.13,3
SP5-00090,ok,goals+,1242.62,0.00,19637.84,0.00,0.00,2
SP5-00077,ok,reserve,18188.93,9528.74,0.00,0.00,0.00,5
SP5-00092,ok,goals+,0.00,0.00,40713.83,39344.24,344310.42,3
SP5-00093,ok,debt,0.00,1079172.94,41778.99,0.00,490908.04,2
SP5-00094,ok,goals+,0.00,0.00,866396.17,843165.26,10735872.76,2
SP5-00095,ok,debt,911176.14,2821723.25,0.00,0.00,0.00,2
SP5-00096,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00097,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00098,ok,goals+,0.00,0.00,660331145.47,0.00,5000000.00,2
SP5-00099,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00100,ok,goals+,0.00,0.00,11275.61,0.00,81489.27,2
SP5-00101,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00102,deficit,none,0.00,0.00,0.00,0.00,166655729.42,5
SP5-00103,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00104,ok,goals+,0.00,0.00,45600.60,25269.91,704010.66,3
SP5-00105,ok,reserve,12400.95,0.00,0.00,0.00,0.00,5
SP5-00106,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00107,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00108,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00109,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00110,ok,reserve,119212.25,20294.85,0.00,0.00,0.00,5
SP5-00111,ok,debt,0.00,4694498.11,0.00,0.00,396326.16,2
SP5-00112,ok,debt,0.00,1697304.04,21403.14,0.00,2471181.31,2
SP5-00113,ok,reserve,35832.57,0.00,0.00,0.00,0.00,4
SP5-00114,ok,goals+,0.00,0.00,6197.68,0.00,2474510.75,2
SP5-00110,ok,debt,0.00,79953.81,0.00,0.00,25714.33,3
SP5-00116,deficit,none,0.00,0.00,0.00,0.00,2591.74,5
SP5-00117,deficit,none,0.00,0.00,0.00,0.00,6981088.44,5
SP5-00118,ok,debt,5656.77,13199.12,0.00,0.00,0.00,3
SP5-00119,ok,reserve,6944.81,0.00,0.00,0.00,0.00,4
SP5-00120,ok,goals+,0.00,0.00,795185814.87,354482175.40,2141581592.70,2
SP5-00121,ok,reserve,18701.35,12467.57,0.00,0.00,0.00,2
SP5-00122,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00123,ok,reserve,16391.71,0.00,0.00,0.00,0.00,3
SP5-00124,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00125,ok,debt,0.00,17472.25,0.00,0.00,87089.85,3
SP5-00110,ok,goals+,0.00,0.00,6154.29,3638.22,968689.30,3
SP5-00127,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00128,ok,reserve,19011.88,0.00,0.00,0.00,0.00,4
SP5-00129,ok,reserve,18041.78,0.00,0.00,0.00,0.00,4
SP5-00130,ok,debt,0.00,2730469.27,0.00,0.00,304234.84,2
SP5-00128,ok,reserve,6580.00,0.00,0.00,0.00,0.00,4
SP5-00132,ok,reserve,31392.82,20928.55,0.00,0.00,0.00,2
SP5-00133,ok,debt,0.00,123414.81,6495.52,0.00,1438169.31,2
SP5-00134,ok,goals+,0.00,0.00,21194.53,3547.54,214839.87,4
SP5-00135,ok,reserve,64831.96,0.00,0.00,0.00,0.00,4
SP5-00136,ok,reserve,946.81,631.21,83.05,0.00,0.00,2
SP5-00137,ok,reserve,91477.15,0.00,0.00,0.00,0.00,5
SP5-00138,ok,goals+,0.00,0.00,16877.03,15235.69,871596.62,3
SP5-00139,ok,debt,0.00,993.28,0.00,0.00,146961.43,3
SP5-00140,ok,debt,9552.36,22288.84,0.00,0.00,0.00,3
SP5-00141,ok,goals+,0.00,0.00,22567.87,0.00,0.00,1
SP5-00142,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00143,ok,reserve,30978.97,0.00,0.00,0.00,0.00,5
SP5-00144,ok,debt,14085.70,32866.62,0.00,0.00,0.00,3
SP5-00128,ok,reserve,163144.28,0.00,0.00,0.00,0.00,4
SP5-00146,ok,reserve,7374.19,0.00,0.00,0.00,0.00,5
SP5-00147,ok,goals+,0.00,0.00,470759465.38,159989009.93,5160361388.98,2
SP5-00148,ok,debt,0.00,227521.10,0.00,0.00,472517.61,2
SP5-00149,ok,reserve,4433.98,0.00,0.00,0.00,0.00,5
SP5-00150,ok,debt,0.00,5318.69,0.00,0.00,18623.76,3
SP5-00151,ok,reserve,159283.08,0.00,0.00,0.00,0.00,3
SP5-00152,ok,reserve,1389.32,926.22,0.00,0.00,0.00,2
SP5-00153,ok,reserve,25743.08,0.00,0.00,0.00,0.00,5
SP5-00154,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00155,ok,reserve,1389.32,926.22,0.00,0.00,0.00,2
SP5-00156,ok,reserve,19104.93,0.00,0.00,0.00,0.00,5
SP5-00157,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00158,ok,reserve,6463.73,6158.38,0.00,0.00,0.00,3
SP5-00159,ok,reserve,4647.14,3098.10,0.00,0.00,10064.81,2
SP5-00160,ok,debt,0.00,1114351.30,0.00,0.00,1100439.67,2
SP5-00161,ok,reserve,12825.06,0.00,0.00,0.00,0.00,4
SP5-00162,ok,reserve,4814.06,3209.37,0.00,0.00,23038.93,2
SP5-00163,ok,reserve,19046.81,0.00,0.00,0.00,0.00,3
SP5-00164,ok,reserve,37154.43,0.00,0.00,0.00,0.00,5
SP5-00165,ok,goals+,0.00,0.00,13880.16,0.00,0.00,2
SP5-00166,deficit,none,0.00,0.00,0.00,0.00,1251444.73,5
SP5-00167,ok,goals+,0.00,0.00,1136360.59,122718.11,0.00,2
SP5-00168,ok,reserve,19104.93,0.00,0.00,0.00,0.00,5
SP5-00169,ok,reserve,2760.81,0.00,0.00,0.00,0.00,2
SP5-00170,ok,reserve,5725.08,0.00,0.00,0.00,0.00,4
SP5-00171,deficit,none,0.00,0.00,0.00,0.00,77221530.83,5
SP5-00172,ok,reserve,1067.53,711.69,0.00,0.00,0.00,2
SP5-00173,ok,debt,599265.08,1398285.19,78969.72,0.00,0.00,2
SP5-00174,ok,none,0.00,0.00,0.00,0.00,0.00,2
SP5-00175,deficit,none,0.00,0.00,0.00,0.00,40385819.63,5
SP5-00176,ok,reserve,65493.35,0.00,0.00,0.00,0.00,5
SP5-00177,deficit,none,0.00,0.00,0.00,0.00,4878143.44,5
SP5-00178,ok,goals+,0.00,0.00,7662.03,0.00,227835.35,3
SP5-00179,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00180,ok,debt,0.00,106238.92,0.00,0.00,1683222.96,2
SP5-00181,deficit,none,0.00,0.00,0.00,0.00,45243.59,5
SP5-00182,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00183,ok,goals+,0.00,0.00,330921246.86,120486559.26,692551346.73,2
SP5-00184,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00185,ok,debt,0.00,50870.47,0.00,0.00,39425.77,3
SP5-00186,deficit,none,0.00,0.00,0.00,0.00,97225.90,5
SP5-00187,ok,reserve,23210.81,0.00,20104.04,0.00,0.00,5
SP5-00188,ok,reserve,13689.74,0.00,0.00,0.00,0.00,3
SP5-00189,ok,reserve,799.05,532.70,0.00,0.00,0.00,2
SP5-00190,ok,none,0.00,0.00,0.00,0.00,0.00,2
SP5-00191,ok,debt,5492.82,12816.57,4482.76,0.00,0.00,1
SP5-00192,ok,reserve,4974.58,3316.38,0.00,0.00,0.00,2
SP5-00193,ok,goals+,0.00,0.00,29179.52,0.00,5935.19,2
SP5-00194,ok,reserve,9231.06,0.00,0.00,0.00,0.00,3
SP5-00195,ok,debt,8412.53,12618.80,0.00,0.00,245038.62,2
SP5-00196,ok,goals+,0.00,0.00,7628.20,0.00,114750.81,4
SP5-00197,ok,reserve,5151.39,0.00,0.00,0.00,0.00,5
SP5-00198,ok,reserve,54335.63,0.00,0.00,0.00,0.00,5
SP5-00199,deficit,none,0.00,0.00,0.00,0.00,45243.59,5
SP5-00200,ok,debt,7373.39,11060.09,0.00,0.00,12438.87,2
SP5-00201,ok,reserve,3065.42,0.00,0.00,0.00,0.00,5
SP5-00202,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00203,ok,goals+,0.00,0.00,3446308.09,525209.56,1866733.49,2
SP5-00204,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00205,deficit,none,0.00,0.00,0.00,0.00,6837.47,5
SP5-00206,deficit,none,0.00,0.00,0.00,0.00,6362216.15,5
SP5-00207,deficit,none,0.00,0.00,0.00,0.00,35606835.47,5
SP5-00208,deficit,none,0.00,0.00,0.00,0.00,1446069.13,5
SP5-00209,ok,debt,19235.69,28853.53,0.00,0.00,6398.68,2
SP5-00210,ok,reserve,4270.15,0.00,0.00,0.00,0.00,5
SP5-00211,ok,goals+,704.47,0.00,1257.31,0.00,0.00,2
SP5-00212,ok,goals+,0.00,0.00,27247.81,8537.50,242281.14,3
SP5-00213,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00214,ok,reserve,14561.04,9707.36,0.00,0.00,0.00,2
SP5-00215,ok,reserve,9421.76,0.00,0.00,0.00,0.00,4
SP5-00216,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00217,deficit,none,0.00,0.00,0.00,0.00,161119.62,5
SP5-00218,ok,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00219,ok,debt,0.00,435665.05,0.00,0.00,1522984.57,3
SP5-00220,ok,reserve,13728.26,0.00,0.00,0.00,0.00,3
SP5-00221,ok,reserve,2165.76,1443.84,0.00,0.00,0.00,2
SP5-00222,deficit,none,0.00,0.00,0.00,0.00,105258.66,5
SP5-00223,ok,goals+,0.00,0.00,12466.92,510.45,212308.02,3
SP5-00224,ok,reserve,19771.16,0.00,0.00,0.00,0.00,4
SP5-00225,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00226,deficit,none,0.00,0.00,0.00,0.00,10906354.43,5
SP5-00227,ok,debt,0.00,831434.12,43759.69,0.00,1472039.30,2
SP5-00228,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00229,ok,reserve,27.48,18.32,0.00,0.00,0.00,2
SP5-00230,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00231,ok,goals+,0.00,0.00,1013215.89,960094.90,2670611.60,2
SP5-00232,ok,debt,3239.92,7559.80,0.00,0.00,8652.49,3
SP5-00233,deficit,none,0.00,0.00,0.00,0.00,307976.51,5
SP5-00234,deficit,none,0.00,0.00,0.00,0.00,105367.39,5
SP5-00235,ok,reserve,1943.53,1295.68,0.00,0.00,0.00,2
