id,status,dom,res,debt,goal,inv,lump,confidence
SP5-00000,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00001,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00002,ok,reserve,9250.75,6167.17,0.00,0.00,0.00,2
SP5-00003,ok,reserve,7935.67,0.00,5290.45,0.00,0.00,3
SP5-00004,ok,reserve,15455.48,10303.65,0.00,0.00,0.00,4
SP5-00005,ok,debt,0.00,199813.44,199813.43,0.00,972053.67,4
SP5-00006,deficit,none,0.00,0.00,0.00,0.00,1362621.86,4
SP5-00007,ok,goals+,0.00,0.00,2605.80,0.00,0.00,3
SP5-00008,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00009,ok,debt,2783.61,6495.09,0.00,0.00,9262.73,2
SP5-00010,ok,reserve,2488.48,0.00,0.00,0.00,0.00,4
SP5-00011,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00012,ok,reserve,29377.89,0.00,19585.26,0.00,0.00,4
SP5-00013,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00014,ok,reserve,1395.32,0.00,930.22,0.00,0.00,4
SP5-00015,ok,reserve,44582.97,0.00,29721.98,0.00,300497.06,2
SP5-00016,deficit,none,0.00,0.00,0.00,0.00,17857.01,4
SP5-00017,ok,goals+,0.00,0.00,17936.53,1193.22,123074.64,5
SP5-00018,deficit,none,0.00,0.00,0.00,0.00,41746.24,4
SP5-00019,deficit,none,0.00,0.00,0.00,0.00,4836880.19,4
SP5-00020,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00021,ok,reserve,9617.24,0.00,0.00,0.00,0.00,4
SP5-00022,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00023,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00024,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00025,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00026,ok,goals+,0.00,0.00,15708.44,1994.57,32279.53,5
SP5-00027,ok,reserve,25454.53,0.00,0.00,0.00,0.00,2
SP5-00028,ok,debt,0.00,3530.88,2282.56,197.10,141410.30,3
SP5-00029,ok,reserve,5042.68,611.47,2245.86,504.46,0.00,4
SP5-00030,ok,reserve,3670.97,0.00,0.00,0.00,0.00,4
SP5-00031,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00032,ok,reserve,2777.86,1851.90,0.00,0.00,0.00,2
SP5-00033,ok,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00034,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00035,deficit,none,0.00,0.00,0.00,0.00,10000000.00,4
SP5-00036,ok,goals+,0.00,622153.79,1187819.10,373292.27,83793957.77,4
SP5-00037,ok,goals+,0.00,101322.86,770776.22,37996.07,10735139.99,4
SP5-00038,deficit,none,0.00,0.00,0.00,0.00,333743.34,4
SP5-00039,ok,reserve,808.06,538.70,0.00,0.00,0.00,3
SP5-00040,ok,reserve,14995.89,0.00,5811.37,4185.89,0.00,4
SP5-00041,ok,reserve,1367.47,0.00,0.00,0.00,0.00,4
SP5-00042,deficit,none,0.00,0.00,0.00,0.00,15257570.10,4
SP5-00043,ok,reserve,12197.43,0.00,8131.62,0.00,13603.27,2
SP5-00044,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00045,ok,reserve,29174.45,19449.63,0.00,0.00,0.00,4
SP5-00046,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00047,ok,reserve,2740.64,1831.96,0.00,0.00,76821.76,3
SP5-00048,deficit,none,0.00,0.00,0.00,0.00,500779.77,4
SP5-00049,ok,reserve,5337.30,0.00,0.00,0.00,0.00,3
SP5-00050,deficit,none,0.00,0.00,0.00,0.00,72255.60,4
SP5-00051,ok,reserve,875665.67,583777.11,0.00,0.00,0.00,2
SP5-00052,ok,reserve,3875.24,2583.49,0.00,0.00,0.00,4
SP5-00053,ok,reserve,1465.39,0.00,0.00,0.00,0.00,3
SP5-00054,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00055,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00056,deficit,none,0.00,0.00,0.00,0.00,173802.41,4
SP5-00057,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00058,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00059,ok,reserve,2078.17,0.00,1385.44,0.00,0.00,4
SP5-00060,ok,debt,0.00,8018.89,8018.89,0.00,47931.53,3
SP5-00061,ok,reserve,39117.16,0.00,0.00,0.00,0.00,4
SP5-00062,ok,reserve,8889.74,0.00,0.00,5926.50,0.00,4
SP5-00063,deficit,none,0.00,0.00,0.00,0.00,4678882.11,4
SP5-00064,ok,goals+,0.00,0.00,0.00,10568.52,11854.28,3
SP5-00065,ok,reserve,5775.06,0.00,0.00,0.00,0.00,2
SP5-00066,ok,reserve,42595.54,28397.02,0.00,0.00,0.00,2
SP5-00067,ok,goals+,0.00,63967.91,104967.53,52773.53,4310876.63,4
SP5-00068,deficit,none,0.00,0.00,0.00,0.00,919327.38,4
SP5-00069,ok,reserve,6427.92,0.00,0.00,0.00,0.00,4
SP5-00070,ok,goals+,0.00,0.00,5159928.93,894892.86,37219054.61,3
SP5-00071,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00072,ok,reserve,408.68,272.46,0.00,0.00,0.00,4
SP5-00073,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00074,ok,goals+,0.00,0.00,16459.88,1474.41,349193.07,5
SP5-00075,ok,goals+,0.00,0.00,84102.27,4630.35,3712298.14,4
SP5-00076,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00077,ok,goals+,0.00,0.00,14088.46,24821.18,120792.41,4
SP5-00078,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00079,ok,reserve,14400.11,0.00,6030.45,3569.62,0.00,3
SP5-00080,ok,reserve,96481.46,0.00,0.00,0.00,0.00,4
SP5-00081,deficit,none,0.00,0.00,0.00,0.00,84212.73,4
SP5-00082,ok,reserve,1626.52,0.00,1084.35,0.00,0.00,3
SP5-00083,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00084,deficit,none,0.00,0.00,0.00,0.00,313616.78,4
SP5-00085,ok,debt,952.86,2223.35,0.00,0.00,24563.58,4
SP5-00086,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00087,ok,reserve,3505.99,0.00,0.00,0.00,0.00,4
SP5-00088,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00089,ok,goals+,0.00,0.00,12327.18,0.00,489270.13,4
SP5-00090,ok,reserve,14020.41,6860.05,0.00,0.00,0.00,4
SP5-00077,ok,reserve,17443.28,10274.39,0.00,0.00,0.00,4
SP5-00092,ok,goals+,0.00,24868.47,33565.94,21623.66,344310.42,4
SP5-00093,ok,debt,336285.58,784666.35,0.00,0.00,857048.13,1
SP5-00094,ok,goals+,0.00,0.00,1032933.74,676627.69,7236286.34,3
SP5-00095,ok,reserve,2239739.63,1493159.76,0.00,0.00,0.00,2
SP5-00096,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00097,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00098,ok,goals+,0.00,3000000.00,597389360.15,59941785.32,6036715796.32,2
SP5-00099,deficit,none,0.00,0.00,0.00,0.00,3964650.97,4
SP5-00100,ok,goals+,0.00,1623.78,7946.86,1704.97,81489.27,4
SP5-00101,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00102,deficit,none,0.00,0.00,0.00,0.00,12491992.33,4
SP5-00103,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00104,ok,goals+,0.00,22939.72,34166.95,13763.83,704010.66,3
SP5-00105,ok,reserve,7440.57,0.00,4960.38,0.00,0.00,4
SP5-00106,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00107,deficit,none,0.00,0.00,0.00,0.00,19029.52,4
SP5-00108,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00109,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00110,ok,reserve,139507.10,0.00,0.00,0.00,0.00,4
SP5-00111,ok,reserve,2816698.87,1877799.24,0.00,0.00,0.00,2
SP5-00112,ok,reserve,1031224.31,687482.87,0.00,0.00,0.00,2
SP5-00113,ok,reserve,21499.54,0.00,5130.53,9202.50,0.00,4
SP5-00114,ok,goals+,0.00,0.00,6197.68,0.00,1970472.30,4
SP5-00110,ok,reserve,47972.29,31981.52,0.00,0.00,613116.15,3
SP5-00116,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00117,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00118,ok,reserve,11313.53,7542.36,0.00,0.00,0.00,4
SP5-00119,ok,reserve,4166.89,0.00,2041.39,736.53,0.00,4
SP5-00120,ok,goals+,0.00,0.00,827688745.11,321979245.16,2942307133.30,2
SP5-00121,ok,debt,9350.68,21818.24,0.00,0.00,58981.91,2
SP5-00122,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00123,ok,reserve,9835.03,1970.34,2517.49,2068.85,0.00,4
SP5-00124,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00125,ok,debt,0.00,8736.12,8736.12,0.00,87089.85,5
SP5-00110,ok,goals+,0.00,2561.07,5118.55,2112.89,1009801.67,4
SP5-00127,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00128,ok,reserve,11407.13,0.00,7604.75,0.00,0.00,4
SP5-00129,ok,reserve,10825.07,1076.20,5252.65,887.86,0.00,4
SP5-00130,ok,reserve,1638281.56,1092187.71,0.00,0.00,0.00,2
SP5-00128,ok,reserve,6580.00,0.00,0.00,0.00,0.00,4
SP5-00132,ok,debt,15696.41,36624.96,0.00,0.00,0.00,2
SP5-00133,ok,debt,0.00,81604.70,34569.77,13735.86,829549.55,4
SP5-00134,ok,goals+,0.00,0.00,21291.46,3450.61,884573.32,4
SP5-00135,ok,reserve,38899.18,0.00,13306.66,12626.12,0.00,4
SP5-00136,ok,reserve,1661.07,0.00,0.00,0.00,0.00,2
SP5-00137,ok,reserve,81632.12,0.00,9845.03,0.00,0.00,4
SP5-00138,ok,goals+,0.00,0.00,19239.74,12872.98,948808.96,5
SP5-00139,ok,debt,0.00,496.64,496.64,0.00,19229.68,3
SP5-00140,ok,reserve,19104.72,12736.48,0.00,0.00,0.00,4
SP5-00141,ok,reserve,13540.72,9027.15,0.00,0.00,0.00,2
SP5-00142,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00143,ok,reserve,30978.97,0.00,0.00,0.00,0.00,4
SP5-00144,ok,reserve,28171.39,18780.93,0.00,0.00,0.00,4
SP5-00128,ok,reserve,97886.57,17658.84,33030.33,14568.54,0.00,4
SP5-00146,ok,reserve,7374.19,0.00,0.00,0.00,0.00,3
SP5-00147,ok,goals+,0.00,0.00,476063120.83,154685354.48,5998989063.38,2
SP5-00148,ok,reserve,136512.66,91008.44,0.00,0.00,0.00,4
SP5-00149,ok,reserve,4433.98,0.00,0.00,0.00,0.00,4
SP5-00150,ok,debt,0.00,2659.34,2659.34,0.00,18623.76,3
SP5-00151,ok,reserve,95569.85,0.00,49386.69,14326.54,0.00,4
SP5-00152,ok,reserve,2315.54,0.00,0.00,0.00,0.00,2
SP5-00153,ok,reserve,25743.08,0.00,0.00,0.00,0.00,3
SP5-00154,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00155,ok,reserve,2315.54,0.00,0.00,0.00,0.00,2
SP5-00156,ok,reserve,19104.93,0.00,0.00,0.00,0.00,3
SP5-00157,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00158,ok,debt,6117.86,6504.25,0.00,0.00,0.00,3
SP5-00159,ok,reserve,4647.14,3098.10,0.00,0.00,10064.81,2
SP5-00160,ok,reserve,668610.78,445740.52,0.00,0.00,0.00,2
SP5-00161,ok,reserve,7695.04,0.00,5130.02,0.00,0.00,3
SP5-00162,ok,reserve,4814.06,3209.37,0.00,0.00,23038.93,5
SP5-00163,ok,reserve,11428.09,0.00,7618.72,0.00,0.00,4
SP5-00164,ok,reserve,22292.66,0.00,13877.92,983.85,0.00,3
SP5-00165,ok,reserve,10720.90,3159.26,0.00,0.00,0.00,2
SP5-00166,deficit,none,0.00,0.00,0.00,0.00,828392.91,4
SP5-00167,ok,goals+,0.00,0.00,1137238.08,121840.62,8075742.72,4
SP5-00168,ok,reserve,19104.93,0.00,0.00,0.00,0.00,3
SP5-00169,ok,reserve,2760.81,0.00,0.00,0.00,0.00,4
SP5-00170,ok,reserve,3435.05,0.00,2290.03,0.00,0.00,4
SP5-00171,deficit,none,0.00,0.00,0.00,0.00,8926462.24,4
SP5-00172,ok,reserve,1067.53,711.69,0.00,0.00,0.00,2
SP5-00173,ok,reserve,1245911.99,830608.00,0.00,0.00,0.00,2
SP5-00174,ok,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00175,deficit,none,0.00,0.00,0.00,0.00,12604616.93,4
SP5-00176,ok,reserve,65493.35,0.00,0.00,0.00,0.00,4
SP5-00177,deficit,none,0.00,0.00,0.00,0.00,4493483.58,4
SP5-00178,ok,goals+,0.00,0.00,7662.03,0.00,227835.35,4
SP5-00179,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00180,ok,debt,0.00,53119.46,53119.46,0.00,1017844.32,4
SP5-00181,deficit,none,0.00,0.00,0.00,0.00,45243.59,4
SP5-00182,deficit,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00183,ok,goals+,0.00,60000000.00,313411462.25,77996343.87,1553374264.38,2
SP5-00184,deficit,none,0.00,0.00,0.00,0.00,32513.98,4
SP5-00185,ok,debt,0.00,25435.24,25435.23,0.00,39425.77,4
SP5-00186,deficit,none,0.00,0.00,0.00,0.00,64692.36,4
SP5-00187,ok,reserve,25988.91,0.00,17325.94,0.00,0.00,4
SP5-00188,ok,reserve,8213.84,0.00,0.00,5475.90,0.00,3
SP5-00189,ok,reserve,799.05,532.70,0.00,0.00,0.00,2
SP5-00190,ok,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00191,ok,reserve,13675.29,9116.86,0.00,0.00,0.00,4
SP5-00192,ok,reserve,4974.58,3316.38,0.00,0.00,0.00,2
SP5-00193,ok,debt,13617.86,15561.66,0.00,0.00,0.00,2
SP5-00194,ok,reserve,5538.64,0.00,3692.42,0.00,0.00,4
SP5-00195,ok,debt,0.00,10515.67,10515.66,0.00,35117.88,3
SP5-00196,ok,goals+,0.00,185.68,7400.74,41.78,179309.82,4
SP5-00197,ok,reserve,5151.39,0.00,0.00,0.00,0.00,4
SP5-00198,ok,reserve,32601.38,0.00,11249.06,10485.19,0.00,3
SP5-00199,deficit,none,0.00,0.00,0.00,0.00,45243.59,4
SP5-00200,ok,debt,5530.04,12903.44,0.00,0.00,0.00,2
SP5-00201,ok,reserve,3065.42,0.00,0.00,0.00,0.00,4
SP5-00202,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00203,ok,goals+,0.00,0.00,3557372.78,414144.87,60626413.06,3
SP5-00204,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00205,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00206,deficit,none,0.00,0.00,0.00,0.00,2713753.05,4
SP5-00207,deficit,none,0.00,0.00,0.00,0.00,5992704.97,4
SP5-00208,deficit,none,0.00,0.00,0.00,0.00,1504252.64,4
SP5-00209,ok,debt,14426.77,33662.45,0.00,0.00,6398.68,2
SP5-00210,ok,reserve,4270.15,0.00,0.00,0.00,0.00,3
SP5-00211,ok,reserve,1961.78,0.00,0.00,0.00,0.00,3
SP5-00212,ok,goals+,0.00,0.00,28987.44,6797.87,242281.14,5
SP5-00213,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00214,ok,reserve,14561.04,9707.36,0.00,0.00,0.00,2
SP5-00215,ok,reserve,5653.06,0.00,3768.70,0.00,0.00,4
SP5-00216,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00217,deficit,none,0.00,0.00,0.00,0.00,281990.00,4
SP5-00218,ok,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00219,ok,debt,0.00,217832.53,186859.38,30973.14,1522984.57,4
SP5-00220,ok,reserve,8236.96,0.00,5491.30,0.00,0.00,4
SP5-00221,ok,reserve,2165.76,1443.84,0.00,0.00,0.00,2
SP5-00222,deficit,none,0.00,0.00,0.00,0.00,103836.82,4
SP5-00223,ok,goals+,0.00,0.00,9330.46,3646.91,220238.30,5
SP5-00224,ok,reserve,11862.70,0.00,6397.12,1511.34,0.00,4
SP5-00225,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00226,deficit,none,0.00,0.00,0.00,0.00,10352779.00,4
SP5-00227,ok,reserve,525116.29,350077.52,0.00,0.00,2054751.91,3
SP5-00228,invalid,none,0.00,0.00,0.00,0.00,0.00,5
SP5-00229,ok,reserve,27.48,18.32,0.00,0.00,0.00,2
SP5-00230,deficit,none,0.00,0.00,0.00,0.00,0.00,4
SP5-00231,ok,reserve,1183986.47,789324.32,0.00,0.00,0.00,2
SP5-00232,ok,reserve,6479.83,4319.89,0.00,0.00,8652.49,5
SP5-00233,deficit,none,0.00,0.00,0.00,0.00,28191.48,4
