"territory osp","number","date","name of the organization","TIN","OGRN","part of law","structure of law","result","fact","total"
"УФССП России по ХМАО - Югре","41/26/86000-АП","09.06.2026","ПАО ""МТС-Банк""","7702045051","1027739053704","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","35/26/86000-АП","29.05.2026","ООО МКК ""ЭКВАЗАЙМ""","7300032408","1247300004380","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","31/26/86000-АП","01.06.2026","ООО МКК ""Финансовый аспект""","3811469624","1203800012294","ч.2 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","29/26/86000-АП","26.05.2026","ООО ""ПКО ""Интеграл""","3459086819","1243400005166","ч.1 ст.14.57","230-ФЗ","60000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","27/26/86000-АП","30.06.2026","Альянс","9725194575","1257700451722","ч.6 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","25/26/86000-АП","13.05.2026","ООО МКК ""Динар""","9727079948","1247700466980","ч.1 ст.14.57","230-ФЗ","15000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","24/26/86000-АП","28.04.2026","ООО ""ПКО ""Интеграл""","3459086819","1243400005166","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","22/26/86000-АП","13.05.2026","ООО ПКО ""Человек в законе""","5402087120","1255400009358","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","21/26/86000-АП","13.05.2026","ПАО ""МТС-Банк""","7702045051","1027739053704","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","18/26/86000-АП","14.04.2026","ООО МФК ""МигКредит""","7715825027","1107746671207","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","17/26/86000-АП","06.04.2026","ООО МКК ""Диджитал Мани""","5445030457","1195476084968","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","16/26/86000-АП","03.04.2026","ООО МКК ""ЗТЧ""","6316284688","1236300021462","ч.1 ст.14.57","230-ФЗ","35000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","15/26/86000-АП","14.04.2026","МКК ""Центр финансовой поддержки"" (ПАО)","7727480641","1217700621709","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","14/26/86000-АП","31.03.2026","ООО ""ПКО ""Интеграл""","3459086819","1243400005166","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","13/26/86000-АП","07.04.2026","ООО ""ПКО ""ЭквИта-Капитал""","5405074715","1225400025410","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","11/26/86000-АП","24.03.2026","Романова Надежда Дмитриевна","0","0","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","10/26/86000-АП","27.03.2026","ООО ""Скорый Займ""","9718244306","1247700019764","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","7/26/86000-АП","13.03.2026","ООО МКК ""Бриз""","5404070027","1185476002117","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","6/26/86000-АП","15.05.2026","АО ""МКК УФ""","6162089317","1236100023433","ч.1 ст.14.57","230-ФЗ","60000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","5/26/86000-АП","27.02.2026","ООО МКК ""Фастмани.ру""","7805714988","1177847323741","ч.1 ст.14.57","230-ФЗ","20000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","4/26/86000-АП","04.05.2026","ООО МКК ""Займ Онлайн""","7703769314","1127746428171","ч.1 ст.14.57","230-ФЗ","60000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","3/26/86000-АП","03.03.2026","Тактарева Мария Юрьевна","0","0","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","1/26/86000-АП","13.02.2026","ООО МКк ""Декада""","9719060559","1237700913780","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","125/25/86000-АП","20.02.2026","ООО МКК ""ДеньгиМигом""","1650244278","1121650010943","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","124/25/86000-АП","03.02.2026","ООО МКК ""Броктон""","1685013200","1231600043619","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","123/25/86000-АП","19.06.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","125000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","121/25/86000-АП","03.02.2026","ООО ""ПКО СОЛ""","6164139228","1226100025029","ч.1 ст.14.57","230-ФЗ","180000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","120/25/86000-АП","10.02.2026","ООО МКК ""Броктон""","1685013200","1231600043619","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","118/25/86000-АП","02.02.2026","ООО МКК ""БалтКредит""","7804688407","1217800176318","ч.1 ст.14.57","230-ФЗ","12500.00","нет данных","нет данных"
