"Registration number","Date and number of the decision","The complete and reduced name","OGRN, INN","Information on compulsory liability insurance contracts for causing losses to the debtor","The address","Address of the website","Email address","Restrictions on the methods of interaction, the period of validity of the restriction","Decision date and number about an exception of information","Risk category of harm (damage) (1 - low, 2 - medium, 3 - significant, 4 - high)"
"1","29.12.2016, 1/16/77000-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Сентинел Кредит Менеджмент», ООО ПКО «СКМ»","ОГРН 1096315004720, ИНН 6315626402","АО «АльфаСтрахование», период действия договора с 15.01.2026 по 14.01.2027","123376,  г. Москва, вн.тер.г. муниципальный округ Дорогомилово, наб. Тараса Шевченко, д. 23А, помещ. 1","sentinelcredit.ru","info@sentinelcredit.ru","","","3"
"2","29.12.2016,  2/16/77000-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «АктивБизнесКонсалт», ООО ПКО «АБК»","ОГРН 1137746390572, ИНН 7736659589","СПАО «Ингосстрах», период действия договора с 05.02.2026 по 04.02.2027","121170,  г. Москва,  вн.тер. г. муниципальный округ Дорогомилово,  ул. Поклонная,  д. 3, к. 3","activebc.ru","info@activebc.ru","","","4"
"3","29.12.2016,  3/16/77000-СЗ","Непубличное акционерное общество Профессиональная коллекторская организация «Первое клиентское бюро», НАО ПКО «ПКБ»","ОГРН 1092723000446, ИНН 2723115222","СПАО «Ингосстрах», период действия договора с 24.04.2026 по 23.04.2027","108811,  г. Москва,  пос. Московский, км 22-й, (Киевское ш.), двлд. 6, стр.1","pkbonline.ru","info@pkbonline.ru","","","4"
"4","29.12.2016,  4/16/77000-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация НСВ, ООО ПКО НСВ","ОГРН 1057748047675,  ИНН 7727551797","СПАО «Ингосстрах», период действия договора с 24.04.2026 по 23.04.2027","108811,  г. Москва,  вн.тер.г. муниципальный округ Солнцево ш. Киевское,  км 22-й, двлд. 6, стр. 1","nrservice.ru","inform@NRService.ru","","","4"
"5","29.12.2016,  5/16/77000-СЗ","Общество с ограниченной ответственностью «Агентство Кредит Финанс», ООО «АКФ»","ОГРН 5147746351352,  ИНН 9715005807","ОАО «АльфаСтрахование», период действия договора с 16.12.2016 по 15.12.2017","127576,  г. Москва,  ул. Илимская, д. 5, корп. 2","credfinagency.ru","office@credfinagency.ru","","13.04.2017, 77922/17/120183-КЛ",""
"6","29.12.2016,  6/16/77000-СЗ","Акционерное общество Профессиональная коллекторская организация «Финансовое Агентство по Сбору Платежей», АО ПКО «ФАСП»","ОГРН 1047796582305,  ИНН 7704527702","АО «АльфаСтрахование», период действия договора с 10.08.2025 по 09.08.2026","129085,  г. Москва, вн.тер.г. муниципальный округ Останкинский, пр-т Мира, д. 105, стр.1, помещ. 1/1","fasp.ru","info@fasp.ru","","","3"
"7","29.12.2016,  7/16/77000-СЗ","Общество с ограниченной ответственностью «Центр ЮСБ-М»,  ООО «Центр ЮСБ-М»","ОГРН 1097746188924,  ИНН 7736602060","ООО СК «Уралсиб Страхование», период действия договора с 31.07.2023 по 30.07.2024","117335,  г. Москва,  ул. Вавилова, д. 79, корп. 1, офис 4","usb-m.ru","sna@usb-collector.ru","","31.08.2023, 77922/23/1597741-НК",""
"8","29.12.2016,  8/16/77000-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «М.Б.А. Финансы», ООО «ПКО «М.Б.А. Финансы»","ОГРН 1097746177693, ИНН 7726626680","СПАО «Ингосстрах», период действия договора с 13.02.2026 до 12.02.2027","115280,  г. Москва,  ул. Мастеркова, д. 4,  этаж 15, помещ. I, ком. 35","mbafin.ru","support@mbafin.ru","","","4"
"9","29.12.2016,  9/16/77000-СЗ","Акционерное общество «СЕКВОЙЯ КРЕДИТ КОНСОЛИДЕЙШН», АО «СЕКВОЙЯ КРЕДИТ КОНСОЛИДЕЙШН»","ОГРН 1047796702557,  ИНН 7705618889","ООО СК «Уралсиб Страхование», период действия договора с 01.06.2018 по 31.05.2019","127473,  г. Москва,  ул. Краснопролетарская,  д. 16, стр. 2","sequoia.ru","mail@sequoia.ru","","28.11.2018, 1220",""
"10","29.12.2016,  10/16/77000-СЗ","Общество с ограниченной ответственностью «Центр ЮСБ», ООО «Центр ЮСБ»","ОГРН 1037727003621,  ИНН 7727237125","ООО СК «Уралсиб Страхование», период действия договора с 23.05.2023 по 22.05.2024","117335,  г. Москва, ул. Вавилова, д. 79, корп. 1, офис 4","usbcollector.ru","client@usb-collector.ru","","08.11.2023, 77922/23/3408011-НК",""
"11","09.01.2017,  43918/17/20-СЖ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ГК Финансовые услуги», ООО ПКО «ГК ФИН»","ОГРН 1127746465120, ИНН 7707778366","АО «АльфаСтрахование», период действия договора с 11.12.2025 по 10.12.2026","610017,  Кировская область,  г. Киров, ул. Альберта Лиханова, д. 62, пом. 29","gk-fin.ru","vopros@gk-fin.ru","","","1"
